package	expected	actual	installed	version_match
askpass	1.2.1	1.2.1	TRUE	TRUE
base64enc	0.1-6	0.1-6	TRUE	TRUE
BH	1.90.0-1	1.90.0-1	TRUE	TRUE
bslib	0.11.0	0.11.0	TRUE	TRUE
cachem	1.1.0	1.1.0	TRUE	TRUE
cellranger	1.1.0	1.1.0	TRUE	TRUE
cli	3.6.6	3.6.6	TRUE	TRUE
cluster	2.1.8.1	2.1.8.1	TRUE	TRUE
compiler	4.4.2	4.4.2	TRUE	TRUE
cowplot	1.2.0	1.2.0	TRUE	TRUE
cpp11	0.5.5	0.5.5	TRUE	TRUE
crayon	1.5.3	1.5.3	TRUE	TRUE
curl	7.1.0	7.1.0	TRUE	TRUE
data.table	1.18.4	1.18.4	TRUE	TRUE
DEoptim	2.2-8	2.2-8	TRUE	TRUE
digest	0.6.39	0.6.39	TRUE	TRUE
dplyr	1.2.1	1.2.1	TRUE	TRUE
dqrng	0.4.1	0.4.1	TRUE	TRUE
evaluate	1.0.5	1.0.5	TRUE	TRUE
farver	2.1.2	2.1.2	TRUE	TRUE
fastmap	1.2.0	1.2.0	TRUE	TRUE
FNN	1.1.4.1	1.1.4.1	TRUE	TRUE
fontawesome	0.5.3	0.5.3	TRUE	TRUE
fs	2.1.0	2.1.0	TRUE	TRUE
generics	0.1.4	0.1.4	TRUE	TRUE
ggalluvial	0.12.6	0.12.6	TRUE	TRUE
ggh4x	0.3.1	0.3.1	TRUE	TRUE
ggnewscale	0.5.2	0.5.2	TRUE	TRUE
ggplot2	4.0.3	4.0.3	TRUE	TRUE
ggrepel	0.9.8	0.9.8	TRUE	TRUE
glue	1.8.1	1.8.1	TRUE	TRUE
graphics	4.4.2	4.4.2	TRUE	TRUE
grDevices	4.4.2	4.4.2	TRUE	TRUE
grid	4.4.2	4.4.2	TRUE	TRUE
gridExtra	2.3	2.3	TRUE	TRUE
gtable	0.3.6	0.3.6	TRUE	TRUE
highr	0.12	0.12	TRUE	TRUE
hms	1.1.4	1.1.4	TRUE	TRUE
htmltools	0.5.9	0.5.9	TRUE	TRUE
irlba	2.3.7	2.3.7	TRUE	TRUE
isoband	0.3.0	0.3.0	TRUE	TRUE
jquerylib	0.1.4	0.1.4	TRUE	TRUE
jsonlite	2.0.0	2.0.0	TRUE	TRUE
knitr	1.51	1.51	TRUE	TRUE
labeling	0.4.3	0.4.3	TRUE	TRUE
lattice	0.22-7	0.22-7	TRUE	TRUE
lazyeval	0.2.3	0.2.3	TRUE	TRUE
lifecycle	1.0.5	1.0.5	TRUE	TRUE
magrittr	2.0.5	2.0.5	TRUE	TRUE
Matrix	1.7-3	1.7-3	TRUE	TRUE
memoise	2.0.1	2.0.1	TRUE	TRUE
methods	4.4.2	4.4.2	TRUE	TRUE
mime	0.13	0.13	TRUE	TRUE
openssl	2.4.2	2.4.2	TRUE	TRUE
parallel	4.4.2	4.4.2	TRUE	TRUE
patchwork	1.3.2	1.3.2	TRUE	TRUE
pillar	1.11.1	1.11.1	TRUE	TRUE
pkgconfig	2.0.3	2.0.3	TRUE	TRUE
prettyunits	1.2.0	1.2.0	TRUE	TRUE
progress	1.2.3	1.2.3	TRUE	TRUE
purrr	1.2.2	1.2.2	TRUE	TRUE
R6	2.6.1	2.6.1	TRUE	TRUE
rappdirs	0.3.4	0.3.4	TRUE	TRUE
RColorBrewer	1.1-3	1.1-3	TRUE	TRUE
Rcpp	1.1.1-1.1	1.1.1-1.1	TRUE	TRUE
RcppAnnoy	0.0.23	0.0.23	TRUE	TRUE
RcppEigen	0.3.4.0.2	0.3.4.0.2	TRUE	TRUE
RcppProgress	0.4.2	0.4.2	TRUE	TRUE
readxl	1.4.5	1.4.5	TRUE	TRUE
rematch	2.0.0	2.0.0	TRUE	TRUE
rlang	1.2.0	1.2.0	TRUE	TRUE
rmarkdown	2.31	2.31	TRUE	TRUE
RSpectra	0.16-2	0.16-2	TRUE	TRUE
Rtsne	0.17	0.17	TRUE	TRUE
S7	0.2.2	0.2.2	TRUE	TRUE
sass	0.4.10	0.4.10	TRUE	TRUE
scales	1.4.0	1.4.0	TRUE	TRUE
sitmo	2.0.2	2.0.2	TRUE	TRUE
stats	4.4.2	4.4.2	TRUE	TRUE
stringi	1.8.7	1.8.7	TRUE	TRUE
stringr	1.6.0	1.6.0	TRUE	TRUE
sys	3.4.3	3.4.3	TRUE	TRUE
tibble	3.3.1	3.3.1	TRUE	TRUE
tidyr	1.3.2	1.3.2	TRUE	TRUE
tidyselect	1.2.1	1.2.1	TRUE	TRUE
tinytex	0.59	0.59	TRUE	TRUE
tools	4.4.2	4.4.2	TRUE	TRUE
utf8	1.2.6	1.2.6	TRUE	TRUE
utils	4.4.2	4.4.2	TRUE	TRUE
uwot	0.2.4	0.2.4	TRUE	TRUE
vctrs	0.7.3	0.7.3	TRUE	TRUE
viridisLite	0.4.3	0.4.3	TRUE	TRUE
withr	3.0.2	3.0.2	TRUE	TRUE
xfun	0.58	0.58	TRUE	TRUE
yaml	2.3.12	2.3.12	TRUE	TRUE
