root	package	depth	via_parent	via_type	closure_scope	version	library_path	installed
cluster	cluster	0	NA	direct	analysis_full_with_optional	2.1.8.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	data.table	0	NA	direct	analysis_full_with_optional	1.18.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	dplyr	0	NA	direct	analysis_full_with_optional	1.2.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
grDevices	grDevices	0	NA	direct	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
parallel	parallel	0	NA	direct	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	Rtsne	0	NA	direct	analysis_full_with_optional	0.17	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
stats	stats	0	NA	direct	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
tools	tools	0	NA	direct	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
utils	utils	0	NA	direct	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	uwot	0	NA	direct	analysis_full_with_optional	0.2.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cluster	graphics	1	cluster	Imports	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	grDevices	1	cluster	Imports	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	stats	1	cluster	Imports	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	utils	1	cluster	Imports	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	MASS	1	cluster	Suggests	analysis_full_with_optional	7.3-65	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cluster	Matrix	1	cluster	Suggests	analysis_full_with_optional	1.7-3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cluster	mvoutlier	1	cluster	Enhances	analysis_full_with_optional	NA	NA	FALSE
cluster	fpc	1	cluster	Enhances	analysis_full_with_optional	NA	NA	FALSE
cluster	ellipse	1	cluster	Enhances	analysis_full_with_optional	NA	NA	FALSE
cluster	sfsmisc	1	cluster	Enhances	analysis_full_with_optional	NA	NA	FALSE
data.table	methods	1	data.table	Imports	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
data.table	bit64	1	data.table	Suggests	analysis_full_with_optional	4.8.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	bit	1	data.table	Suggests	analysis_full_with_optional	4.6.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	R.utils	1	data.table	Suggests	analysis_full_with_optional	2.13.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	xts	1	data.table	Suggests	analysis_full_with_optional	0.14.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	zoo	1	data.table	Suggests	analysis_full_with_optional	1.8-15	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	yaml	1	data.table	Suggests	analysis_full_with_optional	2.3.12	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	knitr	1	data.table	Suggests	analysis_full_with_optional	1.51	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	markdown	1	data.table	Suggests	analysis_full_with_optional	2.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	cli	1	dplyr	Imports	analysis_full_with_optional	3.6.6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	generics	1	dplyr	Imports	analysis_full_with_optional	0.1.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	glue	1	dplyr	Imports	analysis_full_with_optional	1.8.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	lifecycle	1	dplyr	Imports	analysis_full_with_optional	1.0.5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	magrittr	1	dplyr	Imports	analysis_full_with_optional	2.0.5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	methods	1	dplyr	Imports	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	pillar	1	dplyr	Imports	analysis_full_with_optional	1.11.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	R6	1	dplyr	Imports	analysis_full_with_optional	2.6.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	rlang	1	dplyr	Imports	analysis_full_with_optional	1.2.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	tibble	1	dplyr	Imports	analysis_full_with_optional	3.3.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	tidyselect	1	dplyr	Imports	analysis_full_with_optional	1.2.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	utils	1	dplyr	Imports	analysis_full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	vctrs	1	dplyr	Imports	analysis_full_with_optional	0.7.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	broom	1	dplyr	Suggests	analysis_full_with_optional	1.0.8	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	covr	1	dplyr	Suggests	analysis_full_with_optional	3.6.5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	DBI	1	dplyr	Suggests	analysis_full_with_optional	1.3.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	dbplyr	1	dplyr	Suggests	analysis_full_with_optional	2.5.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	ggplot2	1	dplyr	Suggests	analysis_full_with_optional	4.0.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	knitr	1	dplyr	Suggests	analysis_full_with_optional	1.51	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
