root	package	depth	via_parent	via_type	closure_scope	version	library_path	installed
cluster	cluster	0	NA	direct	analysis_runtime	2.1.8.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	data.table	0	NA	direct	analysis_runtime	1.18.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	dplyr	0	NA	direct	analysis_runtime	1.2.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
grDevices	grDevices	0	NA	direct	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
parallel	parallel	0	NA	direct	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	Rtsne	0	NA	direct	analysis_runtime	0.17	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
stats	stats	0	NA	direct	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
tools	tools	0	NA	direct	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
utils	utils	0	NA	direct	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	uwot	0	NA	direct	analysis_runtime	0.2.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cluster	graphics	1	cluster	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	grDevices	1	cluster	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	stats	1	cluster	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	utils	1	cluster	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
data.table	methods	1	data.table	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	cli	1	dplyr	Imports	analysis_runtime	3.6.6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	generics	1	dplyr	Imports	analysis_runtime	0.1.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	glue	1	dplyr	Imports	analysis_runtime	1.8.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	lifecycle	1	dplyr	Imports	analysis_runtime	1.0.5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	magrittr	1	dplyr	Imports	analysis_runtime	2.0.5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	methods	1	dplyr	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	pillar	1	dplyr	Imports	analysis_runtime	1.11.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	R6	1	dplyr	Imports	analysis_runtime	2.6.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	rlang	1	dplyr	Imports	analysis_runtime	1.2.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	tibble	1	dplyr	Imports	analysis_runtime	3.3.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	tidyselect	1	dplyr	Imports	analysis_runtime	1.2.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	utils	1	dplyr	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	vctrs	1	dplyr	Imports	analysis_runtime	0.7.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
parallel	tools	1	parallel	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
parallel	compiler	1	parallel	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	Rcpp	1	Rtsne	Imports	analysis_runtime	1.1.1-1.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
Rtsne	stats	1	Rtsne	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	Rcpp	1	Rtsne	LinkingTo	analysis_runtime	1.1.1-1.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
stats	utils	1	stats	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
stats	grDevices	1	stats	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
stats	graphics	1	stats	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	Matrix	1	uwot	Depends	analysis_runtime	1.7-3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	FNN	1	uwot	Imports	analysis_runtime	1.1.4.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	irlba	1	uwot	Imports	analysis_runtime	2.3.7	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	methods	1	uwot	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	Rcpp	1	uwot	Imports	analysis_runtime	1.1.1-1.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	RcppAnnoy	1	uwot	Imports	analysis_runtime	0.0.23	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	RSpectra	1	uwot	Imports	analysis_runtime	0.16-2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	dqrng	1	uwot	LinkingTo	analysis_runtime	0.4.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	Rcpp	1	uwot	LinkingTo	analysis_runtime	1.1.1-1.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	RcppAnnoy	1	uwot	LinkingTo	analysis_runtime	0.0.23	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	RcppProgress	1	uwot	LinkingTo	analysis_runtime	0.4.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	utils	2	methods	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
data.table	stats	2	methods	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	stats	2	methods	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	utf8	2	pillar	Imports	analysis_runtime	1.2.6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	pkgconfig	2	tibble	Imports	analysis_runtime	2.0.3	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	withr	2	tidyselect	Imports	analysis_runtime	3.0.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	methods	2	Rcpp	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	utils	2	Rcpp	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	grDevices	2	stats	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	graphics	2	stats	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	grDevices	2	Matrix	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	graphics	2	Matrix	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	grid	2	Matrix	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	lattice	2	Matrix	Imports	analysis_runtime	0.22-7	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	stats	2	Matrix	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	utils	2	Matrix	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	RcppEigen	2	RSpectra	LinkingTo	analysis_runtime	0.3.4.0.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	BH	2	dqrng	LinkingTo	analysis_runtime	1.90.0-1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
uwot	sitmo	2	dqrng	LinkingTo	analysis_runtime	2.0.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	grDevices	3	stats	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
data.table	graphics	3	stats	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
dplyr	grDevices	3	stats	Imports	analysis_runtime	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
