parent	dependency	dependency_type
abind	methods	Imports
abind	utils	Imports
actuar	stats	Imports
actuar	graphics	Imports
actuar	expint	Imports
actuar	expint	LinkingTo
actuar	MASS	Suggests
adbcdrivermanager	nanoarrow	Imports
adbcdrivermanager	testthat	Suggests
adbcdrivermanager	withr	Suggests
AER	car	Depends
AER	lmtest	Depends
AER	sandwich	Depends
AER	survival	Depends
AER	zoo	Depends
AER	stats	Imports
AER	Formula	Imports
AER	boot	Suggests
AER	dynlm	Suggests
AER	effects	Suggests
AER	fGarch	Suggests
AER	forecast	Suggests
AER	foreign	Suggests
AER	ineq	Suggests
AER	KernSmooth	Suggests
AER	lattice	Suggests
AER	longmemo	Suggests
AER	MASS	Suggests
AER	mlogit	Suggests
AER	nlme	Suggests
AER	nnet	Suggests
AER	np	Suggests
AER	plm	Suggests
AER	pscl	Suggests
AER	quantreg	Suggests
AER	rgl	Suggests
AER	ROCR	Suggests
AER	rugarch	Suggests
AER	sampleSelection	Suggests
AER	scatterplot3d	Suggests
AER	strucchange	Suggests
AER	systemfit	Suggests
AER	truncreg	Suggests
AER	tseries	Suggests
AER	urca	Suggests
AER	vars	Suggests
alabaster.base	alabaster.schemas	Imports
alabaster.base	methods	Imports
alabaster.base	utils	Imports
alabaster.base	S4Vectors	Imports
alabaster.base	rhdf5	Imports
alabaster.base	jsonlite	Imports
alabaster.base	jsonvalidate	Imports
alabaster.base	Rcpp	Imports
alabaster.base	Rcpp	LinkingTo
alabaster.base	Rhdf5lib	LinkingTo
alabaster.base	BiocStyle	Suggests
alabaster.base	rmarkdown	Suggests
alabaster.base	knitr	Suggests
alabaster.base	testthat	Suggests
alabaster.base	digest	Suggests
alabaster.base	Matrix	Suggests
alabaster.base	alabaster.matrix	Suggests
alabaster.matrix	alabaster.base	Depends
alabaster.matrix	methods	Imports
alabaster.matrix	BiocGenerics	Imports
alabaster.matrix	S4Vectors	Imports
alabaster.matrix	DelayedArray	Imports
alabaster.matrix	S4Arrays	Imports
alabaster.matrix	SparseArray	Imports
alabaster.matrix	rhdf5	Imports
alabaster.matrix	HDF5Array	Imports
alabaster.matrix	Matrix	Imports
alabaster.matrix	Rcpp	Imports
alabaster.matrix	Rcpp	LinkingTo
alabaster.matrix	testthat	Suggests
alabaster.matrix	knitr	Suggests
alabaster.matrix	BiocStyle	Suggests
alabaster.matrix	chihaya	Suggests
alabaster.matrix	BiocSingular	Suggests
alabaster.matrix	ResidualMatrix	Suggests
alabaster.ranges	GenomicRanges	Depends
alabaster.ranges	alabaster.base	Depends
alabaster.ranges	methods	Imports
alabaster.ranges	S4Vectors	Imports
alabaster.ranges	BiocGenerics	Imports
alabaster.ranges	IRanges	Imports
alabaster.ranges	GenomeInfoDb	Imports
alabaster.ranges	rhdf5	Imports
alabaster.ranges	testthat	Suggests
alabaster.ranges	knitr	Suggests
alabaster.ranges	BiocStyle	Suggests
alabaster.ranges	jsonlite	Suggests
alabaster.schemas	knitr	Suggests
