Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built	Repository	RemoteType	RemoteHost	RemoteRepo	RemoteUsername	RemoteRef	RemoteSha	GithubRepo	GithubUsername	GithubRef	GithubSHA1	SystemRequirements	Packaged	library_order	library_path	package_path	selected_by_libpaths
abind	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.4-8	NA	R (>= 1.5.0)	methods, utils	NA	NA	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.4.1	CRAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-09-11 21:58:20 UTC; tap	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/abind	TRUE
actuar	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	3.3-7	NA	R (>= 4.1.0)	stats, graphics, expint	expint	MASS	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.4.2	CRAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2026-03-02 22:54:40 UTC; vincent	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/actuar	TRUE
adbcdrivermanager	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.23.0-2	NA	NA	nanoarrow (>= 0.3.0)	NA	testthat (>= 3.0.0), withr	NA	Apache License (>= 2)	NA	NA	NA	NA	yes	4.4.2	CRAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2026-06-03 19:31:20 UTC; dewey	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/adbcdrivermanager	TRUE
AER	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.2-17	NA	R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0), survival (>= 2.37-5), zoo	stats, Formula (>= 0.2-0)	NA	boot, dynlm, effects, fGarch, forecast, foreign, ineq, KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection, scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg, tseries, urca, vars	NA	GPL-2 | GPL-3	NA	NA	NA	NA	no	4.4.2	CRAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2026-07-11 03:11:38 UTC; zeileis	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AER	TRUE
alabaster.base	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.6.1	NA	NA	alabaster.schemas, methods, utils, S4Vectors, rhdf5 (>= 2.47.6), jsonlite, jsonvalidate, Rcpp	Rcpp, Rhdf5lib	BiocStyle, rmarkdown, knitr, testthat, digest, Matrix, alabaster.matrix	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.4.1	Bioconductor 3.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C++17, GNU make	2024-11-10 21:24:44 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.base	TRUE
alabaster.matrix	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.6.1	NA	alabaster.base	methods, BiocGenerics, S4Vectors, DelayedArray (>= 0.31.8), S4Arrays, SparseArray (>= 1.5.22), rhdf5 (>= 2.47.1), HDF5Array, Matrix, Rcpp	Rcpp	testthat, knitr, BiocStyle, chihaya, BiocSingular, ResidualMatrix	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.4.1	Bioconductor 3.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-11-20 21:02:16 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.matrix	TRUE
alabaster.ranges	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.6.0	NA	GenomicRanges, alabaster.base	methods, S4Vectors, BiocGenerics, IRanges, GenomeInfoDb, rhdf5	NA	testthat, knitr, BiocStyle, jsonlite	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.4.1	Bioconductor 3.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-10-29 23:24:58 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.ranges	TRUE
alabaster.schemas	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.6.0	NA	NA	NA	NA	knitr, rmarkdown, BiocStyle	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.4.1	Bioconductor 3.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-10-29 23:24:56 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.schemas	TRUE
alabaster.se	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.6.0	NA	SummarizedExperiment, alabaster.base	methods, alabaster.ranges, alabaster.matrix, BiocGenerics, S4Vectors, IRanges, GenomicRanges, jsonlite	NA	rmarkdown, knitr, testthat, BiocStyle	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.4.1	Bioconductor 3.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-10-29 23:25:27 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.se	TRUE
alfakR	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.0.1.000	NA	NA	deSolve, fields, Matrix, methods, quadprog, Rcpp, RSpectra, tidyr	Rcpp	knitr, rmarkdown, ggplot2, testthat (>= 3.0.0)	NA	MIT + file LICENSE	NA	NA	NA	NA	NA	4.4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alfakR	TRUE
alluvial	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.1-2	NA	NA	NA	NA	devtools, testthat, reshape2, knitr, rmarkdown, dplyr	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.4.2	CRAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016-09-09 09:58:05 UTC; mbojan	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alluvial	TRUE
annotate	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.80.0	NA	R (>= 2.10), AnnotationDbi (>= 1.27.5), XML	Biobase, DBI, xtable, graphics, utils, stats, methods, BiocGenerics (>= 0.13.8), httr	NA	hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges, rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db, org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit,	NA	Artistic-2.0	NA	NA	NA	NA	no	4.4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-10-24 20:16:33 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/annotate	TRUE
AnnotationDbi	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.68.0	NA	R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2), Biobase (>= 1.17.0), IRanges	DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST	NA	utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db, reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75, BiocStyle, knitr	NA	Artistic-2.0	NA	NA	NA	NA	no	4.4.1	Bioconductor 3.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-10-29 23:26:46 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AnnotationDbi	TRUE
AnnotationFilter	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.30.0	NA	R (>= 3.4.0)	utils, methods, GenomicRanges, lazyeval	NA	BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db, rmarkdown	NA	Artistic-2.0	NA	NA	NA	NA	no	4.4.2	Bioconductor 3.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-10-29 23:26:19 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AnnotationFilter	TRUE
AnnotationHub	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	3.14.0	NA	BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)	utils, methods, grDevices, RSQLite, BiocManager, BiocVersion, curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors, httr, yaml, dplyr	NA	IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation, Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge, rBiopaxParser, RUnit, txdbmaker, MSnbase, mzR, Biostrings, CompoundDb, keras, ensembldb, SummarizedExperiment, ExperimentHub, gdsfmt, rmarkdown, HubPub	AnnotationHubData	Artistic-2.0	NA	NA	NA	NA	yes	4.4.1	Bioconductor 3.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-10-29 23:28:11 UTC; biocbuild	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AnnotationHub	TRUE
ape	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	5.8-1	NA	R (>= 3.2.0)	nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp (>= 0.12.0), digest	Rcpp	gee, expm, igraph, phangorn, xml2	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.4.2	CRAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-10 17:29:50 UTC; paradis	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ape	TRUE
aplot	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.2.9	NA	R (>= 4.1.0)	ggfun (>= 0.1.3), ggplot2, ggplotify, patchwork, magrittr, methods, utils, yulab.utils (>= 0.1.9), pillar	NA	ggtree	NA	Artistic-2.0	NA	NA	NA	NA	no	4.4.2	CRAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2025-09-12 03:02:52 UTC; HUAWEI	1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/aplot	TRUE
