Package	Version	description_path	description_md5
abind	1.4-8	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/abind/DESCRIPTION	f48f6da658ebbada89788b72b4a3de3d
actuar	3.3-7	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/actuar/DESCRIPTION	4078a7b770823083412956ee7c44b7a3
adbcdrivermanager	0.23.0-2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/adbcdrivermanager/DESCRIPTION	8bc5909c9efa83fea2e20dcf07b61cdd
AER	1.2-17	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AER/DESCRIPTION	9674cb5d96630e5e0945f34a229f9bc3
alabaster.base	1.6.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.base/DESCRIPTION	f7e58d8af86cfb384e25668d49a3b685
alabaster.matrix	1.6.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.matrix/DESCRIPTION	2b2749e8a4378794a4524f6355ff3a84
alabaster.ranges	1.6.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.ranges/DESCRIPTION	134eb9a5dcef5d311275e48dced48082
alabaster.schemas	1.6.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.schemas/DESCRIPTION	08b03991e4c4c87cb68fb1caf4da8daa
alabaster.se	1.6.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alabaster.se/DESCRIPTION	c9fd76f70299c502f131d4d3307cd92c
alfakR	0.0.1.000	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alfakR/DESCRIPTION	0c322a02070f651ed42d5e91094c4e95
alluvial	0.1-2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/alluvial/DESCRIPTION	58702e1be4e9a00f7c6c334b0f6ae8d9
annotate	1.80.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/annotate/DESCRIPTION	8e3e4679086e988b21d46e80944b0a9f
AnnotationDbi	1.68.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AnnotationDbi/DESCRIPTION	312223a6f6cdedf96b81f79bffd7e0a7
AnnotationFilter	1.30.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AnnotationFilter/DESCRIPTION	f01025d80fd9821e8702bdff87898951
AnnotationHub	3.14.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AnnotationHub/DESCRIPTION	dcb5db7dc32cf99906e9e9d3dc07b579
ape	5.8-1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ape/DESCRIPTION	fb02a928562d4cb88954e978bbf6b6e7
aplot	0.2.9	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/aplot/DESCRIPTION	145ceb22d52b5d02bda6258020c64bd0
AsioHeaders	1.30.2-1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AsioHeaders/DESCRIPTION	7a313c49c10bf0610c452851171adff8
assertthat	0.2.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/assertthat/DESCRIPTION	e44190fe0ad8b9e2d8b3289cbbdbca52
assorthead	1.4.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/assorthead/DESCRIPTION	1bff261aba0784c4c552a510b416eb55
AUC	0.3.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/AUC/DESCRIPTION	42d9596b970c081bf552bac44793ed96
audio	0.1-12	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/audio/DESCRIPTION	4e32645d83cafae6499fb1ccc60d3aaa
babelgene	22.9	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/babelgene/DESCRIPTION	e92ab34312f0ef915d91732b23ab105e
backports	1.5.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/backports/DESCRIPTION	60cf8053418e832a6e642fa6cc4f18bd
base64enc	0.1-6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/base64enc/DESCRIPTION	4a6a7226c4f280f971684f57eca7b40c
batchelor	1.26.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/batchelor/DESCRIPTION	4266d11e5f2114fdebfc7c4d6b0fcde8
bbmle	1.0.25.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/bbmle/DESCRIPTION	8d18a4850974559734688463c5597f8c
bdsmatrix	1.3-7	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/bdsmatrix/DESCRIPTION	9f236b8e969e823a5c7ddef2adf0b5c3
beachmat	2.26.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/beachmat/DESCRIPTION	2036a973493ecc13867736e9d71d3b4b
beepr	2.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/beepr/DESCRIPTION	35db0084db2b14708977f491dd2ef76f
beeswarm	0.4.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/beeswarm/DESCRIPTION	3dbec201562a53a00d0417fd11a9d9e5
bench	1.1.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/bench/DESCRIPTION	28d2504861f28b8ab0eca8c345412e82
betareg	3.2-5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/betareg/DESCRIPTION	e6ab613564a690e6db74df499b6b35dc
BH	1.90.0-1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/BH/DESCRIPTION	f53465fd19dc6cb1a4c422379781cd6c
BiasedUrn	2.0.12	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/BiasedUrn/DESCRIPTION	3a3a886cde71d116e24c8817fe0fcc29
biglm	0.9-3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/biglm/DESCRIPTION	c5144a81e6909dbeac83e03e99a2fe85
Biobase	2.70.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/Biobase/DESCRIPTION	6112a457d7ecf188649b7da23ef62052
BiocFileCache	2.14.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/BiocFileCache/DESCRIPTION	f81997306e43c975160f8f7ff69aff91
BiocGenerics	0.56.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/BiocGenerics/DESCRIPTION	286caacc9953df3081c8fd72c01ec27f
