package	installed	selected_version	selected_library	all_installed_versions	all_installed_libraries	requireNamespace_ok
base64enc	TRUE	0.1-6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.1-6;0.1-3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4;/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	TRUE	2.1.8.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	2.1.8.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cowplot	TRUE	1.2.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.2.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	TRUE	1.18.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.18.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
DEoptim	TRUE	2.2-8	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	2.2-8	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	TRUE	1.2.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.2.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggalluvial	TRUE	0.12.6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.12.6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggh4x	TRUE	0.3.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.3.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggnewscale	TRUE	0.5.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.5.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggplot2	TRUE	4.0.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	4.0.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggrepel	TRUE	0.9.8	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.9.8	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
graphics	TRUE	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
grDevices	TRUE	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
grid	TRUE	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
gridExtra	TRUE	2.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	2.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
magick	FALSE	NA	NA	NA	NA	FALSE
Matrix	TRUE	1.7-3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.7-3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
openssl	TRUE	2.4.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	2.4.2;2.2.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4;/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
parallel	TRUE	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
patchwork	TRUE	1.3.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.3.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
Rcpp	TRUE	1.1.1-1.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.1.1-1.1;1.0.13-1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4;/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
readxl	TRUE	1.4.5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.4.5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
rmarkdown	TRUE	2.31	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	2.31;2.29	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4;/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
Rtsne	TRUE	0.17	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.17	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
scales	TRUE	1.4.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.4.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
stats	TRUE	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
tidyr	TRUE	1.3.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	1.3.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
tools	TRUE	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
utils	TRUE	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	TRUE	0.2.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	0.2.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
yaml	TRUE	2.3.12	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	2.3.12;2.3.10	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4;/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
