kind	path	ldd_output
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 linux-vdso.so.1 (0x0000155555551000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libcurl.so.4 => /app/eb/software/cURL/8.7.1-GCCcore-13.3.0/lib/libcurl.so.4 (0x0000155555491000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libxml2.so.2 => /app/eb/software/libxml2/2.12.7-GCCcore-13.3.0/lib/libxml2.so.2 (0x00001555551c0000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libz.so.1 => /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 (0x0000155555476000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 liblzma.so.5 => /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 (0x0000155555447000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libm.so.6 => /lib64/libm.so.6 (0x0000155554e3e000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libdl.so.2 => /lib64/libdl.so.2 (0x0000155554c3a000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libpthread.so.0 => /lib64/libpthread.so.0 (0x0000155554a1a000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libR.so => /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so (0x0000155554597000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libc.so.6 => /lib64/libc.so.6 (0x00001555541c0000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libssl.so.3 => /app/eb/software/OpenSSL/3/lib/libssl.so.3 (0x0000155553ed1000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libcrypto.so.3 => /app/eb/software/OpenSSL/3/lib/libcrypto.so.3 (0x0000155553789000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libzstd.so.1 => /app/eb/software/zstd/1.5.6-GCCcore-13.3.0/lib/libzstd.so.1 (0x000015555536e000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 /lib64/ld-linux-x86-64.so.2 (0x0000155555324000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libflexiblas.so.3 => /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 (0x0000155553347000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libgfortran.so.5 => /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 (0x0000155553070000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/RCurl/libs/RCurl.so	 libreadline.so.8 => /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 (0x0000155553017000)
