COMMAND: df -Th
Filesystem                                                           Type      Size  Used Avail Use% Mounted on
/dev/OS/root                                                         ext4      2.8T  196G  2.5T   8% /
devtmpfs                                                             devtmpfs  504G     0  504G   0% /dev
tmpfs                                                                tmpfs     504G  8.5M  504G   1% /dev/shm
tmpfs                                                                tmpfs     504G  2.5M  504G   1% /run
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/39687
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/70640
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/30919
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/84845
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/85909
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/33425
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/81011
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/114628
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/35728
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/67768
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/115535
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/55484
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/38580
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/1219
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/51716
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/88827
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/45452
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/103186
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/107865
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/84540
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/34919
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/80993
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/30867
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/117999
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/82102
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/104708
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/85408
tmpfs                                                                tmpfs     101G     0  101G   0% /run/user/87568
tmpfs                                                                tmpfs     504G     0  504G   0% /sys/fs/cgroup
/dev/mapper/OS-var                                                   ext4      118G  5.4G  107G   5% /var
/dev/sda1                                                            ext2     1007M  417M  539M  44% /boot
/dev/sda2                                                            vfat      100M     0  100M   0% /boot/efi
islfs02hpc2smb.moffitt.org:/hpc_bright/cm_shared                     nfs       1.5T  1.1T  466G  70% /cm/shared
islfs02hpc2nfs.moffitt.org:/hpc_app                                  nfs       3.0T  1.1T  2.0T  35% /mnt/hpc_app
islfs02hpc2nfs.moffitt.org:/hpc_app/rhel8                            nfs       3.0T  1.1T  2.0T  35% /app
islfs02hpc2smb.moffitt.org:/hpc_bright/home                          nfs       1.5T  1.1T  466G  70% /mnt/phase1_home
islfs02hpc2smb.moffitt.org:/hpc_home                                 nfs       100T   63T   38T  63% /home
islfs02hpc2smb.moffitt.org:/lab_crd                                  nfs        80T   74T  6.7T  92% /share/lab_crd
islfs02hpc.hlm.ad.moffitt.usf.edu:/lab_jaeger                        nfs        40T   23T   18T  56% /share/lab_jaeger
islfs02hpc2nfs.moffitt.org:/hiscan                                   nfs       900T  816T   85T  91% /share/hiscan
islfs02hpc2smb.moffitt.org:/dept_bbsr                                nfs       1.5P  1.2P  321T  80% /share/dept_bbsr
islfs02hpc2smb.moffitt.org:/ngs                                      nfs       470T  375T   96T  80% /share/NGS
islfs02hpc2smb.moffitt.org:/silva_microscopes                        nfs        30P  9.6P   20P  33% /share/silva_microscopes
islfs22res01hpcsmb.moffitt.org:/MMWG                                 nfs        30P  9.6P   20P  33% /share/MMWG
islfs02hpc2smb.moffitt.org:/lab_wangl                                nfs      1000T  429T  572T  43% /share/lab_wangl
islfs22res01hpcsmb.moffitt.org:/lab_cress                            nfs        30P  9.6P   20P  33% /share/lab_cress
islfs02hpc2smb.moffitt.org:/plfs0297a/export/data                    nfs        85T   80T  5.2T  94% /share/data2
islfs02hpc2smb.moffitt.org:/Proj_DoD_PCa_DS                          nfs       1.0T  916G  109G  90% /share/Proj_DoD_PCa_DS
islfs22res01hpcsmb.moffitt.org:/proj_georgecompbiocollab             nfs        10T  5.9T  4.2T  59% /share/proj_georgecompbiocollab
islfs22res01hpcnfs.moffitt.org:/hpc_ywang                            nfs4       10T  6.2T  3.9T  62% /share/hpc_ywang
islfs02hpc2smb.moffitt.org:/hpc_bioinfo_scratch                      nfs        50T   21T   30T  42% /share/.scratch
islfs02hpc2smb.moffitt.org:/orien_data                               nfs       810T  761T   50T  94% /share/orien_data
islfs02hpc2smb.moffitt.org:/lab_eschrich                             nfs       1.2T  609G  592G  51% /share/lab_eschrich
islfs22res01hpcsmb.moffitt.org:/hwulabdatadrive                      nfs        20T  7.1T   13T  36% /share/HwuLabDataDrive
islfs02hpc2smb.moffitt.org:/lab_anderson/LockeProjectData/MIAMI_DATA nfs        80T   40T   41T  49% /share/locke_miami
islfs02hpc2smb.moffitt.org:/lab_padron                               nfs       170T  168T  2.1T  99% /share/lab_padron
islfs02hpc2smb.moffitt.org:/lab_karolak                              nfs       150T   47T  104T  32% /share/lab_karolak
islfs02hpc2smb.moffitt.org:/lab_qs_rnasplicing_team_science          nfs        50T   15T   36T  30% /share/lab_qs_rnasplicing_team_science
islfs02hpc2nfs.moffitt.org:/backups                                  nfs        30P  9.6P   20P  33% /share/backups
islfs02hpc2smb.moffitt.org:/Lab_Shaw                                 nfs        44T   33T   12T  75% /share/Lab_Shaw
islfs22res01hpcnfs.moffitt.org:/hpc_shared                           nfs        30T   20T   11T  67% /share/hpc_shared
islfs02hpc2smb.moffitt.org:/lab_song                                 nfs       100T   77T   24T  77% /share/lab_song
islfs02hpc2smb.moffitt.org:/proj_io_rig_nova_grant                   nfs       100T   81T   20T  81% /share/proj_io_rig_nova_grant
