GConf2	0	3.2.6	22.el8	x86_64
Judy	0	1.0.5	18.module+el8+2765+cfa4f87b	x86_64
Lmod	1	8.5	100088_cm9.2_161d79f361	x86_64
NetworkManager	1	1.40.16	19.el8_10	x86_64
NetworkManager-initscripts-updown	1	1.40.16	19.el8_10	noarch
NetworkManager-libnm	1	1.40.16	19.el8_10	x86_64
NetworkManager-team	1	1.40.16	19.el8_10	x86_64
NetworkManager-tui	1	1.40.16	19.el8_10	x86_64
OpenIPMI	0	2.0.31	3.el8	x86_64
OpenIPMI-libs	0	2.0.31	3.el8	x86_64
abattis-cantarell-fonts	0	0.0.25	6.el8	noarch
acl	0	2.2.53	3.el8	x86_64
adcli	0	0.9.2	1.el8	x86_64
adobe-mappings-cmap	0	20171205	3.el8	noarch
adobe-mappings-cmap-deprecated	0	20171205	3.el8	noarch
adobe-mappings-pdf	0	20180407	1.el8	noarch
adwaita-cursor-theme	0	3.28.0	3.el8	noarch
adwaita-icon-theme	0	3.28.0	3.el8	noarch
alsa-lib	0	1.2.10	2.el8	x86_64
annobin	0	11.13	2.el8	x86_64
apptainer	0	1.4.2	1.el8	x86_64
apptainer-suid	0	1.4.2	1.el8	x86_64
apr	0	1.6.3	12.el8	x86_64
apr-util	0	1.6.1	9.el8	x86_64
apr-util-bdb	0	1.6.1	9.el8	x86_64
apr-util-openssl	0	1.6.1	9.el8	x86_64
artwiz-aleczapka-anorexia-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-aqui-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-cure-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-drift-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-edges-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-fkp-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-fonts-common	0	1.3	25.el8	noarch
artwiz-aleczapka-gelly-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-glisp-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-kates-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-lime-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-mints-mild-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-mints-strong-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-nu-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-smoothansi-fonts	0	1.3	25.el8	noarch
artwiz-aleczapka-snap-fonts	0	1.3	25.el8	noarch
asciidoc	0	8.6.10	0.5.20180627gitf7c2274.el8	noarch
at	0	3.1.20	12.el8	x86_64
at-spi2-atk	0	2.26.2	1.el8	x86_64
at-spi2-core	0	2.28.0	1.el8	x86_64
atftp-server	0	0.7.5	615_cm9.2	x86_64
atk	0	2.28.1	1.el8	x86_64
atlas	0	3.10.3	8.el8	x86_64
attr	0	2.4.48	3.el8	x86_64
audit	0	3.1.2	1.el8_10.1	x86_64
audit-libs	0	3.1.2	1.el8_10.1	i686
audit-libs	0	3.1.2	1.el8_10.1	x86_64
augeas-libs	0	1.12.0	8.el8	x86_64
authselect	0	1.2.6	2.el8	x86_64
authselect-libs	0	1.2.6	2.el8	x86_64
autoconf	0	2.69	29.el8_10.1	noarch
autofs	1	5.1.4	114.el8_10.4	x86_64
autogen-libopts	0	5.18.12	8.el8	x86_64
automake	0	1.16.1	8.el8	noarch
avahi-glib	0	0.7	27.el8_10.1	x86_64
avahi-libs	0	0.7	27.el8_10.1	x86_64
basesystem	0	11	5.el8	noarch
bash	0	4.4.20	5.el8	x86_64
bash-completion	1	2.7	5.el8	noarch
bc	0	1.07.1	5.el8	x86_64
bind	32	9.11.36	16.el8_10.4	x86_64
bind-export-libs	32	9.11.36	16.el8_10.4	x86_64
bind-libs	32	9.11.36	16.el8_10.4	x86_64
bind-libs-lite	32	9.11.36	16.el8_10.4	x86_64
bind-license	32	9.11.36	16.el8_10.4	noarch
bind-utils	32	9.11.36	16.el8_10.4	x86_64
binutils	0	2.30	125.el8_10	x86_64
biosdevname	0	0.7.3	2.el8	x86_64
bison	0	3.0.4	10.el8	x86_64
boost	0	1.66.0	13.el8	x86_64
boost-atomic	0	1.66.0	13.el8	x86_64
boost-chrono	0	1.66.0	13.el8	x86_64
boost-container	0	1.66.0	13.el8	x86_64
boost-context	0	1.66.0	13.el8	x86_64
boost-coroutine	0	1.66.0	13.el8	x86_64
boost-date-time	0	1.66.0	13.el8	x86_64
boost-devel	0	1.66.0	13.el8	x86_64
boost-fiber	0	1.66.0	13.el8	x86_64
boost-filesystem	0	1.66.0	13.el8	x86_64
boost-graph	0	1.66.0	13.el8	x86_64
boost-iostreams	0	1.66.0	13.el8	x86_64
boost-locale	0	1.66.0	13.el8	x86_64
boost-log	0	1.66.0	13.el8	x86_64
boost-math	0	1.66.0	13.el8	x86_64
boost-program-options	0	1.66.0	13.el8	x86_64
boost-python3	0	1.66.0	6.el8	x86_64
boost-random	0	1.66.0	13.el8	x86_64
boost-regex	0	1.66.0	13.el8	x86_64
boost-serialization	0	1.66.0	13.el8	x86_64
boost-signals	0	1.66.0	13.el8	x86_64
boost-stacktrace	0	1.66.0	13.el8	x86_64
boost-system	0	1.66.0	13.el8	x86_64
boost-test	0	1.66.0	13.el8	x86_64
boost-thread	0	1.66.0	13.el8	x86_64
boost-timer	0	1.66.0	13.el8	x86_64
boost-type_erasure	0	1.66.0	13.el8	x86_64
boost-wave	0	1.66.0	13.el8	x86_64
brotli	0	1.0.6	3.el8	x86_64
bubblewrap	0	0.4.0	2.el8_10	x86_64
byacc	0	1.9.20170709	4.el8	x86_64
bzip2	0	1.0.6	28.el8_10	x86_64
bzip2-devel	0	1.0.6	28.el8_10	x86_64
bzip2-libs	0	1.0.6	28.el8_10	i686
bzip2-libs	0	1.0.6	28.el8_10	x86_64
c-ares	0	1.13.0	11.el8_10	x86_64
ca-certificates	0	2024.2.69_v8.0.303	80.0.el8_10	noarch
cairo	0	1.15.12	6.el8	x86_64
cairo-gobject	0	1.15.12	6.el8	x86_64
checkpolicy	0	2.9	1.el8	x86_64
chkconfig	0	1.19.2	1.el8	x86_64
chrony	0	4.5	2.el8_10	x86_64
cluster-tools-dell	0	9.2	118636_cm9.2_1bddd28500	noarch
cluster-tools-slave	0	9.2	107_cm9.2	noarch
cm-bios-tools	0	9.2	100143_cm9.2_5be80a6d13	noarch
cm-boost	0	1.77.0	226_cm9.2	x86_64
cm-busybox	0	1.34.1	106_cm9.2	x86_64
cm-config-ceph-release-octopus	0	9.2	82_cm9.2	noarch
cm-config-cm	0	9.2	72_cm9.2	noarch
cm-config-dhclient	0	9.2	58_cm9.2	noarch
cm-config-dracut-slave	0	1.0	18_cm9.2	noarch
cm-config-grub	0	1.0	102_cm9.2	noarch
cm-config-ldap-client	0	9.2	149_cm9.2	noarch
cm-config-limits	0	0.2	66_cm9.2	noarch
cm-config-man	0	9.2	93_cm9.2	noarch
cm-config-named	0	9.2	62_cm9.2	noarch
cm-config-nfsclient	0	9.2	85_cm9.2	noarch
cm-config-os-arch	0	9.2	100006_cm9.2_808abea8dc	x86_64
cm-config-rootfiles-slave	0	9.2	159_cm9.2	noarch
cm-config-selinux	1	9.2	100026_cm9.2_1da8c0069c	noarch
cm-config-ssh-slave	0	9.2	76_cm9.2	noarch
cm-config-sysctl-slave	0	9.2	101_cm9.2	noarch
cm-config-syslog-slave	0	9.2	141_cm9.2	noarch
cm-config-systemd	0	1.0	100_cm9.2	noarch
cm-config-xntp-slave	0	9.2	64_cm9.2	noarch
cm-config-yum	0	9.2	233_cm9.2	noarch
cm-config-yum-ml	0	9.2	233_cm9.2	noarch
cm-curl	2	7.80.0	100166_cm9.2_891e9e54a2	x86_64
cm-dhcp	12	3.0.5	18.el8_123_cm9.2	x86_64
cm-freeipmi	0	1.6.8	92_cm9.2	x86_64
cm-ipmitool	0	1.8.18	85_cm9.2	x86_64
cm-ipxe-slave	0	9.2	100063_cm9.2_ac7585dea0	x86_64
cm-libpam	0	9.2	4122_cm9.2	x86_64
cm-libprometheus	0	2.47.2	100125_cm9.2_8ef232e8ab	x86_64
cm-lsf-client	0	9.2	100032_cm9.2_d4b8e367c9	noarch
cm-lshw	2	02.19.2	56_cm9.2	x86_64
cm-lua	0	5.4.6	48_cm9.2	x86_64
cm-luajit	0	2.0.5	100015_cm9.2_f789e363d5	x86_64
cm-mariadb-libs	0	10.6.4	100129_cm9.2_a698f8964e	x86_64
cm-modules-init-client	0	9.2	76_cm9.2	noarch
cm-openssl	0	3.0.16	100174_cm9.2_dcb1725f34	x86_64
cm-openvpn	0	2.5.4	100139_cm9.2_54dcafbbcf	x86_64
cm-python3	0	9.2	100088_cm9.2_64399c3e7b	x86_64
cm-python39	0	3.9.23	100140_cm9.2_12610e6261	x86_64
cm-slave	0	9.2	46_cm9.2	noarch
cm-uge-client	0	9.2	100045_cm9.2_3b233f6948	noarch
cmake-filesystem	0	3.26.5	2.el8	x86_64
cmburn-slave	0	9.2	63_cm9.2	noarch
cmdaemon	0	9.2	153061_cm9.2_bb9562aeb2	x86_64
cmdaemon-cmjob	0	9.2	153061_cm9.2_bb9562aeb2	noarch
cmdaemon-pythoncm	0	9.2	153061_cm9.2_bb9562aeb2	noarch
cmdaemon-remotecm	0	9.2	153061_cm9.2_bb9562aeb2	x86_64
colord-libs	0	1.4.2	1.el8	x86_64
confuse	0	3.3	91_cm9.2	x86_64
conmon	3	2.1.10	1.module+el8.10.0+23320+f7205097	x86_64
container-selinux	2	2.229.0	2.module+el8.10.0+23320+f7205097	noarch
containernetworking-plugins	1	1.4.0	6.module+el8.10.0+23320+f7205097	x86_64
containers-common	2	1	82.module+el8.10.0+23320+f7205097	x86_64
copy-jdk-configs	0	4.0	2.el8	noarch
coreutils	0	8.30	15.el8	x86_64
coreutils-common	0	8.30	15.el8	x86_64
cpio	0	2.12	11.el8	x86_64
cpp	0	8.5.0	26.el8_10	x86_64
cracklib	0	2.9.6	15.el8	i686
cracklib	0	2.9.6	15.el8	x86_64
cracklib-dicts	0	2.9.6	15.el8	x86_64
criu	0	3.18	5.module+el8.10.0+23320+f7205097	x86_64
cronie	0	1.5.2	10.el8	x86_64
cronie-anacron	0	1.5.2	10.el8	x86_64
crontabs	0	1.11	17.20190603git.el8	noarch
crypto-policies	0	20230731	1.git3177e06.el8	noarch
crypto-policies-scripts	0	20230731	1.git3177e06.el8	noarch
cryptsetup-libs	0	2.3.7	7.el8	x86_64
ctags	0	5.8	23.el8	x86_64
cuda-dcgm-libs	1	3.1.8.1	100100_cm9.2_5eefb6c8c4	x86_64
cuda-driver	0	580.105.08	100245_cm9.2_867facfab4	x86_64
cups	1	2.2.6	62.el8_10	x86_64
cups-client	1	2.2.6	62.el8_10	x86_64
cups-filesystem	1	2.2.6	62.el8_10	noarch
cups-filters	0	1.20.0	36.el8_10	x86_64
cups-filters-libs	0	1.20.0	36.el8_10	x86_64
cups-ipptool	1	2.2.6	62.el8_10	x86_64
cups-libs	1	2.2.6	62.el8_10	x86_64
curl	0	7.61.1	34.el8_10.3	x86_64
cyrus-sasl-gssapi	0	2.1.27	6.el8_5	x86_64
cyrus-sasl-lib	0	2.1.27	6.el8_5	x86_64
dbus	1	1.12.8	26.el8	x86_64
dbus-common	1	1.12.8	26.el8	noarch
dbus-daemon	1	1.12.8	26.el8	x86_64
dbus-glib	0	0.110	2.el8	x86_64
dbus-libs	1	1.12.8	26.el8	x86_64
dbus-tools	1	1.12.8	26.el8	x86_64
dcism	0	4.1.0.0	2410.el8	x86_64
dcism-osc	0	6.1.0.0	100	x86_64
dconf	0	0.28.0	4.el8	x86_64
dejavu-fonts-common	0	2.35	7.el8	noarch
dejavu-sans-fonts	0	2.35	7.el8	noarch
dejavu-sans-mono-fonts	0	2.35	7.el8	noarch
device-mapper	8	1.02.181	15.el8_10.2	x86_64
device-mapper-event	8	1.02.181	15.el8_10.2	x86_64
device-mapper-event-libs	8	1.02.181	15.el8_10.2	x86_64
device-mapper-libs	8	1.02.181	15.el8_10.2	x86_64
device-mapper-persistent-data	0	0.9.0	7.el8	x86_64
dhcp-client	12	4.3.6	50.el8_10	x86_64
dhcp-common	12	4.3.6	50.el8_10	noarch
dhcp-libs	12	4.3.6	50.el8_10	x86_64
dialog	0	1.3	13.20171209.el8	x86_64
diffstat	0	1.61	7.el8	x86_64
diffutils	0	3.6	6.el8	x86_64
dmidecode	1	3.5	1.el8	x86_64
dnf	0	4.7.0	21.el8_10	noarch
dnf-data	0	4.7.0	21.el8_10	noarch
dnf-plugin-subscription-manager	0	1.28.44	1.el8_10	x86_64
dnf-plugins-core	0	4.0.21	25.el8	noarch
dnsmasq	0	2.79	33.el8_10	x86_64
docbook-dtds	0	1.0	69.el8	noarch
