file	line	scope	module	top_level_module	import_style	classification
code/FakeMCG3.py	3	repository_python_other	math	math	from	stdlib
code/FakeMCG3.py	4	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/FakeMCG3.py	5	repository_python_other	os	os	import	stdlib
code/FakeMCG3.py	6	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/FakeMCG3.py	7	repository_python_other	random	random	import	stdlib
code/FakeMCG3.py	8	repository_python_other	PujanEarlyVersionModel	PujanEarlyVersionModel	from	repository_local
code/FakeMCG3.py	9	repository_python_other	time	time	from	stdlib
code/FakeMCG4.py	3	repository_python_other	math	math	from	stdlib
code/FakeMCG4.py	4	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/FakeMCG4.py	5	repository_python_other	os	os	import	stdlib
code/FakeMCG4.py	6	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/FakeMCG4.py	7	repository_python_other	random	random	import	stdlib
code/FakeMCG4.py	8	repository_python_other	Missegregation_Model	Missegregation_Model	from	repository_local
code/FakeMCG4.py	9	repository_python_other	time	time	from	stdlib
code/Missegregation_Model.py	2	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/Missegregation_Model.py	3	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/Missegregation_Model.py	4	repository_python_other	scipy.integrate	scipy	from	third_party_or_unresolved
code/Missegregation_Model.py	5	repository_python_other	math	math	import	stdlib
code/Missegregation_Model.py	6	repository_python_other	scipy.special	scipy	from	third_party_or_unresolved
code/PujanEarlyVersionModel.py	2	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/PujanEarlyVersionModel.py	3	repository_python_other	scipy.integrate	scipy	from	third_party_or_unresolved
code/PujanEarlyVersionModel.py	4	repository_python_other	math	math	import	stdlib
code/PujanEarlyVersionModel.py	5	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/beam_search.py	1	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/beam_search.py	2	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/beam_search.py	3	repository_python_other	concurrent.futures	concurrent	from	stdlib
code/beam_search.py	4	repository_python_other	os	os	import	stdlib
code/beam_search.py	5	repository_python_other	time	time	from	stdlib
code/beam_search.py	6	repository_python_other	PujanEarlyVersionModel	PujanEarlyVersionModel	from	repository_local
code/exhaustive.py	1	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/exhaustive.py	2	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/exhaustive.py	3	repository_python_other	random	random	import	stdlib
code/exhaustive.py	4	repository_python_other	PujanEarlyVersionModel	PujanEarlyVersionModel	from	repository_local
code/exhaustive.py	5	repository_python_other	time	time	from	stdlib
code/exhaustive_parallel.py	1	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/exhaustive_parallel.py	2	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/exhaustive_parallel.py	3	repository_python_other	concurrent.futures	concurrent	from	stdlib
code/exhaustive_parallel.py	4	repository_python_other	os	os	import	stdlib
code/exhaustive_parallel.py	5	repository_python_other	time	time	from	stdlib
code/exhaustive_parallel.py	7	repository_python_other	PujanEarlyVersionModel	PujanEarlyVersionModel	from	repository_local
code/exhaustive_parallel_checkpoints.py	1	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/exhaustive_parallel_checkpoints.py	2	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/exhaustive_parallel_checkpoints.py	3	repository_python_other	concurrent.futures	concurrent	from	stdlib
code/exhaustive_parallel_checkpoints.py	4	repository_python_other	os	os	import	stdlib
code/exhaustive_parallel_checkpoints.py	5	repository_python_other	json	json	import	stdlib
code/exhaustive_parallel_checkpoints.py	6	repository_python_other	hashlib	hashlib	import	stdlib
code/exhaustive_parallel_checkpoints.py	7	repository_python_other	time	time	from	stdlib
code/exhaustive_parallel_checkpoints.py	9	repository_python_other	PujanEarlyVersionModel	PujanEarlyVersionModel	from	repository_local
code/exhaustive_search_time_estimate.py	1	repository_python_other	time	time	import	stdlib
code/exhaustive_search_time_estimate.py	3	repository_python_other	PujanEarlyVersionModel	PujanEarlyVersionModel	from	repository_local
code/parallel_mcts.py	1	repository_python_other	math	math	from	stdlib
code/parallel_mcts.py	2	repository_python_other	numpy	numpy	import	third_party_or_unresolved
code/parallel_mcts.py	3	repository_python_other	os	os	import	stdlib
code/parallel_mcts.py	4	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
code/parallel_mcts.py	5	repository_python_other	random	random	import	stdlib
code/parallel_mcts.py	6	repository_python_other	PujanEarlyVersionModel	PujanEarlyVersionModel	from	repository_local
code/parallel_mcts.py	7	repository_python_other	time	time	from	stdlib
code/parallel_mcts.py	8	repository_python_other	concurrent.futures	concurrent	from	stdlib
code/parallel_mcts.py	9	repository_python_other	multiprocessing	multiprocessing	import	stdlib
code/render_tables.py	2	repository_python_other	__future__	__future__	from	stdlib
code/render_tables.py	4	repository_python_other	pathlib	pathlib	from	stdlib
code/render_tables.py	5	repository_python_other	typing	typing	from	stdlib
code/render_tables.py	7	repository_python_other	yaml	yaml	import	third_party_or_unresolved
docs/render_parameter_landscape_pca_interpretation_html.py	2	repository_python_other	__future__	__future__	from	stdlib
docs/render_parameter_landscape_pca_interpretation_html.py	4	repository_python_other	datetime	datetime	import	stdlib
docs/render_parameter_landscape_pca_interpretation_html.py	5	repository_python_other	html	html	import	stdlib
docs/render_parameter_landscape_pca_interpretation_html.py	6	repository_python_other	re	re	import	stdlib
docs/render_parameter_landscape_pca_interpretation_html.py	7	repository_python_other	pathlib	pathlib	from	stdlib
drug_schedule_mouse_mcts.py	1	repository_python_other	numpy	numpy	import	third_party_or_unresolved
drug_schedule_mouse_mcts.py	2	repository_python_other	random	random	import	stdlib
drug_schedule_mouse_mcts.py	3	repository_python_other	copy	copy	from	stdlib
drug_schedule_mouse_mcts.py	4	repository_python_other	simulated_data	simulated_data	from	repository_local
drug_schedule_mouse_mcts.py	5	repository_python_other	time	time	from	stdlib
drug_schedule_mouse_subpredictions.py	2	repository_python_other	numpy	numpy	import	third_party_or_unresolved
drug_schedule_mouse_subpredictions.py	3	repository_python_other	matplotlib	matplotlib	from	third_party_or_unresolved
drug_schedule_mouse_subpredictions.py	5	repository_python_other	simulated_data	simulated_data	from	repository_local
oxygen/code/O2_supply_demand_MAP/analysis/fit_results/collect_best_separate_fit_reports.py	4	analysis	pathlib	pathlib	from	stdlib
oxygen/code/O2_supply_demand_MAP/analysis/fit_results/collect_best_separate_fit_reports.py	5	analysis	runpy	runpy	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fit_results/collect_best_separate_fit_reports.py	4	o2_workflow	__future__	__future__	from	stdlib
oxygen/code/O2_supply_demand_MAP/report/fit_results/collect_best_separate_fit_reports.py	6	o2_workflow	argparse	argparse	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fit_results/collect_best_separate_fit_reports.py	7	o2_workflow	csv	csv	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fit_results/collect_best_separate_fit_reports.py	8	o2_workflow	math	math	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fit_results/collect_best_separate_fit_reports.py	9	o2_workflow	re	re	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fit_results/collect_best_separate_fit_reports.py	10	o2_workflow	shutil	shutil	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fit_results/collect_best_separate_fit_reports.py	11	o2_workflow	pathlib	pathlib	from	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	9	o2_workflow	argparse	argparse	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	10	o2_workflow	csv	csv	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	11	o2_workflow	hashlib	hashlib	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	12	o2_workflow	math	math	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	13	o2_workflow	os	os	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	14	o2_workflow	re	re	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	15	o2_workflow	shutil	shutil	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	16	o2_workflow	tarfile	tarfile	import	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	17	o2_workflow	datetime	datetime	from	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	18	o2_workflow	pathlib	pathlib	from	stdlib
oxygen/code/O2_supply_demand_MAP/report/fitting_output_bundle/build_fitting_output_bundle.py	19	o2_workflow	typing	typing	from	stdlib
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	17	o2_workflow	__future__	__future__	from	stdlib
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	19	o2_workflow	argparse	argparse	import	stdlib
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	20	o2_workflow	csv	csv	import	stdlib
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	21	o2_workflow	math	math	import	stdlib
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	22	o2_workflow	re	re	import	stdlib
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	23	o2_workflow	pathlib	pathlib	from	stdlib
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	26	o2_workflow	openpyxl	openpyxl	from	third_party_or_unresolved
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	27	o2_workflow	openpyxl.styles	openpyxl	from	third_party_or_unresolved
oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	28	o2_workflow	openpyxl.utils	openpyxl	from	third_party_or_unresolved
oxygen/figures/assemble_iteration_panels.py	10	oxygen_auxiliary	__future__	__future__	from	stdlib
oxygen/figures/assemble_iteration_panels.py	12	oxygen_auxiliary	argparse	argparse	import	stdlib
oxygen/figures/assemble_iteration_panels.py	13	oxygen_auxiliary	math	math	import	stdlib
oxygen/figures/assemble_iteration_panels.py	14	oxygen_auxiliary	os	os	import	stdlib
oxygen/figures/assemble_iteration_panels.py	15	oxygen_auxiliary	re	re	import	stdlib
oxygen/figures/assemble_iteration_panels.py	16	oxygen_auxiliary	shlex	shlex	import	stdlib
oxygen/figures/assemble_iteration_panels.py	17	oxygen_auxiliary	shutil	shutil	import	stdlib
oxygen/figures/assemble_iteration_panels.py	18	oxygen_auxiliary	struct	struct	import	stdlib
oxygen/figures/assemble_iteration_panels.py	19	oxygen_auxiliary	subprocess	subprocess	import	stdlib
oxygen/figures/assemble_iteration_panels.py	20	oxygen_auxiliary	sys	sys	import	stdlib
oxygen/figures/assemble_iteration_panels.py	21	oxygen_auxiliary	tempfile	tempfile	import	stdlib
oxygen/figures/assemble_iteration_panels.py	22	oxygen_auxiliary	dataclasses	dataclasses	from	stdlib
oxygen/figures/assemble_iteration_panels.py	23	oxygen_auxiliary	pathlib	pathlib	from	stdlib
simulated_data.py	1	repository_python_other	numpy	numpy	import	third_party_or_unresolved
simulated_data.py	2	repository_python_other	scipy.integrate	scipy	from	third_party_or_unresolved
simulated_data.py	3	repository_python_other	matplotlib.pyplot	matplotlib	import	third_party_or_unresolved
