package	version	minimum_depth	direct_analysis_reference	installed	library_path
BH	1.90.0-1	2	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
cli	3.6.6	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
cluster	2.1.8.1	0	TRUE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
compiler	4.4.2	1	FALSE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
data.table	1.18.4	0	TRUE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
dplyr	1.2.1	0	TRUE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
dqrng	0.4.1	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
FNN	1.1.4.1	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
generics	0.1.4	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
glue	1.8.1	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
graphics	4.4.2	1	FALSE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
grDevices	4.4.2	0	TRUE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
grid	4.4.2	2	FALSE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
irlba	2.3.7	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
lattice	0.22-7	2	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
lifecycle	1.0.5	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
magrittr	2.0.5	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
Matrix	1.7-3	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
methods	4.4.2	1	FALSE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
parallel	4.4.2	0	TRUE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
pillar	1.11.1	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
pkgconfig	2.0.3	2	FALSE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
R6	2.6.1	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
Rcpp	1.1.1-1.1	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
RcppAnnoy	0.0.23	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
RcppEigen	0.3.4.0.2	2	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
RcppProgress	0.4.2	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
rlang	1.2.0	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
RSpectra	0.16-2	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
Rtsne	0.17	0	TRUE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
sitmo	2.0.2	2	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
stats	4.4.2	0	TRUE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
tibble	3.3.1	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
tidyselect	1.2.1	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
tools	4.4.2	0	TRUE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
utf8	1.2.6	2	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
utils	4.4.2	0	TRUE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
uwot	0.2.4	0	TRUE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
vctrs	0.7.3	1	FALSE	TRUE	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4
withr	3.0.2	2	FALSE	TRUE	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library
