package	dependency_scope	referencing_files
cluster	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2_eigen/analyze_fixo2_eigen_attractor_embeddings.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_landscape_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_seed_plan_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/collect_multi_warmup_tables.R
data.table	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/fixed_o2_analysis_utils.R
dplyr	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/interactions/analyze_factorial_interactions.R;oxygen/code/O2_supply_demand_MAP/analysis/perturbation/analyze_mixed_ploidy_perturbations.R
grDevices	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/fixed_o2_analysis_utils.R
parallel	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/analyze_warm_up_joint_results.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_landscape_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/compare_sigma_burden_live_effective_pms.R
Rtsne	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2_eigen/analyze_fixo2_eigen_attractor_embeddings.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_landscape_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/parameter_landscape_clustering/parameter_landscape_analysis_utils.R
stats	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/combined_fixo2_eigen/calculate_regression_curve_average_slope.R;oxygen/code/O2_supply_demand_MAP/analysis/combined_fixo2_eigen/prepare_fixo2_eigen_curve_class_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/combined_parameter_landscape/prepare_combined_parameter_landscape_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/dense_grid_monotonicity/dense_grid_analysis_utils.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_diagnostics/run_invitro_fit_diagnostics.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_results/analyze_joint_sigma_soft_coupled_paired_seeds.R;oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2_eigen/analyze_fixo2_eigen_attractor_embeddings.R;oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/fixed_o2_analysis_utils.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_fixed_o2_ploidy_classification/analyze_joint_fixed_o2_ploidy_classes.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_ploidy_coupling_association/analyze_between_pair_ploidy_coupling.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_ploidy_coupling_association/analyze_ploidy_ratio_class_association.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_ploidy_coupling_association/analyze_within_pair_ploidy_coupling.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_ploidy_coupling_association/classify_joint_ploidy_trajectories.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_soft_coupling_stability/analyze_between_pair_soft_coupling.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_soft_coupling_stability/analyze_within_pair_soft_coupling.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_soft_coupling_stability/summarize_soft_coupling_processes.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/analyze_warm_up_joint_results.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_landscape_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_seed_plan_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/collect_multi_warmup_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/parameter_landscape_clustering/parameter_contribution_analysis.R;oxygen/code/O2_supply_demand_MAP/analysis/parameter_landscape_clustering/parameter_landscape_analysis_utils.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_medium_o2_window_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_o2_ploidy_event_coupling_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_ploidy_regimes.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_process_fingerprints.R;oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/compare_sigma_burden_live_effective_pms.R
tools	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/joint_soft_coupling_stability/reclassify_joint_soft_coupling_master_table.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_medium_o2_window_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_o2_ploidy_event_coupling_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_ploidy_regimes.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_process_fingerprints.R
utils	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/combined_fixo2_eigen/prepare_fixo2_eigen_curve_class_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/dense_grid_monotonicity/dense_grid_analysis_utils.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_diagnostics/run_invitro_fit_diagnostics.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_diagnostics/run_joint_parameter_diagnostics.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_results/analyze_extra_results.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_results/analyze_joint_sigma_soft_coupled_paired_seeds.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_results/analyze_sigma_burden_extra_results.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_results/extra_results_analysis_utils.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_results/select_best_seed_from_summary.R;oxygen/code/O2_supply_demand_MAP/analysis/fit_results/select_invivo_best_long_ploidy_seed_from_metrics.R;oxygen/code/O2_supply_demand_MAP/analysis/joint_fixed_o2_ploidy_classification/analyze_joint_fixed_o2_ploidy_classes.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_seed_plan_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/collect_multi_warmup_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/parameter_landscape_clustering/parameter_contribution_analysis.R;oxygen/code/O2_supply_demand_MAP/analysis/process_fingerprints/analyze_invivo_process_fingerprints.R;oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/collect_profile_likelihood_results.R
uwot	analysis_direct	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2_eigen/analyze_fixo2_eigen_attractor_embeddings.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_landscape_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_seed_plan_tables.R;oxygen/code/O2_supply_demand_MAP/analysis/parameter_landscape_clustering/parameter_landscape_analysis_utils.R
