file	line	package	call_style	detection_method	code_scope	dependency_scope
code/Karyotypes_inVitro_cloneid.R	1	cluster	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	1	data.table	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	1	gplots	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	1	RColorBrewer	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	23	cluster	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	23	data.table	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	23	gplots	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	23	RColorBrewer	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	50	cluster	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	50	data.table	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	50	gplots	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	50	RColorBrewer	library	R_AST	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	74	data.table	library	line_scan	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	75	cluster	library	line_scan	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	76	RColorBrewer	library	line_scan	repository_other	repository_other
code/Karyotypes_inVitro_cloneid.R	77	gplots	library	line_scan	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	1	cloneid	::	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	1	DBI	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	1	dplyr	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	1	ggplot2	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	1	RPostgres	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	1	shiny	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	12	cloneid	::	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	12	DBI	library	line_scan	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	12	DBI	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	12	dplyr	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	12	ggplot2	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	12	RPostgres	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	12	shiny	library	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	13	RPostgres	library	line_scan	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	14	dplyr	library	line_scan	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	15	ggplot2	library	line_scan	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	16	shiny	library	line_scan	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	26	plyr	::	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	27	cloneid	namespace_operator	line_scan	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	56	plyr	::	R_AST	repository_other	repository_other
code/LTEE_MorphologyFeatures_cloneid.R	74	plyr	namespace_operator	line_scan	repository_other	repository_other
code/shinyApp_InterventionFramework.R	1	deSolve	library	R_AST	repository_other	repository_other
code/shinyApp_InterventionFramework.R	1	shiny	library	line_scan	repository_other	repository_other
code/shinyApp_InterventionFramework.R	1	shiny	library	R_AST	repository_other	repository_other
code/shinyApp_InterventionFramework.R	2	deSolve	library	line_scan	repository_other	repository_other
code/shinyApp_InterventionFramework.R	14	deSolve	library	R_AST	repository_other	repository_other
code/shinyApp_InterventionFramework.R	14	shiny	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	1	aws.s3	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	1	aws.s3	::	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	1	cloneid	::	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	1	dplyr	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	1	gplots	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	1	survival	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	1	survminer	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	1	xlsx	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	aws.s3	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	aws.s3	::	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	cloneid	::	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	dplyr	library	line_scan	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	dplyr	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	gplots	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	survival	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	survminer	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	10	xlsx	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	11	gplots	library	line_scan	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	14	aws.s3	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	14	aws.s3	::	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	14	cloneid	::	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	14	dplyr	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	14	gplots	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	14	survival	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	14	survminer	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	14	xlsx	library	R_AST	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	15	cloneid	namespace_operator	line_scan	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	40	survminer	library	line_scan	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	41	survival	library	line_scan	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	42	xlsx	library	line_scan	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	89	aws.s3	library	line_scan	repository_other	repository_other
code/SurvivalAnalysis_inVivo_cloneid.R	96	aws.s3	namespace_operator	line_scan	repository_other	repository_other
code/Utils.R	1	DBI	library	R_AST	repository_other	repository_other
code/Utils.R	1	dplyr	library	R_AST	repository_other	repository_other
code/Utils.R	1	ggplot2	library	R_AST	repository_other	repository_other
code/Utils.R	1	RPostgres	library	R_AST	repository_other	repository_other
code/Utils.R	1	shiny	library	R_AST	repository_other	repository_other
code/Utils.R	12	DBI	library	R_AST	repository_other	repository_other
code/Utils.R	12	dplyr	library	R_AST	repository_other	repository_other
code/Utils.R	12	ggplot2	library	R_AST	repository_other	repository_other
code/Utils.R	12	RPostgres	library	R_AST	repository_other	repository_other
code/Utils.R	12	shiny	library	R_AST	repository_other	repository_other
code/Utils.R	13	DBI	library	line_scan	repository_other	repository_other
code/Utils.R	13	DBI	library	R_AST	repository_other	repository_other
code/Utils.R	13	dplyr	library	R_AST	repository_other	repository_other
code/Utils.R	13	ggplot2	library	R_AST	repository_other	repository_other
code/Utils.R	13	RPostgres	library	R_AST	repository_other	repository_other
code/Utils.R	13	shiny	library	R_AST	repository_other	repository_other
code/Utils.R	14	RPostgres	library	line_scan	repository_other	repository_other
code/Utils.R	15	dplyr	library	line_scan	repository_other	repository_other
code/Utils.R	16	dbscan	requireNamespace	R_AST	repository_other	repository_other
code/Utils.R	16	dbscan	::	R_AST	repository_other	repository_other
code/Utils.R	16	ggplot2	library	line_scan	repository_other	repository_other
