r_package	consumer_path	dependency	resolved_path	status	rpm_owner
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	linux-vdso.so.1		resolved	NA
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libR.so	/app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so	resolved	file /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libc.so.6	/lib64/libc.so.6	resolved	glibc-2.28-251.el8_10.25.x86_64
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libflexiblas.so.3	/app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3	resolved	file /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libgfortran.so.5	/app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libm.so.6	/lib64/libm.so.6	resolved	glibc-2.28-251.el8_10.25.x86_64
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libreadline.so.8	/app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8	resolved	file /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libpcre2-8.so.0	/app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0	resolved	file /app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libdeflate.so.0	/app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0	resolved	file /app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	liblzma.so.5	/app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5	resolved	file /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libbz2.so.1.0	/app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0	resolved	file /app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libz.so.1	/app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1	resolved	file /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	librt.so.1	/lib64/librt.so.1	resolved	glibc-2.28-251.el8_10.25.x86_64
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libdl.so.2	/lib64/libdl.so.2	resolved	glibc-2.28-251.el8_10.25.x86_64
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libpthread.so.0	/lib64/libpthread.so.0	resolved	glibc-2.28-251.el8_10.25.x86_64
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libiconv.so.2	/app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2	resolved	file /app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libicuuc.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libicui18n.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libgomp.so.1	/app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	ld-linux-x86-64.so.2	/lib64/ld-linux-x86-64.so.2	resolved	glibc-2.28-251.el8_10.25.x86_64
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libquadmath.so.0	/app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libgcc_s.so.1	/app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1 is not owned by any package
