Gemcitabine	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (4N)"	"SUM-159 (4N)"	"SUM-159 (4N)"	SUM159/MCFdcis	SUM159/MCFdcis	SUM159/MCFdcis	SUM159/MDAMB231	SUM159/MDAMB231	SUM159/MDAMB231	SUM159/SUM149	SUM159/SUM149	SUM159/SUM149
0.0000	2280000	2380000		2360000	2380000		2030000	2030000		2090000	2120000		1930000	1940000	
0.7810	2400000	2390000		2380000	2460000		2060000	2090000		2160000	2160000		1920000	1940000	
1.5625	2370000	2360000		2310000	2400000		2080000	2080000		2140000	2180000		1950000	1960000	
3.1250	1950000	2020000		2320000	2360000		2110000	2150000		2180000	2270000		1990000	2010000	
6.2500	498000	448000		1630000	1840000		2060000	2130000		2180000	2250000		1720000	1770000	
12.5000	80500	88600		428000	462000		1730000	1840000		2080000	2150000		671000	730000	
25.0000	29900	27500		131000	139000		1340000	1420000		1710000	1890000		465000	468000	
50.0000	15700	16900		119000	110000		1110000	1120000		1250000	1450000		457000	496000	
100.0000	12100	8020		177000	179000		1060000	1070000		1300000	1380000		638000	650000	
200.0000	12000	12800		213000	223000		1100000	1150000		1390000	1480000		701000	728000	
400.0000	7750	8890		226000	222000		1230000	1240000		1500000	1570000		707000	699000	
800.0000	7480	9230		229000	225000		1200000	1260000		1420000	1460000		713000	721000	
