"OSI-027 (uM)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (4N)"	"SUM-159 (4N)"	"SUM-159 (4N)"
0.000	3810000	3850000		4600000	4500000	
0.001	3840000	3840000		4490000	4590000	
0.002	3860000	3870000		4360000	4590000	
0.005	3820000	3900000		4390000	4470000	
0.014	3790000	3870000		4500000	4650000	
0.041	4030000	3900000		4460000	4610000	
0.123	3750000	3940000		4660000	4800000	
0.367	3900000	3900000		4680000	4790000	
1.100	3770000	3770000		4510000	4620000	
3.300	2940000	3020000		4080000	4070000	
10.000	1460000	1520000		3260000	3380000	
30.000	959000	1010000		2130000	2320000	
