5-Azacytidine (uM)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (4N)	SUM-159 (4N)	SUM-159 (4N)
0	3350000	3450000	3330000	4240000	4170000	4250000
0.05	3490000	3530000	3520000	4260000	4240000	4360000
0.1	3460000	3470000	3500000	4330000	4380000	4370000
0.2	3430000	3500000	3450000	4340000	4400000	4410000
0.4	3470000	3600000	3480000	4280000	4480000	4470000
1.6	3510000	3670000	3440000	4210000	4200000	4270000
3.125	3380000	3430000	3330000	3900000	3930000	3940000
6.25	3460000	3450000	3500000	3970000	3810000	3870000
12.5	3280000	3500000	3200000	3720000	3810000	3800000
25	3360000	3260000	3100000	2730000	2820000	2680000
50	3060000	2990000	3060000	2690000	2450000	2720000
100	2130000	2160000	2270000	3270000	3320000	3240000
