"ABT-199 (uM)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (4N)"	"SUM-159 (4N)"	"SUM-159 (4N)"
0.000	3900000	4070000		4790000	4720000	
0.001	4180000	4130000		5110000	5270000	
0.002	4190000	4030000		4840000	4960000	
0.005	4050000	4020000		4950000	5070000	
0.014	4150000	4090000		4820000	4970000	
0.041	4130000	4180000		4870000	4940000	
0.123	3980000	4180000		4650000	5240000	
0.367	4000000	4050000		4670000	4740000	
1.100	3780000	3840000		4570000	4700000	
3.300	3290000	3560000		2820000	2920000	
10.000	3090000	3260000		1000000	1480000	
30.000	736000	729000		513000	496000	
