"ABT-263 (uM)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (4N)"	"SUM-159 (4N)"	"SUM-159 (4N)"
0.000	3230000	3290000		3850000	3850000	
0.001	3370000	3310000		4040000	3900000	
0.002	3300000	3250000		3990000	3860000	
0.005	3250000	3330000		3890000	3970000	
0.014	3310000	3300000		3960000	3940000	
0.041	3330000	3160000		3890000	3790000	
0.123	3030000	3090000		3460000	3460000	
0.367	2950000	2880000		3130000	3180000	
1.100	2680000	2650000		2650000	2630000	
3.300	2270000	2320000		2140000	2310000	
10.000	1470000	1490000		176000	204000	
30.000	12100	13500		8890	12600	
