Adavociclib (uM)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (4N)	SUM-159 (4N)	SUM-159 (4N)
0	2770000	2820000	2710000	2870000	2880000	2880000
0.008	2790000	2880000	2800000	2800000	2830000	2810000
0.023	2780000	2820000	2850000	2800000	2830000	2950000
0.069	2710000	2820000	2800000	2840000	2850000	2850000
0.206	2510000	2630000	2630000	2780000	2870000	2900000
0.617	698000	616000	706000	2590000	2650000	2630000
1.85	35100	34200	42200	165000	140000	133000
5.56	12100	15000	20900	15600	18400	25200
16.7	16700	17500	20000	17600	18900	20400
50	13700	16400	17800	18700	21700	23300
