"Capecitabine (uM)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (4N)"	"SUM-159 (4N)"	"SUM-159 (4N)"
0.000	5250000	5540000	5460000	6400000	6600000	6570000
0.027	5230000	5340000	5610000	6680000	6620000	6750000
0.053	5220000	5330000	5510000	6700000	6750000	6710000
0.106	5340000	5410000	5440000	6740000	6840000	6760000
0.212	5340000	5280000	5560000	6770000	6780000	6720000
0.425	5360000	5710000	5580000	6730000	6780000	6680000
0.850	5720000	5600000	5600000	6850000	6800000	6710000
1.900	5670000	5650000	5490000	6810000	6700000	6770000
3.750	4450000	4700000	4610000	6740000	6720000	6770000
7.500	3280000	3250000	3310000	6820000	6740000	6680000
15.000	2600000	2640000	2670000	3220000	2980000	3250000
30.000	1850000	1880000	1990000	1830000	1970000	1850000
