Cytarabine (uM)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (4N)	SUM-159 (4N)	SUM-159 (4N)
0	4160000	4200000	4230000	5070000	5130000	5070000
0.1	3980000	4060000	4110000	5330000	5310000	5100000
0.2	3660000	3700000	3700000	4700000	4620000	4470000
0.39	3270000	3210000	3240000	3710000	3760000	3930000
0.78	1670000	1690000	1720000	4000000	4020000	3940000
1.56	174000	181000	167000	2540000	2080000	1460000
3.125	46000	33000	37400	689000	267000	254000
6.25	39200	32800	30600	108000	82700	109000
12.5	46500	29300	49800	46200	31400	53400
25	47900	48400	56700	39100	26000	37700
50	23300	37600	41300	21000	18200	33800
100	21000	13100	26800	26000	14800	25300
