Gemcitabine	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (4N)	SUM-159 (4N)	SUM-159 (4N)	SUM159/MCFdcis	SUM159/MCFdcis	SUM159/MCFdcis	SUM159/MDAMB231	SUM159/MDAMB231	SUM159/MDAMB231	SUM159/SUM149	SUM159/SUM149	MDA-MB-231(2N)	MDA-MB-231(2N)	MDA-MB-231(2N)	MDA-MB-231(4N)	MDA-MB-231(4N)	MDA-MB-231(4N)
0	2280000	2380000		2360000	2380000		2030000	2030000		2090000	2120000		1930000	1940000	2820000	2810000	2850000	2730000	2720000	2780000
3.125	1950000	2020000		2320000	2360000		2110000	2150000		2180000	2270000		1990000	2010000	2840000	2870000	2870000	2740000	2770000	2830000
6.25	498000	448000		1630000	1840000		2060000	2130000		2180000	2250000		1720000	1770000	2890000	2870000	2910000	2820000	2830000	2870000
12.5	80500	88600		428000	462000		1730000	1840000		2080000	2150000		671000	730000	2870000	2940000	2900000	2840000	2850000	2880000
25	29900	27500		131000	139000		1340000	1420000		1710000	1890000		465000	468000	2800000	2780000	2830000	2750000	2780000	2770000
50	15700	16900		119000	110000		1110000	1120000		1250000	1450000		457000	496000	2110000	1860000	1620000	2580000	2560000	2550000
100	12100	8020		177000	179000		1060000	1070000		1300000	1380000		638000	650000	1250000	1210000	1250000	1960000	1890000	1880000
200	12000	12800		213000	223000		1100000	1150000		1390000	1480000		701000	728000	540000	464000	519000	1680000	1680000	1680000
400	7750	8890		226000	222000		1230000	1240000		1500000	1570000		707000	699000	582000	588000	552000	1630000	1610000	1530000
800	7480	9230		229000	225000		1200000	1260000		1420000	1460000		713000	721000	643000	608000	610000	1670000	1670000	1630000
