Gemcitabine	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (4N)	SUM-159 (4N)	SUM-159 (4N)	SUM-159/MCFdcis	SUM-159/MCFdcis	SUM-159/MCFdcis	SUM-159/MDAMB231	SUM-159/MDAMB231	SUM-159/MDAMB231	SUM-159/SUM-149	SUM-159/SUM-149	SUM-159/SUM-149
0	2280000	2380000	NA	2360000	2380000	NA	2030000	2030000	NA	2090000	2120000	NA	1930000	1940000	NA
0.781	2400000	2390000	NA	2380000	2460000	NA	2060000	2090000	NA	2160000	2160000	NA	1920000	1940000	NA
1.5625	2370000	2360000	NA	2310000	2400000	NA	2080000	2080000	NA	2140000	2180000	NA	1950000	1960000	NA
3.125	1950000	2020000	NA	2320000	2360000	NA	2110000	2150000	NA	2180000	2270000	NA	1990000	2010000	NA
6.25	498000	448000	NA	1630000	1840000	NA	2060000	2130000	NA	2180000	2250000	NA	1720000	1770000	NA
12.5	80500	88600	NA	428000	462000	NA	1730000	1840000	NA	2080000	2150000	NA	671000	730000	NA
25	29900	27500	NA	131000	139000	NA	1340000	1420000	NA	1710000	1890000	NA	465000	468000	NA
50	15700	16900	NA	119000	110000	NA	1110000	1120000	NA	1250000	1450000	NA	457000	496000	NA
100	12100	8020	NA	177000	179000	NA	1060000	1070000	NA	1300000	1380000	NA	638000	650000	NA
200	12000	12800	NA	213000	223000	NA	1100000	1150000	NA	1390000	1480000	NA	701000	728000	NA
400	7750	8890	NA	226000	222000	NA	1230000	1240000	NA	1500000	1570000	NA	707000	699000	NA
800	7480	9230	NA	229000	225000	NA	1200000	1260000	NA	1420000	1460000	NA	713000	721000	NA
