Gemcitabine (nM)	MDAMB231 (2N)	MDAMB231 (2N)	MDAMB231 (2N)	MDAMB231 (4N)	MDAMB231 (4N)	MDAMB231 (4N)
0	2820000	2810000	2850000	2730000	2720000	2780000
3.125	2840000	2870000	2870000	2740000	2770000	2830000
6.25	2890000	2870000	2910000	2820000	2830000	2870000
12.5	2870000	2940000	2900000	2840000	2850000	2880000
25	2800000	2780000	2830000	2750000	2780000	2770000
50	2110000	1860000	1620000	2580000	2560000	2550000
100	1250000	1210000	1250000	1960000	1890000	1880000
200	540000	464000	519000	1680000	1680000	1680000
400	582000	588000	552000	1630000	1610000	1530000
800	643000	608000	610000	1670000	1670000	1630000
