OSI-027 (uM)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (4N)	SUM-159 (4N)	SUM-159 (4N)
0	3810000	3850000	NA	4600000	4500000	NA
0.001	3840000	3840000	NA	4490000	4590000	NA
0.002	3860000	3870000	NA	4360000	4590000	NA
0.005	3820000	3900000	NA	4390000	4470000	NA
0.014	3790000	3870000	NA	4500000	4650000	NA
0.041	4030000	3900000	NA	4460000	4610000	NA
0.123	3750000	3940000	NA	4660000	4800000	NA
0.367	3900000	3900000	NA	4680000	4790000	NA
1.1	3770000	3770000	NA	4510000	4620000	NA
3.3	2940000	3020000	NA	4080000	4070000	NA
10	1460000	1520000	NA	3260000	3380000	NA
30	959000	1010000	NA	2130000	2320000	NA
