Gemcitabine (nM)	SUM159(2N)	SUM159(2N)	SUM159(4N)	SUM159(4N)	MDA-MB-231(2N)	MDA-MB-231(2N)	MDA-MB-231(2N)	MDA-MB-231(4N)	MDA-MB-231(4N)	MDA-MB-231(4N)
0	2950000	2930000	2990000	2980000	2820000	2810000	2850000	2730000	2720000	2780000
3.5435	2880000	2830000	2980000	3000000	2840000	2870000	2870000	2740000	2770000	2830000
7.03125	2820000	2890000	2920000	2990000	2890000	2870000	2910000	2820000	2830000	2870000
14.0625	1990000	1880000	2890000	2870000	2870000	2940000	2900000	2840000	2850000	2880000
28.125	117000	111000	2230000	2200000	2800000	2780000	2830000	2750000	2780000	2770000
56.25	22400	32700	1410000	1430000	2110000	1860000	1620000	2580000	2560000	2550000
112.5	15300	24200	463000	467000	1250000	1210000	1250000	1960000	1890000	1880000
225	14200	23300	84100	96800	540000	464000	519000	1680000	1680000	1680000
450	15300	23700	68200	86200	582000	588000	552000	1630000	1610000	1530000
900	25700	34200	145000	158000	643000	608000	610000	1670000	1670000	1630000
