"Tegafur (uM)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (4N)"	"SUM-159 (4N)"	"SUM-159 (4N)"
0.000	4880000	4940000	4960000	1850000	2190000	1970000
0.027	4940000	5000000	5120000	1660000	1970000	2040000
0.053	4760000	4950000	5060000	2290000	2360000	1900000
0.106	4870000	4990000	4970000	1990000	2030000	1960000
0.212	4920000	4940000	5030000	2210000	2080000	2390000
0.425	5000000	5000000	5030000	2020000	2210000	1890000
0.850	4970000	4940000	4890000	2120000	1890000	2310000
1.900	4170000	4090000	4220000	1850000	2110000	2230000
3.750	2880000	2950000	2940000	1990000	2370000	1970000
7.500	1970000	2160000	2120000	975000	920000	1330000
15.000	1270000	1310000	1410000	484000	429000	399000
30.000	972000	949000	977000	440000	431000	488000
