"UMI-77 (uM)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (2N)"	"SUM-159 (4N)"	"SUM-159 (4N)"	"SUM-159 (4N)"
0.000	1.39e+007	1.37e+007		1.50e+007	1.51e+007	
0.001	1.45e+007	1.39e+007		1.52e+007	1.54e+007	
0.002	1.46e+007	1.46e+007		1.55e+007	1.58e+007	
0.005	1.44e+007	1.48e+007		1.56e+007	1.54e+007	
0.014	1.51e+007	2.18e+007*		1.59e+007	1.57e+007	
0.041	1.57e+007	1.51e+007		1.62e+007	1.60e+007	
0.123	1.57e+007	1.56e+007		1.64e+007	1.57e+007	
0.367	1.59e+007	1.50e+007		1.61e+007	1.61e+007	
1.100	1.54e+007	1.55e+007		1.63e+007	1.62e+007	
3.300	1.52e+007	1.40e+007		1.50e+007	1.51e+007	
10.000	2670000.00	2580000.00		1.28e+007	1.28e+007	
30.000	4310.00	1360.00		7480.00	4180.00	
