db_source_id	db_cell_line	db_event	db_biological_passage	db_event_datetime	passaged_from_id1	parent1_event	parent1_datetime	passaged_from_id2	parent2_event	parent2_datetime	elapsed_days_from_parent1	elapsed_days_from_parent2
SUM-159_NLS_2N_O2_A1_seed	SUM-159	seeding	6	2024-11-15 15:45:36	SUM-159_NLS_2N_dp_seedT1	harvest	2024-11-15 14:38:21				0.0467	
SUM-159_NLS_4N_O2_A1_seed	SUM-159	seeding	9	2024-11-15 15:54:15	SUM-159_NLS_4N_dp_seedT1	harvest	2024-11-15 14:44:33				0.0484	
SUM-159_NLS_2N_O2_A9_seedT3	SUM-159	harvest	14	2025-05-21 11:50:38	SUM-159_NLS_2N_O2_A9_seed	seeding	2025-05-14 15:14:19				6.8586	
SUM-159_NLS_2N_O2_A2_seed	SUM-159	seeding	7	2024-11-20 15:51:54	SUM-159_NLS_2N_O2_A1_seedT1	harvest	2024-11-18 13:43:16				2.0893	
SUM-159_NLS_2N_O2_A3_seed	SUM-159	seeding	8	2024-11-27 13:03:18	SUM-159_NLS_2N_O2_A2_seedT2	harvest	2024-11-25 16:02:44				1.8754	
SUM-159_NLS_2N_O2_A4_seed	SUM-159	seeding	9	2024-12-04 17:27:19	SUM-159_NLS_2N_O2_A3_seedT2	harvest	2024-12-02 12:59:22				2.1861	
SUM-159_NLS_2N_O2_A5_seed	SUM-159	seeding	10	2024-12-11 17:30:47	SUM-159_NLS_2N_O2_A4_seedT2	harvest	2024-12-09 14:44:30				2.1155	
SUM-159_NLS_2N_O2_A6_seed	SUM-159	seeding	11	2024-12-18 16:45:47	SUM-159_NLS_2N_O2_A5_seedT2	harvest	2024-12-16 16:02:19				2.0302	
SUM-159_NLS_2N_O2_A7_seed	SUM-159	seeding	12	2024-12-25 14:54:11	SUM-159_NLS_2N_O2_A6_seedT2	harvest	2024-12-23 13:24:56				2.062	
SUM-159_NLS_2N_O2_A7K_seed	SUM-159	seeding	13	2025-03-01 19:43:00	SUM-159_NLS_2N_O2_A7_seedT2	harvest	2024-12-30 16:30:14				61.1339	
SUM-159_NLS_2N_O2_A8_seed	SUM-159	seeding	13	2025-05-08 16:43:39	SUM-159_NLS_2N_O2_A7_seedT2	harvest	2024-12-30 16:30:14				129.0093	
SUM-159_NLS_4N_O2_A2_seed	SUM-159	seeding	10	2024-11-20 15:57:20	SUM-159_NLS_4N_O2_A1_seedT1	harvest	2024-11-18 13:58:34				2.0825	
SUM-159_NLS_4N_O2_A3_seed	SUM-159	seeding	11	2024-11-27 13:09:18	SUM-159_NLS_4N_O2_A2_seedT2	harvest	2024-11-25 16:14:53				1.8711	
SUM-159_NLS_4N_O2_A4_seed	SUM-159	seeding	12	2024-12-04 17:31:05	SUM-159_NLS_4N_O2_A3_seedT2	harvest	2024-12-02 13:44:18				2.1575	
SUM-159_NLS_4N_O2_A5_seed	SUM-159	seeding	13	2024-12-11 17:35:19	SUM-159_NLS_4N_O2_A4_seedT2	harvest	2024-12-09 14:54:57				2.1114	
SUM-159_NLS_4N_O2_A6_seed	SUM-159	seeding	14	2024-12-18 16:49:23	SUM-159_NLS_4N_O2_A5_seedT2	harvest	2024-12-16 16:12:48				2.0254	
SUM-159_NLS_4N_O2_A7_seed	SUM-159	seeding	15	2024-12-25 15:01:30	SUM-159_NLS_4N_O2_A6_seedT2	harvest	2024-12-23 13:32:55				2.0615	
SUM-159_NLS_4N_O2_A7K_seed	SUM-159	seeding	16	2025-03-01 21:26:31	SUM-159_NLS_4N_O2_A7_seedT2	harvest	2024-12-30 16:39:46				61.1991	
SUM-159_NLS_4N_O2_A8_seed	SUM-159	seeding	16	2025-05-08 16:46:41	SUM-159_NLS_4N_O2_A7_seedT2	harvest	2024-12-30 16:39:46				129.0048	
SUM-159_NLS_2N_O2_A1_seedT1	SUM-159	harvest	6	2024-11-18 13:43:16	SUM-159_NLS_2N_O2_A1_seed	seeding	2024-11-15 15:45:36				2.915	
SUM-159_NLS_2N_O2_A10_seedT1	SUM-159	harvest	15	2025-05-26 19:15:54	SUM-159_NLS_2N_O2_A10_seed	seeding	2025-05-23 18:35:20				3.0282	
SUM-159_NLS_2N_O2_A10_seedT2	SUM-159	harvest	15	2025-05-28 16:59:17	SUM-159_NLS_2N_O2_A10_seed	seeding	2025-05-23 18:35:20				4.9333	
SUM-159_NLS_2N_O2_A11_seedT1	SUM-159	harvest	16	2025-06-02 12:00:06	SUM-159_NLS_2N_O2_A11_seed	seeding	2025-05-30 11:46:05				3.0097	
SUM-159_NLS_2N_O2_A11_seedT2	SUM-159	harvest	16	2025-06-04 13:52:08	SUM-159_NLS_2N_O2_A11_seed	seeding	2025-05-30 11:46:05				5.0875	
SUM-159_NLS_2N_O2_A12_seedT1	SUM-159	harvest	17	2025-06-09 10:06:44	SUM-159_NLS_2N_O2_A12_seed	seeding	2025-06-06 14:14:54				2.8277	
SUM-159_NLS_2N_O2_A12_seedT2	SUM-159	harvest	17	2025-06-11 17:07:46	SUM-159_NLS_2N_O2_A12_seed	seeding	2025-06-06 14:14:54				5.12	
SUM-159_NLS_2N_O2_A12_seedT3	SUM-159	harvest	17	2025-06-13 17:07:48	SUM-159_NLS_2N_O2_A12_seed	seeding	2025-06-06 14:14:54				7.1201	
SUM-159_NLS_2N_O2_A13_seedT1	SUM-159	harvest	18	2025-06-16 13:02:05	SUM-159_NLS_2N_O2_A13_seed	seeding	2025-06-14 17:09:25				1.8282	
SUM-159_NLS_2N_O2_A13_seedT3	SUM-159	harvest	18	2025-06-20 16:11:19	SUM-159_NLS_2N_O2_A13_seed	seeding	2025-06-14 17:09:25				5.9597	
