db_source_id	source_id	context_key	ploidy	condition_replicate	event	biological_passage	ltee_comment_membership	classification_status	n_bundles_success	n_bundles_failed	n_bundles_unavailable	failure_reasons	cell_state	count	eligible_denominator	frequency	feature_modes	prediction_shard
SUM-159_NLS_2N_O2_A1_seed	SUM-159_NLS_2N_O2_A1_seed	SUM-159-NLS-2N	2N	O2	seeding	6	TRUE	classified_partial_full_promoted	3	0	1	no raw+mask or historical DetectionResults	dead_cell	29	584	0.049657534	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A1_seed.tsv.gz
SUM-159_NLS_4N_O2_A1_seed	SUM-159_NLS_4N_O2_A1_seed	SUM-159-NLS-4N	4N	O2	seeding	9	TRUE	classified_partial_full_promoted	3	0	1	no raw+mask or historical DetectionResults	dead_cell	35	1237	0.02829426	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_4N_O2_A1_seed.tsv.gz
SUM-159_NLS_2N_O2_A9_seedT3	SUM-159_NLS_2N_O2_A9_seedT3	SUM-159-NLS-2N	2N	O2	harvest	14	TRUE	classified_partial_full_promoted	3	0	1	no raw+mask or historical DetectionResults	dead_cell	497	4924	0.1009342	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A9_seedT3.tsv.gz
SUM-159_NLS_2N_O2_A2_seed	SUM-159_NLS_2N_O2_A2_seed	SUM-159-NLS-2N	2N	O2	seeding	7	TRUE	classified_full_promoted	4	0	0		dead_cell	31	503	0.061630219	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A2_seed.tsv.gz
SUM-159_NLS_2N_O2_A3_seed	SUM-159_NLS_2N_O2_A3_seed	SUM-159-NLS-2N	2N	O2	seeding	8	TRUE	classified_full_promoted	4	0	0		dead_cell	81	551	0.147005445	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A3_seed.tsv.gz
SUM-159_NLS_2N_O2_A4_seed	SUM-159_NLS_2N_O2_A4_seed	SUM-159-NLS-2N	2N	O2	seeding	9	TRUE	classified_full_promoted	4	0	0		dead_cell	27	714	0.037815126	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A4_seed.tsv.gz
SUM-159_NLS_2N_O2_A5_seed	SUM-159_NLS_2N_O2_A5_seed	SUM-159-NLS-2N	2N	O2	seeding	10	TRUE	classified_full_promoted	4	0	0		dead_cell	84	1102	0.076225045	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A5_seed.tsv.gz
SUM-159_NLS_2N_O2_A6_seed	SUM-159_NLS_2N_O2_A6_seed	SUM-159-NLS-2N	2N	O2	seeding	11	TRUE	classified_full_promoted	4	0	0		dead_cell	44	659	0.06676783	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A6_seed.tsv.gz
SUM-159_NLS_2N_O2_A7_seed	SUM-159_NLS_2N_O2_A7_seed	SUM-159-NLS-2N	2N	O2	seeding	12	TRUE	classified_full_promoted	4	0	0		dead_cell	37	576	0.064236111	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A7_seed.tsv.gz
SUM-159_NLS_2N_O2_A7K_seed	SUM-159_NLS_2N_O2_A7K_seed	SUM-159-NLS-2N	2N	O2	seeding	13	TRUE	classified_full_promoted	4	0	0		dead_cell	401	2181	0.183860614	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A7K_seed.tsv.gz
