observation_id	db_source_id	source_id	context_key	cohort	ploidy	lineage_id	scenario_id	condition_replicate	lineage_group	model_passage_id	model_segment_id	lineage_passage_index	landmark_after_passage_index	model_source_depth	model_oxygen_pct	model_mapping_status	observation_role	event	db_event	source_biological_passage	db_biological_passage	db_event_datetime	seed_db_id	seed_datetime	elapsed_days_since_seed	model_endpoint_day	endpoint_offset_days	abs_endpoint_offset_days	endpoint_selection_rank	selected_for_endpoint	likelihood_observation_day	within_model_time_window	include_in_current_endpoint_likelihood	include_in_future_timecourse_likelihood	exclusion_reason	cell_state	dead_count	eligible_denominator	observed_dead_fraction	classification_status	classification_partial	n_bundles_success	n_bundles_failed	n_bundles_unavailable	failure_reasons	ltee_comment_membership	feature_modes	prediction_shard	model_initial_cells	model_final_cells	db_snapshot_file	db_snapshot_server_time	db_snapshot_session_time_zone
SUM-159_NLS_2N_O1_A1_seedT1	SUM-159_NLS_2N_O1_A1_seedT1	SUM-159_NLS_2N_O1_A1_seedT1	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A1_seed	2N-O1-A1	1		2	2	formal_main_chain	formal_fixed_endpoint	harvest	harvest	9	9	2024-11-18 13:37:16	SUM-159_NLS_2N_O1_A1_seed	2024-11-15 15:51:50	2.9066	3	-0.0933999999999999	0.0933999999999999	1	TRUE	3	TRUE	TRUE	TRUE		dead_cell	118	9323	0.01265687	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A1_seedT1.tsv.gz	763799	6742373	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A2_seedT2	SUM-159_NLS_2N_O1_A2_seedT2	SUM-159_NLS_2N_O1_A2_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A2_seed	2N-O1-A2	2		3	1	formal_main_chain	formal_fixed_endpoint	harvest	harvest	10	10	2024-11-25 15:57:03	SUM-159_NLS_2N_O1_A2_seed	2024-11-20 15:48:35	5.0059	5	0.00589999999999957	0.00589999999999957	1	TRUE	5	FALSE	TRUE	FALSE		dead_cell	332	8724	0.038055938	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A2_seedT2.tsv.gz	404570	6311159	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A3_seedT2	SUM-159_NLS_2N_O1_A3_seedT2	SUM-159_NLS_2N_O1_A3_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A3_seed	2N-O1-A3	3		4	0.5	formal_main_chain	formal_fixed_endpoint	harvest	harvest	11	11	2024-12-02 12:49:44	SUM-159_NLS_2N_O1_A3_seed	2024-11-27 12:59:46	4.993	5	-0.00699999999999967	0.00699999999999967	1	TRUE	5	TRUE	TRUE	TRUE		dead_cell	398	9906	0.04017767	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A3_seedT2.tsv.gz	396157	7094357	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A4_seedT2	SUM-159_NLS_2N_O1_A4_seedT2	SUM-159_NLS_2N_O1_A4_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A4_seed	2N-O1-A4	4		5	0.3	formal_main_chain	formal_fixed_endpoint	harvest	harvest	12	12	2024-12-09 14:37:49	SUM-159_NLS_2N_O1_A4_seed	2024-12-04 17:24:02	4.8846	5	-0.1154	0.1154	1	TRUE	5	TRUE	TRUE	TRUE		dead_cell	107	9858	0.010854129	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A4_seedT2.tsv.gz	546906	7027045	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A5_seedT2	SUM-159_NLS_2N_O1_A5_seedT2	SUM-159_NLS_2N_O1_A5_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A5_seed	2N-O1-A5	5		6	0.2	formal_main_chain	formal_fixed_endpoint	harvest	harvest	13	13	2024-12-16 15:52:45	SUM-159_NLS_2N_O1_A5_seed	2024-12-11 17:25:58	4.9353	5	-0.0647000000000002	0.0647000000000002	1	TRUE	5	TRUE	TRUE	TRUE		dead_cell	255	16513	0.015442379	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A5_seedT2.tsv.gz	733415	11809671	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A6_seedT2	SUM-159_NLS_2N_O1_A6_seedT2	SUM-159_NLS_2N_O1_A6_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A6_seed	2N-O1-A6	6		7	0.1	formal_main_chain	formal_fixed_endpoint	harvest	harvest	14	14	2024-12-23 13:18:01	SUM-159_NLS_2N_O1_A6_seed	2024-12-18 16:42:34	4.858	5	-0.142	0.142	1	TRUE	5	TRUE	TRUE	TRUE		dead_cell	415	11243	0.036911856	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A6_seedT2.tsv.gz	480997	8016385	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A7_seedT2	SUM-159_NLS_2N_O1_A7_seedT2	SUM-159_NLS_2N_O1_A7_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A7_seed	2N-O1-A7	7		8	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	15	15	2024-12-30 16:22:28	SUM-159_NLS_2N_O1_A7_seed	2024-12-25 14:50:08	5.0641	5	0.0640999999999998	0.0640999999999998	1	TRUE	5	FALSE	TRUE	FALSE		dead_cell	125	9689	0.012901228	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A7_seedT2.tsv.gz	365305	6872790	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A8_seedT2	SUM-159_NLS_2N_O1_A8_seedT2	SUM-159_NLS_2N_O1_A8_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A8_seed	2N-O1-A8	8		9	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	16	16	2025-05-12 11:40:52	SUM-159_NLS_2N_O1_A8_seed	2025-05-08 16:40:31	3.7919	4	-0.2081	0.2081	1	TRUE	4	TRUE	TRUE	TRUE		dead_cell	295	4941	0.059704513	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A8_seedT2.tsv.gz	273453	4268740	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A9_seedT3	SUM-159_NLS_2N_O1_A9_seedT3	SUM-159_NLS_2N_O1_A9_seedT3	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A9_seed	2N-O1-A9	9		10	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	17	17	2025-05-21 11:46:21	SUM-159_NLS_2N_O1_A9_seed	2025-05-14 15:11:08	6.8578	7	-0.1422	0.1422	1	TRUE	7	TRUE	TRUE	TRUE		dead_cell	430	8176	0.052592955	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A9_seedT3.tsv.gz	433335	8047333	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A10_seedT2	SUM-159_NLS_2N_O1_A10_seedT2	SUM-159_NLS_2N_O1_A10_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A10_seed	2N-O1-A10	10		11	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	18	18	2025-05-28 16:53:19	SUM-159_NLS_2N_O1_A10_seed	2025-05-23 18:31:49	4.9316	5	-0.0683999999999996	0.0683999999999996	1	TRUE	5	TRUE	TRUE	TRUE		dead_cell	347	8336	0.041626679	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A10_seedT2.tsv.gz	745247	8643308	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
