observation_id	db_source_id	source_id	context_key	cohort	ploidy	lineage_id	scenario_id	condition_replicate	lineage_group	model_passage_id	model_segment_id	lineage_passage_index	landmark_after_passage_index	model_source_depth	model_oxygen_pct	model_mapping_status	observation_role	event	db_event	source_biological_passage	db_biological_passage	db_event_datetime	seed_db_id	seed_datetime	elapsed_days_since_seed	model_endpoint_day	endpoint_offset_days	abs_endpoint_offset_days	endpoint_selection_rank	selected_for_endpoint	likelihood_observation_day	within_model_time_window	include_in_current_endpoint_likelihood	include_in_future_timecourse_likelihood	exclusion_reason	cell_state	dead_count	eligible_denominator	observed_dead_fraction	classification_status	classification_partial	n_bundles_success	n_bundles_failed	n_bundles_unavailable	failure_reasons	ltee_comment_membership	feature_modes	prediction_shard	model_initial_cells	model_final_cells	db_snapshot_file	db_snapshot_server_time	db_snapshot_session_time_zone
SUM-159_NLS_2N_O1_A1_seedT1	SUM-159_NLS_2N_O1_A1_seedT1	SUM-159_NLS_2N_O1_A1_seedT1	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A1_seed	2N-O1-A1	1		2	2	formal_main_chain	formal_fixed_endpoint	harvest	harvest	9	9	2024-11-18 13:37:16	SUM-159_NLS_2N_O1_A1_seed	2024-11-15 15:51:50	2.9066	3	-0.0933999999999999	0.0933999999999999	1	TRUE	3	TRUE	TRUE	TRUE		dead_cell	118	9323	0.01265687	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A1_seedT1.tsv.gz	763799	6742373	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A2_seedT1	SUM-159_NLS_2N_O1_A2_seedT1	SUM-159_NLS_2N_O1_A2_seedT1	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A2_seed	2N-O1-A2	2		3	1	formal_main_chain	formal_intra_passage	harvest	harvest	10	10	2024-11-22 15:56:29	SUM-159_NLS_2N_O1_A2_seed	2024-11-20 15:48:35	2.0055	5	-2.9945	2.9945	2	FALSE		TRUE	FALSE	TRUE	not_closest_harvest_to_fixed_endpoint	dead_cell	39	1143	0.034120735	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A2_seedT1.tsv.gz	404570	6311159	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A2_seedT2	SUM-159_NLS_2N_O1_A2_seedT2	SUM-159_NLS_2N_O1_A2_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A2_seed	2N-O1-A2	2		3	1	formal_main_chain	formal_fixed_endpoint	harvest	harvest	10	10	2024-11-25 15:57:03	SUM-159_NLS_2N_O1_A2_seed	2024-11-20 15:48:35	5.0059	5	0.00589999999999957	0.00589999999999957	1	TRUE	5	FALSE	TRUE	FALSE		dead_cell	332	8724	0.038055938	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A2_seedT2.tsv.gz	404570	6311159	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A3_seedT1	SUM-159_NLS_2N_O1_A3_seedT1	SUM-159_NLS_2N_O1_A3_seedT1	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A3_seed	2N-O1-A3	3		4	0.5	formal_main_chain	formal_intra_passage	harvest	harvest	11	11	2024-11-29 17:38:49	SUM-159_NLS_2N_O1_A3_seed	2024-11-27 12:59:46	2.1938	5	-2.8062	2.8062	2	FALSE		TRUE	FALSE	TRUE	not_closest_harvest_to_fixed_endpoint	dead_cell	174	2711	0.064182958	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A3_seedT1.tsv.gz	396157	7094357	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A3_seedT2	SUM-159_NLS_2N_O1_A3_seedT2	SUM-159_NLS_2N_O1_A3_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A3_seed	2N-O1-A3	3		4	0.5	formal_main_chain	formal_fixed_endpoint	harvest	harvest	11	11	2024-12-02 12:49:44	SUM-159_NLS_2N_O1_A3_seed	2024-11-27 12:59:46	4.993	5	-0.00699999999999967	0.00699999999999967	1	TRUE	5	TRUE	TRUE	TRUE		dead_cell	398	9906	0.04017767	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A3_seedT2.tsv.gz	396157	7094357	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A4_seedT1	SUM-159_NLS_2N_O1_A4_seedT1	SUM-159_NLS_2N_O1_A4_seedT1	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A4_seed	2N-O1-A4	4		5	0.3	formal_main_chain	formal_intra_passage	harvest	harvest	12	12	2024-12-06 16:51:07	SUM-159_NLS_2N_O1_A4_seed	2024-12-04 17:24:02	1.9771	5	-3.0229	3.0229	2	FALSE		TRUE	FALSE	TRUE	not_closest_harvest_to_fixed_endpoint	dead_cell	151	3457	0.043679491	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A4_seedT1.tsv.gz	546906	7027045	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A4_seedT2	SUM-159_NLS_2N_O1_A4_seedT2	SUM-159_NLS_2N_O1_A4_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A4_seed	2N-O1-A4	4		5	0.3	formal_main_chain	formal_fixed_endpoint	harvest	harvest	12	12	2024-12-09 14:37:49	SUM-159_NLS_2N_O1_A4_seed	2024-12-04 17:24:02	4.8846	5	-0.1154	0.1154	1	TRUE	5	TRUE	TRUE	TRUE		dead_cell	107	9858	0.010854129	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A4_seedT2.tsv.gz	546906	7027045	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A5_seedT1	SUM-159_NLS_2N_O1_A5_seedT1	SUM-159_NLS_2N_O1_A5_seedT1	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A5_seed	2N-O1-A5	5		6	0.2	formal_main_chain	formal_intra_passage	harvest	harvest	13	13	2024-12-13 18:59:11	SUM-159_NLS_2N_O1_A5_seed	2024-12-11 17:25:58	2.0647	5	-2.9353	2.9353	2	FALSE		TRUE	FALSE	TRUE	not_closest_harvest_to_fixed_endpoint	dead_cell	363	5263	0.068972069	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A5_seedT1.tsv.gz	733415	11809671	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A5_seedT2	SUM-159_NLS_2N_O1_A5_seedT2	SUM-159_NLS_2N_O1_A5_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A5_seed	2N-O1-A5	5		6	0.2	formal_main_chain	formal_fixed_endpoint	harvest	harvest	13	13	2024-12-16 15:52:45	SUM-159_NLS_2N_O1_A5_seed	2024-12-11 17:25:58	4.9353	5	-0.0647000000000002	0.0647000000000002	1	TRUE	5	TRUE	TRUE	TRUE		dead_cell	255	16513	0.015442379	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A5_seedT2.tsv.gz	733415	11809671	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A6_seedT1	SUM-159_NLS_2N_O1_A6_seedT1	SUM-159_NLS_2N_O1_A6_seedT1	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A6_seed	2N-O1-A6	6		7	0.1	formal_main_chain	formal_intra_passage	harvest	harvest	14	14	2024-12-20 11:53:22	SUM-159_NLS_2N_O1_A6_seed	2024-12-18 16:42:34	1.7992	5	-3.2008	3.2008	2	FALSE		TRUE	FALSE	TRUE	not_closest_harvest_to_fixed_endpoint	dead_cell	200	3286	0.060864273	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A6_seedT1.tsv.gz	480997	8016385	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
