cohort	segment_id	passage_id	oxygen_pct	cumulative_end_day	cell_index	observed_kary_N
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	1	48
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	2	47
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	3	45
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	4	46
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	5	44
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	6	47
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	7	48
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	8	49
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	9	46
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	10	49
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	11	48
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	12	48
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	13	47
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	14	48
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	15	46
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	16	48
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	17	47
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	18	48
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	19	49
2N	20.5	SUM-159_NLS_2N_A5_seed	20.5	14	20	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	1	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	2	47
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	3	49
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	4	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	5	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	6	49
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	7	47
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	8	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	9	49
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	10	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	11	49
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	12	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	13	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	14	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	15	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	16	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	17	48
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	18	47
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	19	49
2N	20.5_20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	31	20	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	1	50
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	2	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	3	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	4	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	5	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	6	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	7	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	8	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	9	50
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	10	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	11	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	12	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	13	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	14	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	15	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	16	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	17	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	18	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O1_A7_seed	0	61	19	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	1	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	2	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	3	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	4	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	5	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	6	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	7	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	8	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	9	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	10	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	11	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	12	50
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	13	50
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	14	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	15	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	1	98
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	2	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	3	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	4	46
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	5	90
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	6	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	7	92
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	8	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	9	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	10	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	11	92
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	12	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	13	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	14	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	15	100
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	16	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	17	96
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	18	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	19	94
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	20	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	1	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	2	97
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	3	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	4	99
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	5	76
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	6	97
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	7	94
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	8	98
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	9	97
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	10	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	11	96
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	12	94
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	13	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	14	93
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	15	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	16	95
