cohort	lineage_terminal_key	lineage_label	lineage_passage_index	segment_id	parent_segment_id	depth	oxygen_pct	cumulative_start_day	cumulative_end_day	duration_days	duration_source	data_ids	n_data_ids
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	1	20.5		0	20.5	0	14	14	fallback_14d	SUM-159_NLS_2N_A5_seed	1
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	2	20.5_20.5	20.5	1	20.5	14	28	14	fallback_14d	SUM-159_NLS_2N_A5M_seed;SUM-159_NLS_2N_dp_seed;SUM-159_NLS_2N_MRCA_seed	3
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	3	20.5_20.5_2	20.5_20.5	2	2	28	31	3	observed_median	SUM-159_NLS_2N_O1_A1_seed;SUM-159_NLS_2N_O2_A1_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4	20.5_20.5_2_1	20.5_20.5_2	3	1	31	36	5	observed_median	SUM-159_NLS_2N_O1_A2_seed;SUM-159_NLS_2N_O2_A2_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	5	20.5_20.5_2_1_0.5	20.5_20.5_2_1	4	0.5	36	41	5	observed_median	SUM-159_NLS_2N_O1_A3_seed;SUM-159_NLS_2N_O2_A3_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	6	20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	5	0.3	41	46	5	observed_median	SUM-159_NLS_2N_O1_A4_seed;SUM-159_NLS_2N_O2_A4_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	7	20.5_20.5_2_1_0.5_0.3_0.2	20.5_20.5_2_1_0.5_0.3	6	0.2	46	51	5	observed_median	SUM-159_NLS_2N_O1_A5_seed;SUM-159_NLS_2N_O2_A5_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	8	20.5_20.5_2_1_0.5_0.3_0.2_0.1	20.5_20.5_2_1_0.5_0.3_0.2	7	0.1	51	56	5	observed_median	SUM-159_NLS_2N_O1_A6_seed;SUM-159_NLS_2N_O2_A6_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	9	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	8	0	56	61	5	observed_median	SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	10	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	9	1	61	75	14	fallback_14d	SUM-159_NLS_2N_O1_A7K_seed;SUM-159_NLS_2N_O2_A7K_seed	2
