harvest	day	burden	cohort	dose	treat_day	harvest_day	included_under_config	objective_observed_day_max	burden_present	used_in_burden_loss
SUM159-2N-0-O_harvest	0	0	2N	0	25	56	TRUE	56	TRUE	FALSE
SUM159-2N-0-O_harvest	25	40	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	28	125.44	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	32	274.4435	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	35	689.7	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	39	778.532	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	42	1056.296	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	46	1245.456	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	49	1916.6	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	53	1767.8715	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-O_harvest	56	1729.647	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	0	0	2N	0	25	56	TRUE	56	TRUE	FALSE
SUM159-2N-0-R_harvest	25	647.149	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	28	306.656	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	32	433.944	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	35	448	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	39	499.23	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	42	741.576	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	46	724.271	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	49	1108.809	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	53	1594.6875	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-R_harvest	56	1683.136	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-L_harvest	0	0	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	25	165.6	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	28	341.056	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	32	852.9505	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	35	696.29	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	39	972.0375	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	42	1499.4	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	46	2182.5	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	49	3123.568	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	53	3456.7995	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-L_harvest	56	3681.1575	2N	0	25	56	FALSE	56	TRUE	FALSE
SUM159-2N-0-RL_harvest	0	0	2N	0	25	56	TRUE	56	TRUE	FALSE
SUM159-2N-0-RL_harvest	25	133.4275	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	28	379.906	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	32	459.472	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	35	567.088	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	39	958.8125	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	42	932.137	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	46	766.3245	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	49	1441.3725	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	53	1902.7625	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RL_harvest	56	2622.36	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	0	0	2N	0	25	56	TRUE	56	TRUE	FALSE
SUM159-2N-0-RR_harvest	25	161.504	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	28	352.336	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	32	456.896	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	35	622.08	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	39	749.7	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	42	1379.742	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	46	1335.1	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	49	1811.25	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	53	2314.704	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-0-RR_harvest	56	3375.352	2N	0	25	56	TRUE	56	TRUE	TRUE
SUM159-2N-30-0_harvest	0	0	2N	30	25	63	FALSE	63	TRUE	FALSE
