cohort	segment_id	passage_id	sample_name	oxygen_pct	cumulative_end_day	grid_index	ploidy	density	log_density
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	1	0.5	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	2	0.540201005025126	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	3	0.580402010050251	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	4	0.620603015075377	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	5	0.660804020100503	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	6	0.701005025125628	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	7	0.741206030150754	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	8	0.781407035175879	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	9	0.821608040201005	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	10	0.861809045226131	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	11	0.902010050251256	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	12	0.942211055276382	3.86558362548317e-10	-21.6737382565885
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	13	0.982412060301508	1.34830642503456e-05	-11.2140761600381
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	14	1.02261306532663	4.27063277452154e-05	-10.0611634579544
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	15	1.06281407035176	0.000120506836964868	-9.02380406834546
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	16	1.10301507537688	0.000155699063766848	-8.76758549220054
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	17	1.14321608040201	0.000600005768178251	-7.41857128916392
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	18	1.18341708542714	0.00190874514993964	-6.26130924239621
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	19	1.22361809045226	0.00381025163700425	-5.57006004556669
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	20	1.26381909547739	0.00826650261712641	-4.79554375937867
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	21	1.30402010050251	0.019578141548704	-3.93334156218109
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	22	1.34422110552764	0.041694436416851	-3.17738757833869
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	23	1.38442211055276	0.0827501551111737	-2.49192939027145
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	24	1.42462311557789	0.150176255818031	-1.89594563591676
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	25	1.46482412060302	0.274004941546498	-1.29460913791546
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	26	1.50502512562814	0.454010211726375	-0.789635588404376
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	27	1.54522613065327	0.70055484695593	-0.355882619402263
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	28	1.58542713567839	1.01439582783339	0.0142931917520926
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	29	1.62562814070352	1.37314057704555	0.317100508322195
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	30	1.66582914572864	1.75100455173746	0.560189652807735
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	31	1.70603015075377	2.10066635506151	0.742254606330644
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	32	1.74623115577889	2.34317012344805	0.851504766129192
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	33	1.78643216080402	2.47467358290554	0.90610850162824
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	34	1.82663316582915	2.43487067764651	0.889893645328082
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	35	1.86683417085427	2.24406101969519	0.808287179668278
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	36	1.9070351758794	1.94575384976119	0.66564948540413
