cohort	segment_id	parent_segment_id	passage_id	oxygen_pct	cumulative_start_day	cumulative_end_day	passage_duration	observed_growth	initial_cells	final_cells	n_kary	n_flow	flow_sample_name
2N	20.5		SUM-159_NLS_2N_A5_seed	20.5	0	14	NA	NA	NA	NA	20	0	NA
2N	20.5_20.5	20.5	SUM-159_NLS_2N_A5M_seed	20.5	14	28	NA	NA	NA	NA	0	0	NA
2N	20.5_20.5	20.5	SUM-159_NLS_2N_dp_seed	20.5	14	28	NA	NA	NA	NA	0	0	NA
2N	20.5_20.5	20.5	SUM-159_NLS_2N_MRCA_seed	20.5	14	28	NA	NA	NA	NA	0	0	NA
2N	20.5_20.5_20.5	20.5_20.5	SUM-159_NLS_2N_A6M_seed	20.5	28	31	NA	NA	NA	NA	20	0	NA
2N	20.5_20.5_20.5	20.5_20.5	SUM-159_NLS_2N_C_A1_seed	20.5	28	31	3	0.846064496523974	614919	7782898	0	200	SUM-159_NLS_2N_C_A1_
2N	20.5_20.5_2	20.5_20.5	SUM-159_NLS_2N_O1_A1_seed	2	28	31	3	0.725954184515258	763799	6742373	0	0	NA
2N	20.5_20.5_2	20.5_20.5	SUM-159_NLS_2N_O2_A1_seed	2	28	31	3	0.795988317378729	580562	6323079	0	0	NA
2N	20.5_20.5_20.5_20.5	20.5_20.5_20.5	SUM-159_NLS_2N_A7M_K_seed	20.5	31	33	NA	NA	NA	NA	0	0	NA
2N	20.5_20.5_20.5_20.5	20.5_20.5_20.5	SUM-159_NLS_2N_C_A2_seed	20.5	31	33	2	1.15111723245741	401065	4009244	0	0	NA
2N	20.5_20.5_2_1	20.5_20.5_2	SUM-159_NLS_2N_O1_A2_seed	1	31	36	5	0.559363522840898	404570	6311159	0	0	NA
2N	20.5_20.5_2_1	20.5_20.5_2	SUM-159_NLS_2N_O2_A2_seed	1	31	36	5	0.582583674486393	366708	6273296	0	0	NA
2N	20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5	SUM-159_NLS_2N_C_A3_seed	20.5	33	34	1	2.10415719246389	749542	6146386	0	0	NA
2N	20.5_20.5_2_1_0.5	20.5_20.5_2_1	SUM-159_NLS_2N_O1_A3_seed	0.5	36	41	5	0.564954728131389	396157	7094357	0	0	NA
2N	20.5_20.5_2_1_0.5	20.5_20.5_2_1	SUM-159_NLS_2N_O2_A3_seed	0.5	36	41	5	0.576460809243452	402467	7647573	0	0	NA
2N	20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_2N_C_A4_seed	20.5	34	37	3	0.897051358818264	398961	5884151	0	0	NA
