cohort	segment_id	parent_segment_id	depth	oxygen_pct	data_ids	n_data_ids	duration_days	duration_source	initial_cells	final_cells
2N	20.5		0	20.5	SUM-159_NLS_2N_A5_seed	1	14	fallback_14d	NA	NA
2N	20.5_20.5	20.5	1	20.5	SUM-159_NLS_2N_A5M_seed;SUM-159_NLS_2N_dp_seed;SUM-159_NLS_2N_MRCA_seed	3	14	fallback_14d	NA	NA
2N	20.5_20.5_20.5	20.5_20.5	2	20.5	SUM-159_NLS_2N_A6M_seed;SUM-159_NLS_2N_C_A1_seed	2	3	observed_median	614919	7782898
2N	20.5_20.5_2	20.5_20.5	2	2	SUM-159_NLS_2N_O1_A1_seed;SUM-159_NLS_2N_O2_A1_seed	2	3	observed_median	672180.5	6532726
2N	20.5_20.5_20.5_20.5	20.5_20.5_20.5	3	20.5	SUM-159_NLS_2N_A7M_K_seed;SUM-159_NLS_2N_C_A2_seed	2	2	observed_median	401065	4009244
2N	20.5_20.5_2_1	20.5_20.5_2	3	1	SUM-159_NLS_2N_O1_A2_seed;SUM-159_NLS_2N_O2_A2_seed	2	5	observed_median	385639	6292227.5
2N	20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5	4	20.5	SUM-159_NLS_2N_C_A3_seed	1	1	observed_median	749542	6146386
2N	20.5_20.5_2_1_0.5	20.5_20.5_2_1	4	0.5	SUM-159_NLS_2N_O1_A3_seed;SUM-159_NLS_2N_O2_A3_seed	2	5	observed_median	399312	7370965
2N	20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5	5	20.5	SUM-159_NLS_2N_C_A4_seed	1	3	observed_median	398961	5884151
2N	20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	5	0.3	SUM-159_NLS_2N_O1_A4_seed;SUM-159_NLS_2N_O2_A4_seed	2	5	observed_median	535337	7105926
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5	6	20.5	SUM-159_NLS_2N_C_A5_seed	1	2	observed_median	807037	7320131
2N	20.5_20.5_2_1_0.5_0.3_0.2	20.5_20.5_2_1_0.5_0.3	6	0.2	SUM-159_NLS_2N_O1_A5_seed;SUM-159_NLS_2N_O2_A5_seed	2	5	observed_median	771628.5	11864712
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5	7	20.5	SUM-159_NLS_2N_C_A6_seed	1	3	observed_median	352684	4501460
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1	20.5_20.5_2_1_0.5_0.3_0.2	7	0.1	SUM-159_NLS_2N_O1_A6_seed;SUM-159_NLS_2N_O2_A6_seed	2	5	observed_median	480646.5	7890877
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	8	20.5	SUM-159_NLS_2N_C_A7_seed	1	2	observed_median	692047	6053832
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	8	0	SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed	2	5	observed_median	393001	7057195.5
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	9	20.5	SUM-159_NLS_2N_C_A8_seed	1	3	observed_median	1127468	10859596
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	9	1	SUM-159_NLS_2N_O1_A7K_seed;SUM-159_NLS_2N_O2_A7K_seed	2	14	fallback_14d	NA	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	9	0	SUM-159_NLS_2N_O1_A8_seed;SUM-159_NLS_2N_O2_A8_seed	2	4	observed_median	282568	5842225.5
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	10	20.5	SUM-159_NLS_2N_C_A9_seed	1	2	observed_median	839992	7082437
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	10	0	SUM-159_NLS_2N_O1_A9_seed;SUM-159_NLS_2N_O2_A9_seed	2	7	observed_median	409384.5	6777405
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	11	20.5	SUM-159_NLS_2N_C_A10_seed	1	3	observed_median	797221	10161940
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	11	0	SUM-159_NLS_2N_O1_A10_seed;SUM-159_NLS_2N_O2_A10_seed	2	5	observed_median	710157	7593946.5
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	12	20.5	SUM-159_NLS_2N_C_A11_seed	1	2	observed_median	372317	4017658
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	12	0	SUM-159_NLS_2N_O1_A11_seed;SUM-159_NLS_2N_O2_A11_seed	2	5	observed_median	505743.5	5751437
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	13	20.5	SUM-159_NLS_2N_C_A12_seed	1	3	observed_median	441031	6546749
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	13	0	SUM-159_NLS_2N_O1_A12_seed;SUM-159_NLS_2N_O2_A12_seed	2	7	observed_median	389333.5	7768840
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	14	0	SUM-159_NLS_2N_O1_A13_seed;SUM-159_NLS_2N_O2_A13_seed	2	6	observed_median	601545	8159287.5
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	15	0	SUM-159_NLS_2N_O1_A14_seed;SUM-159_NLS_2N_O2_A14_seed	2	7	observed_median	470653.5	6028816
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	16	0	SUM-159_NLS_2N_O1_A15_seed;SUM-159_NLS_2N_O2_A15_seed	2	4	observed_median	819326.5	5558719.5
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	17	0	SUM-159_NLS_2N_O1_A16_seed;SUM-159_NLS_2N_O2_A16_seed	2	9	observed_median	459513.5	6778519
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	18	0	SUM-159_NLS_2N_O1_A17_seed;SUM-159_NLS_2N_O2_A17_seed	2	7	observed_median	378750.5	7432977.5
