harvest	cohort	dose	treat_day	n_burden_obs	full_observed_day_min	harvest_day	objective_observed_day_min	objective_observed_day_max	contiguous_day_columns	n_ploidy_cells	has_ploidy	has_necrosis	n_necrosis_obs	has_burden	passes_dose_filter	passes_burden_filter	included_under_config	used_in_necrosis_loss
SUM159-2N-0-O_harvest	2N	0	25	11	0	56	0	56	TRUE	604	TRUE	TRUE	1	TRUE	TRUE	TRUE	TRUE	TRUE
SUM159-2N-0-R_harvest	2N	0	25	11	0	56	0	56	TRUE	303	TRUE	TRUE	1	TRUE	TRUE	TRUE	TRUE	TRUE
SUM159-2N-0-L_harvest	2N	0	25	11	0	56	0	56	TRUE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	FALSE	FALSE
SUM159-2N-0-RL_harvest	2N	0	25	11	0	56	0	56	TRUE	547	TRUE	TRUE	1	TRUE	TRUE	TRUE	TRUE	TRUE
SUM159-2N-0-RR_harvest	2N	0	25	11	0	56	0	56	TRUE	2274	TRUE	FALSE	0	TRUE	TRUE	TRUE	TRUE	FALSE
SUM159-2N-30-0_harvest	2N	30	25	13	0	63	0	63	TRUE	431	TRUE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-30-R_harvest	2N	30	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-30-L_harvest	2N	30	25	13	0	63	0	63	TRUE	806	TRUE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-30-RL_harvest	2N	30	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-30-RR_harvest	2N	30	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-60-0_harvest	2N	60	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-60-R_harvest	2N	60	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-60-L_harvest	2N	60	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-60-RL_harvest	2N	60	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-60-RR_harvest	2N	60	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-120-0_harvest	2N	120	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-120-R_harvest	2N	120	25	13	0	63	0	63	TRUE	518	TRUE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-120-L_harvest	2N	120	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-120-RL_harvest	2N	120	25	13	0	63	0	63	TRUE	1704	TRUE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-2N-120-RR_harvest	2N	120	25	13	0	63	0	63	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-0-0_harvest	4N	0	60	21	0	91	0	91	TRUE	1097	TRUE	TRUE	1	TRUE	TRUE	TRUE	TRUE	TRUE
SUM159-4N-0-R_harvest	4N	0	46	17	0	77	0	77	TRUE	512	TRUE	TRUE	1	TRUE	TRUE	TRUE	TRUE	TRUE
SUM159-4N-0-L_harvest	4N	0	46	17	0	77	0	77	TRUE	636	TRUE	TRUE	1	TRUE	TRUE	TRUE	TRUE	TRUE
SUM159-4N-0-RL_harvest	4N	0	77	24	0	102	0	102	TRUE	0	FALSE	TRUE	1	TRUE	TRUE	TRUE	FALSE	FALSE
SUM159-4N-0-RR_harvest	4N	0	53	21	0	91	0	91	TRUE	529	TRUE	FALSE	0	TRUE	TRUE	TRUE	TRUE	FALSE
SUM159-4N-30-0_harvest	4N	30	46	17	0	77	0	77	TRUE	328	TRUE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-30-R_harvest	4N	30	67	24	0	102	0	102	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-30-L_harvest	4N	30	46	21	0	91	0	91	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-30-RL_harvest	4N	30	53	21	0	91	0	91	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-30-RR_harvest	4N	30	46	17	0	77	0	77	TRUE	967	TRUE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-60-0_harvest	4N	60	46	17	0	77	0	77	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-60-R_harvest	4N	60	67	21	0	91	0	91	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-60-L_harvest	4N	60	46	24	0	102	0	102	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-60-RL_harvest	4N	60	46	21	0	91	0	91	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-60-RR_harvest	4N	60	46	17	0	77	0	77	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-120-0_harvest	4N	120	46	21	0	91	0	91	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-120-R_harvest	4N	120	74	30	0	123	0	123	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-120-L_harvest	4N	120	53	30	0	123	0	123	TRUE	0	FALSE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-120-RL_harvest	4N	120	46	19	0	84	0	84	TRUE	2463	TRUE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
SUM159-4N-120-RR_harvest	4N	120	46	19	0	84	0	84	TRUE	406	TRUE	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE
