segment_id	parent_segment_id	cohort	passage_index	oxygen_pct	duration_days	initial_cells	final_cells	selected_day	target_live_cells	passage_id	predicted_live_cells	predicted_growth_rate	predicted_mean_kary_N	observed_growth	observed_mean_kary_N	observed_n_kary	observed_n_flow	lineage_terminal_key	lineage_label	lineage_passage_index
20.5	NA	2N	1	20.5	14	NA	NA	14	NA	SUM-159_NLS_2N_A5_seed	1134436850.93906	0.502420831443616	46.0113557777077	NA	47.3	20	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	1
20.5	NA	2N	1	20.5	14	NA	NA	14	NA	SUM-159_NLS_2N_A5_seed	1134436850.93906	0.502420831443616	46.0113557777077	NA	47.3	20	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	1
20.5	NA	2N	1	20.5	14	NA	NA	14	NA	SUM-159_NLS_2N_A5_seed	1134436850.93906	0.502420831443616	46.0113557777077	NA	47.3	20	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	1
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_A5M_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	2
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_A5M_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	2
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_A5M_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	2
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_dp_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	2
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_dp_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	2
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_dp_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	2
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_MRCA_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	2
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_MRCA_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	2
20.5_20.5	20.5	2N	2	20.5	14	NA	NA	1	614919	SUM-159_NLS_2N_MRCA_seed	1652846.42223653	0.502498906014779	46.0317248629541	NA	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	2
20.5_20.5_20.5	20.5_20.5	2N	3	20.5	3	614919	7782898	3	7782898	SUM-159_NLS_2N_A6M_seed	2776612.23916277	0.502498764247763	46.0927642153897	NA	48.15	20	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	3
20.5_20.5_20.5	20.5_20.5	2N	3	20.5	3	614919	7782898	3	7782898	SUM-159_NLS_2N_C_A1_seed	2776612.23916277	0.502498764247763	46.0927642153897	0.846064496523974	NA	0	200	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	3
20.5_20.5_2	20.5_20.5	2N	4	2	3	672180.5	6532726	3	6532726	SUM-159_NLS_2N_O1_A1_seed	1550662.03584069	0.278636777657997	46.5162122671954	0.725954184515258	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	3
20.5_20.5_2	20.5_20.5	2N	4	2	3	672180.5	6532726	3	6532726	SUM-159_NLS_2N_O1_A1_seed	1550662.03584069	0.278636777657997	46.5162122671954	0.725954184515258	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	3
20.5_20.5_2	20.5_20.5	2N	4	2	3	672180.5	6532726	3	6532726	SUM-159_NLS_2N_O2_A1_seed	1550662.03584069	0.278636777657997	46.5162122671954	0.795988317378729	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	3
20.5_20.5_2	20.5_20.5	2N	4	2	3	672180.5	6532726	3	6532726	SUM-159_NLS_2N_O2_A1_seed	1550662.03584069	0.278636777657997	46.5162122671954	0.795988317378729	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	3
20.5_20.5_20.5_20.5	20.5_20.5_20.5	2N	5	20.5	2	401065	4009244	2	4009244	SUM-159_NLS_2N_A7M_K_seed	1095670.27280875	0.502499033666793	46.1334006457191	NA	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	4
20.5_20.5_20.5_20.5	20.5_20.5_20.5	2N	5	20.5	2	401065	4009244	2	4009244	SUM-159_NLS_2N_C_A2_seed	1095670.27280875	0.502499033666793	46.1334006457191	1.15111723245741	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	4
20.5_20.5_2_1	20.5_20.5_2	2N	6	1	5	385639	6292227.5	1	6292227.5	SUM-159_NLS_2N_O1_A2_seed	296592.137164665	-0.262543779244986	46.8511616558446	0.559363522840898	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4
20.5_20.5_2_1	20.5_20.5_2	2N	6	1	5	385639	6292227.5	1	6292227.5	SUM-159_NLS_2N_O1_A2_seed	296592.137164665	-0.262543779244986	46.8511616558446	0.559363522840898	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	4
20.5_20.5_2_1	20.5_20.5_2	2N	6	1	5	385639	6292227.5	1	6292227.5	SUM-159_NLS_2N_O2_A2_seed	296592.137164665	-0.262543779244986	46.8511616558446	0.582583674486393	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4
20.5_20.5_2_1	20.5_20.5_2	2N	6	1	5	385639	6292227.5	1	6292227.5	SUM-159_NLS_2N_O2_A2_seed	296592.137164665	-0.262543779244986	46.8511616558446	0.582583674486393	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	4
20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5	2N	7	20.5	1	749542	6146386	1	6146386	SUM-159_NLS_2N_C_A3_seed	1238877.72931813	0.502498838455345	46.1537019289295	2.10415719246389	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	5
20.5_20.5_2_1_0.5	20.5_20.5_2_1	2N	8	0.5	5	399312	7370965	1	7370965	SUM-159_NLS_2N_O1_A3_seed	250533.637982205	-0.46614987133783	47.0446590175719	0.564954728131389	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	5
20.5_20.5_2_1_0.5	20.5_20.5_2_1	2N	8	0.5	5	399312	7370965	1	7370965	SUM-159_NLS_2N_O1_A3_seed	250533.637982205	-0.46614987133783	47.0446590175719	0.564954728131389	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	5
20.5_20.5_2_1_0.5	20.5_20.5_2_1	2N	8	0.5	5	399312	7370965	1	7370965	SUM-159_NLS_2N_O2_A3_seed	250533.637982205	-0.46614987133783	47.0446590175719	0.576460809243452	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	5
20.5_20.5_2_1_0.5	20.5_20.5_2_1	2N	8	0.5	5	399312	7370965	1	7370965	SUM-159_NLS_2N_O2_A3_seed	250533.637982205	-0.46614987133783	47.0446590175719	0.576460809243452	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	5
20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5	2N	9	20.5	3	398961	5884151	3	5884151	SUM-159_NLS_2N_C_A4_seed	1801473.14015704	0.502498784205036	46.2145381700074	0.897051358818264	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	6
20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	2N	10	0.3	5	535337	7105926	1	7105926	SUM-159_NLS_2N_O1_A4_seed	357267.740663	-0.404410980594486	47.3263851383401	0.496979906893512	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	6
20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	2N	10	0.3	5	535337	7105926	1	7105926	SUM-159_NLS_2N_O1_A4_seed	357267.740663	-0.404410980594486	47.3263851383401	0.496979906893512	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	6
20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	2N	10	0.3	5	535337	7105926	1	7105926	SUM-159_NLS_2N_O2_A4_seed	357267.740663	-0.404410980594486	47.3263851383401	0.510656518381784	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	6
20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	2N	10	0.3	5	535337	7105926	1	7105926	SUM-159_NLS_2N_O2_A4_seed	357267.740663	-0.404410980594486	47.3263851383401	0.510656518381784	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	6
20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5	2N	11	20.5	2	807037	7320131	2	7320131	SUM-159_NLS_2N_C_A5_seed	2204743.47785286	0.502498464248466	46.2550393821963	1.10250699346418	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	7
