file	layer	kind	purpose	inputs	outputs	function_count	functions	tests	lines
analysis/best_fit_parameter_feature/01_fixed_o2/FixO2_invivo.R	analysis	R entrypoint	Deprecated compatibility orchestrator for the historical	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	fixo2_main	test-fixed-o2-stage34-boundaries.R, test-stage5-util-consolidation.R	65
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/clustering_analysis.R	analysis	R library/module	Deprecated compatibility wrapper; canonical implementation is in analysis/parameter_landscape_clustering.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/clustering_report.R	analysis	R library/module	Deprecated compatibility wrapper; report assembly is canonical under report/parameter_landscape.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-parameter-landscape-stage3-boundaries.R, test-report-image-lightbox.R	4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/clustering_runner.R	analysis	R library/module	Deprecated compatibility wrapper; canonical implementation is in runner/parameter_landscape.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R	4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/deprecated_forward.R	analysis	R library/module	Deprecated compatibility helper for the former duplicate workflow tree.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	bpf_parameter_landscape_forward		13
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/dominant_ploidy_parameter_contribution_analysis.R	analysis	R library/module	Deprecated compatibility wrapper; canonical implementation consumes materialized simulation tables.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/dominant_ploidy_parameter_contribution_report.R	analysis	R library/module	Deprecated compatibility wrapper; report assembly is canonical under report/parameter_landscape.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-report-image-lightbox.R	4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/dominant_ploidy_parameter_contribution_runner.R	analysis	R library/module	Deprecated compatibility wrapper; canonical orchestration is in runner/parameter_landscape.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/full_data_in_vivo_clustring.R	analysis	R library/module	Deprecated compatibility wrapper for the historical misspelled entrypoint.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/mode_parameter_contribution_analysis.R	analysis	R library/module	Deprecated compatibility wrapper; canonical implementation consumes materialized simulation tables.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/mode_parameter_contribution_report.R	analysis	R library/module	Deprecated compatibility wrapper; report assembly is canonical under report/parameter_landscape.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-report-image-lightbox.R	4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/mode_parameter_contribution_runner.R	analysis	R library/module	Deprecated compatibility wrapper; canonical orchestration is in runner/parameter_landscape.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			4
analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/parameter_landscape_utils.R	analysis	R library/module	Deprecated compatibility loader for callers that source the former duplicate utility.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	10
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/compare_1000D_10000D_report.R	analysis	R entrypoint	Deprecated compatibility entrypoint; report assembly now belongs to report/dense_grid_monotonicity.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			9
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/compare_eigen_initial_ploidy_predictions.R	analysis	R entrypoint	Deprecated compatibility entrypoint; comparison tables, figures, and reports are layer-owned.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			9
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/curve_classification_utils.R	analysis	R library/module	Deprecated compatibility loader; shared classification functions live in util.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	9
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/dense_grid_monotonicity_array_backend.R	analysis	R entrypoint	Deprecated compatibility entrypoint; HPC numerical work now belongs to simulation/o2/dense_grid.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			5
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/dense_grid_monotonicity_report.R	analysis	R entrypoint	Deprecated compatibility entrypoint; HTML assembly now belongs to report/dense_grid_monotonicity.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	write_dense_grid_monotonicity_report		11
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/deprecated_forward.R	analysis	R library/module	Deprecated compatibility helpers for the pre-stage-3 dense-grid entrypoints.	simulation tables/manifest	in-memory values or layer-specific artifacts	6	deprecated_dense_root, deprecated_dense_flags, deprecated_dense_parse_args, deprecated_dense_run, deprecated_dense_direct, deprecated_dense_regression_outputs		74
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/fixed_o2_initial_ploidy_trajectory.R	analysis	R entrypoint	Deprecated compatibility entrypoint. Trajectories are materialized by simulation/o2/dense_grid.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	generate_outputs		17
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/fixed_o2_ploidy_monotonicity_regression_classification.R	analysis	R entrypoint	Deprecated compatibility entrypoint. Smooth curve statistics now belong to analysis/dense_grid_monotonicity.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			20
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/fixed_o2_ploidy_monotonicity.R	analysis	R entrypoint	Deprecated compatibility entrypoint. Numerical curves are materialized by simulation/o2/dense_grid.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	generate_outputs		17
analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/plot_objective_by_curve_class.R	analysis	R entrypoint	Deprecated compatibility entrypoint; graphics now belong to vis/dense_grid_monotonicity.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			9
