param_name,value,scale
log10_O2_crit,-0.30103000,log10
delta__log10_O2_crit,-1.39794001,log10
log10_alpha_o2,-0.30103000,log10
gamma_growth,1.59150000,identity
log10_mu_hp,-3.38890198,log10
delta__log10_mu_hp,1.37986395,log10
log10_p_misseg,-0.62282583,log10
delta__log10_p_misseg,0.44977165,log10
log10_k_o_mis,-3.00000000,log10
delta__log10_k_o_mis,0.00000000,log10
buffer_smax,0.95350000,identity
delta__buffer_smax,-0.09300000,identity
log10_buffer_beta,-0.00721559,log10
delta__log10_buffer_beta,-0.34254176,log10
log10_buffer_n_exp,0.71085320,log10
delta__log10_buffer_n_exp,0.47853629,log10
n_O,0.77550000,identity
delta__n_O,0.32100000,identity
log10_lam_max,-0.19404174,log10
delta__log10_lam_max,-0.71141830,log10
log10_p_mis_base,-4.24432537,log10
delta__log10_p_mis_base,-0.40625616,log10
log10_p_wgd,-3.49633952,log10
delta__log10_p_wgd,-0.99267905,log10
gamma_mu,2.52400000,identity
delta__gamma_mu,1.15000000,identity
