param_symbol,estimate,init_value,lower_bound,upper_bound,source,description,use_invitro_fit
lam_min,TRUE,0.050000,0.0020000,0.800000,model_calibration,baseline division rate lam_min in day^-1,TRUE
lam_max,TRUE,0.351194,0.249787,1.5,model_calibration,maximum division rate lam_max in day^-1,TRUE
k_o,TRUE,1.995262,0.00100000,50,model_calibration,baseline growth saturation scale in percent O2,TRUE
p_misseg,TRUE,0.015000,0.005000,0.40000,model_calibration,stress-linked missegregation amplification scale,TRUE
k_o_mis,TRUE,0.00001000,0.001000,0.020000,model_calibration,half-saturation scale for death-linked missegregation amplification in day^-1,TRUE
gamma_loss,TRUE,1.000000,0.500000,5.000000,model_calibration,softening exponent for nullisomy-risk-based loss survival,TRUE
buffer_smax,FALSE,0.800000,0.000000,1.000000,model_calibration,maximum per-copy survival factor for symmetric buffering missegregation survival,FALSE
buffer_beta,FALSE,1.000000,0.010000,10.000000,model_calibration,ploidy-buffering strength for symmetric missegregation survival,FALSE
buffer_n_exp,FALSE,1.000000,0.100000,10.000000,model_calibration,ploidy-buffering exponent for symmetric missegregation survival,FALSE
p_wgd,TRUE,0.000100,0.000010,0.001000,model_calibration,constant per-division whole-genome doubling probability,TRUE
o2_S0,TRUE,3.500000,2.000000,5.000000,model_calibration,supply-demand oxygen baseline S0 in percent O2,FALSE
kappa_O,TRUE,0.500000,0.100000,1.200000,model_calibration,oxygen drop coefficient in the logarithmic O2 target model,FALSE
eta_o2,TRUE,1.200000,1.000000,2.000000,model_calibration,ploidy-weighted oxygen demand exponent,FALSE
rho_2N,TRUE,42332.020717,32000.000000,56000.000000,literature_cell_density,2N cell density in cells per mm^3,FALSE
beta_size,TRUE,0.350000,0.200000,1.200000,model_calibration,ploidy-to-volume scaling exponent for the burden observation model,FALSE
alpha_o2,TRUE,0.500000,0.500000,4.000000,model_calibration,soft oxygen-mediated high-ploidy growth penalty strength,TRUE
gamma_growth,TRUE,0.1000000,1.500000,4.500000,model_calibration,exponent for the soft oxygen-mediated ploidy growth penalty,TRUE
mu_hp,TRUE,0.001500,0.000010,0.008000,model_calibration,soft thresholded high-ploidy hypoxia death strength in day^-1,TRUE
gamma_mu,TRUE,2.000000,1.200000,3.500000,model_calibration,exponent for high-ploidy hypoxia death above diploid reference,TRUE
O2_crit,TRUE,1.000000,0.0001,2.500000,model_calibration,Hill critical oxygen scale for the oxygen-response weight,TRUE
n_O,TRUE,0.1000000,0.0001,5.000000,model_calibration,Hill exponent for the oxygen-response weight,TRUE
k_clear,TRUE,0.000100,0.000010,0.000501,model_calibration,dead-cell clearance rate in day^-1,FALSE
sigma_burden,TRUE,0.200000,0.100000,0.600000,model_calibration,burden log-normal observation SD,FALSE
sigma_growth,TRUE,0.100000,0.001000,1.000000,observation_model,shared standard deviation of growth-rate observations in the in vitro likelihood,TRUE
sigma_kary,TRUE,1.000000,0.010000,10.000000,observation_model,shared standard deviation of chromosome-count observation error used to smooth the model-predicted N distribution before evaluating the in vitro likelihood,TRUE
init_mean_2N,TRUE,47.725000,45.725000,49.725000,early_karyotype_ic,initial 2N-cohort Gaussian chromosome-count mean from early normoxic karyotypes,TRUE
init_sd_2N,TRUE,1.131994,0.500000,3.000000,early_karyotype_ic,initial 2N-cohort Gaussian chromosome-count SD from early normoxic karyotypes,TRUE
init_mean_4N,TRUE,87.666667,83.666667,91.666667,early_karyotype_ic,initial 4N-cohort Gaussian chromosome-count mean from early normoxic karyotypes,TRUE
init_sd_4N,TRUE,3.648875,1.500000,6.000000,early_karyotype_ic,initial 4N-cohort Gaussian chromosome-count SD from early normoxic karyotypes,TRUE
tau_O2,FALSE,0.100000,0.001000,1000.000000,model_calibration,oxygen relaxation time constant when fit_tau_O2 is enabled,FALSE
alpha,FALSE,0.000100,0.000100,5.000000,treatment_module,treatment-effect scale active only when fit_treatment is TRUE,FALSE
gamma,FALSE,1.000000,0.200000,4.000000,treatment_module,treatment-effect exponent active only when fit_treatment is TRUE,FALSE
p_mis_base,TRUE,0.000010,0.000001,0.100000,model_calibration,baseline per-chromosome missegregation probability,TRUE
