"param_name","estimate","init_value","lower_bound","upper_bound","source","note"
"log10_lam_min",TRUE,-1.305351,-1.857333,-0.159175,"literature_tumor_cycle","lam_min in transformed scale (log10 day^-1)"
"delta_lam",TRUE,-1.203973,-13.815511,0.693147,"default_engineering","lam_max = lam_min + exp(delta_lam)"
"log10_k_o",TRUE,0.255273,-0.30103,0.69897,"literature_oxygen_prior","k_o in %O2 (conservative truncation [0.5 to 5])"
"log10_p_misseg",TRUE,-1.34678748622466,-1.69897000433602,-1.15490195998574,"constrained_test_v2","v2b: keep p_misseg high enough for late convergence, but pair it with stronger oxygen gating via lower k_o_mis"
"log10_k_o_mis",TRUE,-0.301029995663981,-0.698970004336019,0,"literature_oxygen_prior","v2b: lower k_o_mis so missegregation is suppressed earlier and turns on later as oxygen declines"
"beta_buffer",TRUE,0.003,0,0.01,"constrained_test_v2","v2b: keep background buffer death weak so 4N burden is not lost through nonviable daughter routing"
"log10_n_exp",TRUE,0,-0.30103,0.176091,"constrained_test_v2","n_exp constrained to moderate buffering curvature"
"log10_smax",TRUE,-0.00130484168834428,-0.00217691925427455,-0.000434511774017692,"constrained_test_v2","v2b: keep smax extremely close to 1 so misseg mainly redistributes viable daughters"
"log10_beta_loss",TRUE,-2.22184874961636,-2.52287874528034,-2,"constrained_test_v2","v2b: keep loss penalty light so ploidy movement does not collapse 4N burden too early"
"logit_gain_loss_ratio",TRUE,-2.94443897916644,-3.89182029811063,-2.4423470353692,"constrained_test_v2","v2b: gain penalty remains much weaker than loss penalty while staying numerically stable"
"log10_p_wgd",TRUE,-4.5,-8,-3.5,"literature_tumor_prior","p_wgd transformed as log10 probability"
"log10_o2_init_pct",TRUE,0.397940008672038,0.342422680822206,0.477121254719662,"literature_oxygen_prior","v2b: preserve early oxygen availability to support early 4N growth"
"log10_o2_rate",TRUE,-0.346787486224656,-0.602059991327962,-0.154901959985743,"default_engineering","v2b: slow oxygen decline so hypoxia-coupled convergence happens later"
"log10_o2_shape_v",TRUE,0,-0.0222763947111523,0.0413926851582251,"literature_oxygen_prior","v2b: tighten oxygen-shape flexibility around near-logistic behavior"
"log10_rho_2N",TRUE,4.626669,4.50515,4.748188,"literature_cell_density","2N cell density (cells/mm^3) transformed"
"beta_size",TRUE,0.55,0.45,0.7,"literature_allometry","v2b: increase burden volume contribution of higher-ploidy states to support 4N burden fit"
"log10_alpha_o2",TRUE,-3.85387196432176,-4.09691001300806,-3.69897000433602,"constrained_test_v2","v2b: keep hypoxia growth damping weaker than v2/v3 so 4N burden can build before late convergence"
"gamma_growth",TRUE,2,2,2,"default_engineering","ploidy-size growth damping exponent (fixed at 2)"
"log10_mu_hp",TRUE,-2,-4,-1.30103,"default_engineering","hypoxia-linked high-ploidy death strength (inactive when death=FALSE)"
"log10_k_clear",TRUE,-3.522879,-5,-2,"default_engineering","dead-cell clearance rate (transformed day^-1)"
"log10_sigma_burden",TRUE,-0.657577319177794,-0.823908740944319,-0.522878745280338,"constrained_test_v2","v2b: tighten burden noise so optimization cannot ignore 4N burden mismatch"
