param_name,value,scale
log10_O2_crit,-0.35178994,log10
delta__log10_O2_crit,-1.29642013,log10
log10_alpha_o2,-0.30103000,log10
gamma_growth,1.59129264,identity
log10_mu_hp,-2.97820586,log10
delta__log10_mu_hp,0.50105216,log10
log10_p_misseg,-1.19221628,log10
delta__log10_p_misseg,1.58855255,log10
log10_k_o_mis,-3.98628836,log10
delta__log10_k_o_mis,2.02742328,log10
buffer_smax,0.95357000,identity
delta__buffer_smax,-0.09286000,identity
log10_buffer_beta,0.00009107,log10
delta__log10_buffer_beta,-0.35663179,log10
log10_buffer_n_exp,0.71777729,log10
delta__log10_buffer_n_exp,0.46468891,log10
n_O,1.55439467,identity
delta__n_O,-1.23715092,identity
log10_lam_max,-0.20363747,log10
delta__log10_lam_max,-0.69235661,log10
log10_p_mis_base,-3.96869850,log10
delta__log10_p_mis_base,-0.95740352,log10
log10_p_wgd,-3.60916886,log10
delta__log10_p_wgd,-0.76725347,log10
gamma_mu,2.63625332,identity
delta__gamma_mu,0.92459168,identity
