param_symbol,estimate,init_value,lower_bound,upper_bound,source,description
lam_max,TRUE,0.300000,0.005000,0.300000,model_calibration,maximum division rate lam_max in day^-1
p_misseg,TRUE,0.015000,0.005000,0.500000,model_calibration,maximal stress-induced per-chromosome missegregation increment above baseline
k_o_mis,TRUE,0.003000,0.001000,0.020000,model_calibration,stress-associated death-hazard half-saturation scale for stress-induced missegregation in day^-1
buffer_smax,TRUE,0.800000,0.000000,1.000000,model_calibration,maximum per-copy post-missegregation survival factor
buffer_beta,TRUE,1.000000,0.010000,10.000000,model_calibration,ploidy-dependent post-missegregation viability-loss strength
buffer_n_exp,TRUE,1.000000,0.100000,10.000000,model_calibration,exponent controlling ploidy dependence of post-missegregation survival
p_wgd,TRUE,0.000100,0.000010,0.001000,model_calibration,constant per-division whole-genome doubling probability
o2_S0,TRUE,3.500000,2.000000,5.000000,model_calibration,low-burden effective oxygen supply level in percent O2
kappa_O,TRUE,0.500000,0.100000,1.200000,model_calibration,oxygen-drop amplitude in the chromosome-number-weighted supply-demand target
eta_o2,TRUE,1.200000,1.000000,2.000000,model_calibration,chromosome-number-weighted oxygen-demand exponent
rho_2N,TRUE,56000.000000,50000.000000,500000.000000,literature_cell_density,2N cell density in cells per mm^3
alpha_o2,TRUE,1.500000,0.500000,4.000000,model_calibration,resource-stress-dependent high-chromosome-count growth damping strength
gamma_growth,TRUE,3.000000,1.500000,4.500000,model_calibration,chromosome-number dependence of the resource-stress growth penalty
mu_hp,TRUE,0.005000,0.005000,0.300000,model_calibration,stress-associated death scale in day^-1
gamma_mu,TRUE,2.000000,1.200000,3.500000,model_calibration,chromosome-number penalty on stress-associated death
O2_crit,TRUE,1.000000,0.100000,2.500000,model_calibration,critical oxygen level for the oxygen-linked resource-stress function
n_O,TRUE,1.000000,0.500000,5.000000,model_calibration,Hill exponent for the oxygen-linked resource-stress function
k_clear,TRUE,0.010000,0.005000,0.300000,model_calibration,dead-biomass clearance rate in day^-1
sigma_burden,TRUE,0.100000,0.100000,0.150000,model_calibration,burden log-normal observation SD
tau_O2,FALSE,0.100000,0.001000,1000.000000,model_calibration,effective oxygen relaxation time constant when fit_tau_O2 is enabled
alpha,FALSE,0.000100,0.000100,5.000000,treatment_module,treatment-effect scale active only when fit_treatment is TRUE
gamma,FALSE,1.000000,0.200000,4.000000,treatment_module,treatment-effect exponent active only when fit_treatment is TRUE
p_mis_base,TRUE,0.000010,0.000001,0.100000,model_calibration,baseline per-chromosome missegregation probability
