id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept
SUM-159_NLS_2N_C_A1_seed,SUM-159,SUM-159_NLS_2N_dp_seedT1,SUM-159_NLS_2N_C_A1_seed,6, 1,2024-11-15,0,614919,2N,control,20.5,0.846064496523974,614918.999999999
SUM-159_NLS_2N_C_A1_seedT1,SUM-159,SUM-159_NLS_2N_C_A1_seed,SUM-159_NLS_2N_C_A1_seed,6, 1,2024-11-18,3,7782898,2N,control,20.5,0.846064496523974,614918.999999999
SUM-159_NLS_2N_C_A10_seed,SUM-159,SUM-159_NLS_2N_C_A9_seedT1,SUM-159_NLS_2N_C_A10_seed,15,10,2024-12-20,0,797221,2N,control,20.5,0.848424239199109,797221.000000003
SUM-159_NLS_2N_C_A10_seedT1,SUM-159,SUM-159_NLS_2N_C_A10_seed,SUM-159_NLS_2N_C_A10_seed,15,10,2024-12-23,3,10161940,2N,control,20.5,0.848424239199109,797221.000000003
SUM-159_NLS_2N_C_A11_seed,SUM-159,SUM-159_NLS_2N_C_A10_seedT1,SUM-159_NLS_2N_C_A11_seed,16,11,2024-12-25,0,372317,2N,control,20.5,1.18935439142098,372317
SUM-159_NLS_2N_C_A11_seedT1,SUM-159,SUM-159_NLS_2N_C_A11_seed,SUM-159_NLS_2N_C_A11_seed,16,11,2024-12-27,2,4017658,2N,control,20.5,1.18935439142098,372317
SUM-159_NLS_2N_C_A12_seed,SUM-159,SUM-159_NLS_2N_C_A11_seedT1,SUM-159_NLS_2N_C_A12_seed,17,12,2024-12-27,0,441031,2N,control,20.5,0.899202900591717,441030.999999998
SUM-159_NLS_2N_C_A12_seedT1,SUM-159,SUM-159_NLS_2N_C_A12_seed,SUM-159_NLS_2N_C_A12_seed,17,12,2024-12-30,3,6546749,2N,control,20.5,0.899202900591717,441030.999999998
SUM-159_NLS_2N_C_A2_seed,SUM-159,SUM-159_NLS_2N_C_A1_seedT1,SUM-159_NLS_2N_C_A2_seed,7, 2,2024-11-20,0,401065,2N,control,20.5,1.15111723245741,401064.999999999
SUM-159_NLS_2N_C_A2_seedT1,SUM-159,SUM-159_NLS_2N_C_A2_seed,SUM-159_NLS_2N_C_A2_seed,7, 2,2024-11-22,2,4009244,2N,control,20.5,1.15111723245741,401064.999999999
SUM-159_NLS_2N_C_A3_seed,SUM-159,SUM-159_NLS_2N_C_A2_seedT1,SUM-159_NLS_2N_C_A3_seed,8, 3,2024-11-26,0,749542,2N,control,20.5,2.10415719246389,749541.999999994
SUM-159_NLS_2N_C_A3_seedT1,SUM-159,SUM-159_NLS_2N_C_A3_seed,SUM-159_NLS_2N_C_A3_seed,8, 3,2024-11-27,1,6146386,2N,control,20.5,2.10415719246389,749541.999999994
SUM-159_NLS_2N_C_A4_seed,SUM-159,SUM-159_NLS_2N_C_A3_seedT1,SUM-159_NLS_2N_C_A4_seed,9, 4,2024-11-29,0,398961,2N,control,20.5,0.897051358818264,398960.999999997
SUM-159_NLS_2N_C_A4_seedT1,SUM-159,SUM-159_NLS_2N_C_A4_seed,SUM-159_NLS_2N_C_A4_seed,9, 4,2024-12-02,3,5884151,2N,control,20.5,0.897051358818264,398960.999999997
SUM-159_NLS_2N_C_A5_seed,SUM-159,SUM-159_NLS_2N_C_A4_seedT1,SUM-159_NLS_2N_C_A5_seed,10, 5,2024-12-04,0,807037,2N,control,20.5,1.10250699346418,807037
SUM-159_NLS_2N_C_A5_seedT1,SUM-159,SUM-159_NLS_2N_C_A5_seed,SUM-159_NLS_2N_C_A5_seed,10, 5,2024-12-06,2,7320131,2N,control,20.5,1.10250699346418,807037
