parameter	O2_pct	n_complete	spearman_rho	parameter_group	parameter_order	parameter_plot_label	parameter_display_label	display_order	importance_rank	peak_direction	peak_direction_order	within_direction_rank	max_abs_rho	rho_at_max_abs	O2_at_max_abs
p_mis_base	0	500	0.0654441337765351	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.025	500	0.0621337525350101	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.05	500	0.0619631598526394	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.075	500	0.0648064992259969	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.1	500	0.0567564830259321	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.125	500	0.0491786927147709	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.15	500	0.0526177144708579	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.175	500	0.0556513266053064	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.2	500	0.0512668930675723	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.225	500	0.0532534290137161	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.25	500	0.0495082620330481	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.275	500	0.044248592994372	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.3	500	0.0711763167052668	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.325	500	0.0777269029076116	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.35	500	0.0822230808923236	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.375	500	0.0818586634346537	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.4	500	0.100963027852111	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.425	500	0.104459457837831	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.45	500	0.0977207108828435	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.475	500	0.0989802359209437	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.5	500	0.123794799179197	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.525	500	0.120000864003456	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.55	500	0.126319225276901	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.575	500	0.121322021288085	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.6	500	0.141992727970912	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.625	500	0.156313393253573	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.65	500	0.176710786843147	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.675	500	0.193140196560786	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.7	500	0.200629666518666	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.725	500	0.224621026484106	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.75	500	0.232028704114816	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.775	500	0.238829179316717	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.8	500	0.23790536762147	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.825	500	0.240880323521294	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.85	500	0.251192012768051	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.875	500	0.257853959415838	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.9	500	0.280016416065664	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.925	500	0.280538178152713	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.95	500	0.28602316009264	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	0.975	500	0.298902283609134	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1	500	0.299034476137905	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.025	500	0.297280549122196	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.05	500	0.298018408073632	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.075	500	0.314979851919408	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.1	500	0.319234876939508	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.125	500	0.316704498817995	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.15	500	0.340022992091968	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.175	500	0.349688310753243	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.2	500	0.359572510290041	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.225	500	0.361243972975892	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.25	500	0.364955155820623	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.275	500	0.3687398749595	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.3	500	0.377666086664347	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.325	500	0.389721910887644	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.35	500	0.396611858447434	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.375	500	0.399035772143089	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.4	500	0.406219000876004	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.425	500	0.410166248664995	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.45	500	0.4169768999076	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.475	500	0.417261541046164	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.5	500	0.418239976959908	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.525	500	0.422943419773679	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.55	500	0.426313129252517	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.575	500	0.422550298201193	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.6	500	0.430417433669735	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.625	500	0.430910107640431	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.65	500	0.432193344773379	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.675	500	0.4437401749607	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.7	500	0.452044496177985	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.725	500	0.45890170760683	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.75	500	0.471224508898036	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.775	500	0.477104916419666	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.8	500	0.48010291241165	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
