N	replicate	seed	O2_pct	output	parameter	group	S1	ST	output_variance
129	1	20260923	0.000	dominant_mean_ploidy	lam_max	growth	0.1593000095	0.8048364689	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	p_mis_base	missegregation	0.01785963404	0.1128559346	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	p_misseg	missegregation	0.06695796858	0.7744696098	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	k_o_mis	missegregation	0.05125941505	0.3635993	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	buffer_smax	buffering	0.002939603723	0.115093872	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	buffer_beta	buffering	0.02906306046	0.2884916727	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	buffer_n_exp	buffering	0.00907522881	0.1615533879	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	p_wgd	genome_doubling	0.00173709346	0.04843404163	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	alpha_o2	growth	0.1105895098	0.5518010685	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	gamma_growth	growth	0.005703310008	0.03486801685	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	mu_hp	death	0.06297930829	0.3722519639	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	gamma_mu	death	0.005222263013	0.07597990213	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.002741950172	0.101381436	0.09587566306
129	1	20260923	0.000	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.007027185296	0.09065430252	0.09587566306
129	1	20260923	0.000	dominant_growth_rate	lam_max	growth	0.001756036307	0.3822344185	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	p_mis_base	missegregation	0.04223078134	0.1340966838	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	p_misseg	missegregation	0.0970675935	0.1984102757	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	k_o_mis	missegregation	0.01109865824	0.0294709166	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	buffer_smax	buffering	0.0008614418897	0.004323946188	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	buffer_beta	buffering	0.02077196747	0.0629613102	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	buffer_n_exp	buffering	0.001442571141	0.0114868104	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	p_wgd	genome_doubling	0.0001989240644	0.003394451278	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	alpha_o2	growth	0.00233157368	0.0168678087	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	gamma_growth	growth	0.0002822365027	0.02043266643	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	mu_hp	death	0.4963931293	0.5506059609	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	gamma_mu	death	0.009025467756	0.01639516537	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	O2_crit	shared_oxygen_stress	3.181326854e-05	0.002014806838	0.00467266756
129	1	20260923	0.000	dominant_growth_rate	n_O	shared_oxygen_stress	1.631421647e-05	0.002180499274	0.00467266756
129	1	20260923	0.025	dominant_mean_ploidy	lam_max	growth	0.1588101471	0.8039508746	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	p_mis_base	missegregation	0.01850459433	0.1082702029	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	p_misseg	missegregation	0.06744100603	0.7738908445	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	k_o_mis	missegregation	0.05128433501	0.3636846602	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	buffer_smax	buffering	0.002937681835	0.1151303758	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	buffer_beta	buffering	0.02905429218	0.2885344125	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	buffer_n_exp	buffering	0.009080585025	0.1616719368	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	p_wgd	genome_doubling	0.001738642582	0.04843046911	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	alpha_o2	growth	0.1105775138	0.5518055682	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	gamma_growth	growth	0.005703568648	0.03487163889	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	mu_hp	death	0.06302373712	0.3722564626	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	gamma_mu	death	0.00524194288	0.07599886441	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.002723449999	0.1013950069	0.09587602793
129	1	20260923	0.025	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.008481054727	0.09016549647	0.09587602793
129	1	20260923	0.025	dominant_growth_rate	lam_max	growth	0.00159162627	0.3829887122	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	p_mis_base	missegregation	0.04224041326	0.1341818693	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	p_misseg	missegregation	0.09725407173	0.1985358278	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	k_o_mis	missegregation	0.01084721375	0.02941007169	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	buffer_smax	buffering	0.0008473363112	0.004403551206	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	buffer_beta	buffering	0.02055282951	0.06253367239	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	buffer_n_exp	buffering	0.001408046662	0.01132749405	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	p_wgd	genome_doubling	0.0001717496573	0.003629632762	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	alpha_o2	growth	0.002279267771	0.01652990141	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	gamma_growth	growth	0.0002803755423	0.02013823277	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	mu_hp	death	0.471900069	0.5291901499	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	gamma_mu	death	0.008977472275	0.01636224333	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	O2_crit	shared_oxygen_stress	3.370534562e-05	0.002017245697	0.004672031347
129	1	20260923	0.025	dominant_growth_rate	n_O	shared_oxygen_stress	6.400109956e-05	0.002222573667	0.004672031347
129	1	20260923	0.050	dominant_mean_ploidy	lam_max	growth	0.1585135641	0.80344233	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	p_mis_base	missegregation	0.01869188106	0.1074627834	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	p_misseg	missegregation	0.06796243219	0.7730792072	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	k_o_mis	missegregation	0.05131024275	0.3638247597	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	buffer_smax	buffering	0.002937629547	0.1151567619	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	buffer_beta	buffering	0.02942043688	0.2924654565	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	buffer_n_exp	buffering	0.009204734982	0.1632253468	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	p_wgd	genome_doubling	0.001747823949	0.04838574374	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	alpha_o2	growth	0.1104717842	0.5516905409	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	gamma_growth	growth	0.005635368936	0.03479833228	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	mu_hp	death	0.06285328257	0.3703808005	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	gamma_mu	death	0.005334921835	0.07600098083	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.002447986926	0.1005158889	0.09617058383
129	1	20260923	0.050	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.008875785863	0.09065900896	0.09617058383
129	1	20260923	0.050	dominant_growth_rate	lam_max	growth	0.00144368366	0.3842009353	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	p_mis_base	missegregation	0.04235152146	0.1342636182	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	p_misseg	missegregation	0.09698030163	0.1978940973	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	k_o_mis	missegregation	0.010711915	0.02930254667	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	buffer_smax	buffering	0.0008145766742	0.004361977109	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	buffer_beta	buffering	0.02039217673	0.06228423114	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	buffer_n_exp	buffering	0.001433359526	0.01153542996	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	p_wgd	genome_doubling	0.0001585501939	0.003695522917	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	alpha_o2	growth	0.002274004887	0.01643406408	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	gamma_growth	growth	0.0002792425145	0.0199813115	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	mu_hp	death	0.4561488086	0.5162237284	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	gamma_mu	death	0.008802390623	0.0162139219	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	O2_crit	shared_oxygen_stress	4.889961544e-05	0.002041427896	0.004684290977
129	1	20260923	0.050	dominant_growth_rate	n_O	shared_oxygen_stress	0.000113011394	0.00227728342	0.004684290977
129	1	20260923	0.075	dominant_mean_ploidy	lam_max	growth	0.1582746117	0.8030346627	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	p_mis_base	missegregation	0.01886209489	0.1074492243	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	p_misseg	missegregation	0.06856370979	0.7721195153	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	k_o_mis	missegregation	0.05133684736	0.3641415647	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	buffer_smax	buffering	0.002942339044	0.1151555697	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	buffer_beta	buffering	0.01573408443	0.1925573087	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	buffer_n_exp	buffering	0.009726974435	0.1698132982	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	p_wgd	genome_doubling	0.001767087082	0.04828522043	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	alpha_o2	growth	0.1101987039	0.5512471594	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	gamma_growth	growth	0.005276798226	0.03447028877	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	mu_hp	death	0.06117614173	0.3575633033	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	gamma_mu	death	0.005519494471	0.07596341348	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.003597069604	0.100552299	0.09482557158
129	1	20260923	0.075	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.009239100678	0.09117397738	0.09482557158
129	1	20260923	0.075	dominant_growth_rate	lam_max	growth	0.001301111875	0.3855982594	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	p_mis_base	missegregation	0.042477716	0.134333835	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	p_misseg	missegregation	0.09482633268	0.1941793498	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	k_o_mis	missegregation	0.01047765591	0.02904591586	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	buffer_smax	buffering	0.0007581043191	0.00429081314	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	buffer_beta	buffering	0.02003307184	0.06226644591	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	buffer_n_exp	buffering	0.001540466994	0.01250548142	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	p_wgd	genome_doubling	0.000134899157	0.003753110631	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	alpha_o2	growth	0.002271738402	0.01633108727	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	gamma_growth	growth	0.0002787475044	0.02043364486	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	mu_hp	death	0.4408261869	0.5037564154	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	gamma_mu	death	0.008502056264	0.01594773448	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	O2_crit	shared_oxygen_stress	0.0001433679544	0.00217821284	0.004712621074
129	1	20260923	0.075	dominant_growth_rate	n_O	shared_oxygen_stress	0.0001613359449	0.002334454525	0.004712621074
129	1	20260923	0.100	dominant_mean_ploidy	lam_max	growth	0.1580713874	0.8027013617	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	p_mis_base	missegregation	0.01902521571	0.1079265619	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	p_misseg	missegregation	0.06922452192	0.7711137856	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	k_o_mis	missegregation	0.05137928876	0.3648477234	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	buffer_smax	buffering	0.002956239148	0.1151276509	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	buffer_beta	buffering	0.01636684333	0.19990785	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	buffer_n_exp	buffering	0.0110957346	0.1876652911	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	p_wgd	genome_doubling	0.001784069485	0.04813339709	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	alpha_o2	growth	0.1097084252	0.5501914213	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	gamma_growth	growth	0.004944481656	0.03407324705	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	mu_hp	death	0.05716903835	0.3273206858	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	gamma_mu	death	0.00576115065	0.0760146537	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.01337635905	0.132153392	0.09830658095
129	1	20260923	0.100	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.01031804802	0.0955681784	0.09830658095
129	1	20260923	0.100	dominant_growth_rate	lam_max	growth	0.001183768776	0.3870067171	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	p_mis_base	missegregation	0.04262194903	0.134401125	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	p_misseg	missegregation	0.08943894922	0.1853631587	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	k_o_mis	missegregation	0.01012587234	0.02856598271	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	buffer_smax	buffering	0.0006901746533	0.004222741477	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	buffer_beta	buffering	0.01926720507	0.06328088351	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	buffer_n_exp	buffering	0.001761050737	0.0147798439	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	p_wgd	genome_doubling	0.0001082238284	0.003890012212	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	alpha_o2	growth	0.002265865927	0.01617931655	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	gamma_growth	growth	0.0003359710376	0.02338233409	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	mu_hp	death	0.4235365437	0.4901073103	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	gamma_mu	death	0.008171364166	0.01564733482	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	O2_crit	shared_oxygen_stress	0.0005207635084	0.002718928249	0.004763836839
129	1	20260923	0.100	dominant_growth_rate	n_O	shared_oxygen_stress	0.0002053136865	0.002390988444	0.004763836839
129	1	20260923	0.125	dominant_mean_ploidy	lam_max	growth	0.1578890645	0.8024265992	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	p_mis_base	missegregation	0.0191734456	0.1087867647	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	p_misseg	missegregation	0.06995105341	0.770193879	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	k_o_mis	missegregation	0.05146129011	0.3661312243	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	buffer_smax	buffering	0.002983627572	0.1151354715	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	buffer_beta	buffering	0.01752499936	0.2126255722	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	buffer_n_exp	buffering	0.002434974249	0.06617057799	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	p_wgd	genome_doubling	0.001784781464	0.04763155579	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	alpha_o2	growth	0.1088115969	0.5480332827	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	gamma_growth	growth	0.007250276273	0.03801759996	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	mu_hp	death	0.05051922788	0.2800565716	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	gamma_mu	death	0.006040848403	0.07637963609	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.04319845498	0.2495589546	0.1010365306
129	1	20260923	0.125	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.01161651093	0.09898134672	0.1010365306
129	1	20260923	0.125	dominant_growth_rate	lam_max	growth	0.001111423308	0.3883397878	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	p_mis_base	missegregation	0.04278136823	0.1344427059	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	p_misseg	missegregation	0.08151903229	0.172746562	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	k_o_mis	missegregation	0.00967435602	0.027840774	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	buffer_smax	buffering	0.0006254426596	0.004154977544	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	buffer_beta	buffering	0.01838495184	0.06740229872	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	buffer_n_exp	buffering	0.001917358805	0.01695507116	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	p_wgd	genome_doubling	9.282297199e-05	0.004119757891	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	alpha_o2	growth	0.00224839841	0.01594820094	0.004838767274
129	1	20260923	0.125	dominant_growth_rate	gamma_growth	growth	0.001038654079	0.03945518125	0.004838767274
