N	output	replicate	oxygen_band	group	n_parameters	n_oxygen	S1_mean_per_parameter	ST_mean_per_parameter
513	dominant_mean_ploidy	1	low_0_to_1pct	buffering	3	41	0.07693111759	0.350850434
513	dominant_mean_ploidy	1	low_0_to_1pct	death	2	41	0.01984574164	0.3789233831
513	dominant_mean_ploidy	1	low_0_to_1pct	genome_doubling	1	41	0.004394772944	0.1702144904
513	dominant_mean_ploidy	1	low_0_to_1pct	growth	3	41	0.03915556884	0.4917449229
513	dominant_mean_ploidy	1	low_0_to_1pct	missegregation	3	41	0.04772672101	0.4112564995
513	dominant_mean_ploidy	1	low_0_to_1pct	shared_oxygen_stress	2	41	0.008879973058	0.2539393203
513	dominant_mean_ploidy	1	high_3_to_5pct	buffering	3	81	0.03493849148	0.3491907773
513	dominant_mean_ploidy	1	high_3_to_5pct	death	2	81	0.01077256833	0.3339445598
513	dominant_mean_ploidy	1	high_3_to_5pct	genome_doubling	1	81	0.01739446276	0.273318811
513	dominant_mean_ploidy	1	high_3_to_5pct	growth	3	81	0.004976675198	0.2298001029
513	dominant_mean_ploidy	1	high_3_to_5pct	missegregation	3	81	0.01799860447	0.4946389033
513	dominant_mean_ploidy	1	high_3_to_5pct	shared_oxygen_stress	2	81	0.01722151211	0.5086949427
513	dominant_mean_ploidy	2	low_0_to_1pct	buffering	3	41	0.09376261606	0.4572755164
513	dominant_mean_ploidy	2	low_0_to_1pct	death	2	41	0.02258044327	0.3793059688
513	dominant_mean_ploidy	2	low_0_to_1pct	genome_doubling	1	41	0.006553013828	0.3805438188
513	dominant_mean_ploidy	2	low_0_to_1pct	growth	3	41	0.03826657454	0.4526484382
513	dominant_mean_ploidy	2	low_0_to_1pct	missegregation	3	41	0.0636565685	0.5197273249
513	dominant_mean_ploidy	2	low_0_to_1pct	shared_oxygen_stress	2	41	0.006911082841	0.3240623514
513	dominant_mean_ploidy	2	high_3_to_5pct	buffering	3	81	0.03736228089	0.3744854887
513	dominant_mean_ploidy	2	high_3_to_5pct	death	2	81	0.008626551596	0.2613965709
513	dominant_mean_ploidy	2	high_3_to_5pct	genome_doubling	1	81	0.00628295211	0.09884228576
513	dominant_mean_ploidy	2	high_3_to_5pct	growth	3	81	0.01416615132	0.4887856793
513	dominant_mean_ploidy	2	high_3_to_5pct	missegregation	3	81	0.04216605507	0.4912584922
513	dominant_mean_ploidy	2	high_3_to_5pct	shared_oxygen_stress	2	81	0.01402031716	0.6081327099
513	dominant_growth_rate	1	low_0_to_1pct	buffering	3	41	0.00166747972	0.01098831406
513	dominant_growth_rate	1	low_0_to_1pct	death	2	41	0.1005396857	0.1878518392
513	dominant_growth_rate	1	low_0_to_1pct	genome_doubling	1	41	4.195335388e-07	0.0001242302677
513	dominant_growth_rate	1	low_0_to_1pct	growth	3	41	0.01359933767	0.149679029
513	dominant_growth_rate	1	low_0_to_1pct	missegregation	3	41	0.04542431404	0.119307493
513	dominant_growth_rate	1	low_0_to_1pct	shared_oxygen_stress	2	41	0.02241558927	0.05625469663
513	dominant_growth_rate	1	high_3_to_5pct	buffering	3	81	0.0008749859115	0.006942297058
513	dominant_growth_rate	1	high_3_to_5pct	death	2	81	0.004657390357	0.02677780941
513	dominant_growth_rate	1	high_3_to_5pct	genome_doubling	1	81	2.644205865e-05	0.002039673507
513	dominant_growth_rate	1	high_3_to_5pct	growth	3	81	0.1146892261	0.2274380841
513	dominant_growth_rate	1	high_3_to_5pct	missegregation	3	81	0.03563496034	0.1084968016
513	dominant_growth_rate	1	high_3_to_5pct	shared_oxygen_stress	2	81	0.02390767446	0.0798717872
513	dominant_growth_rate	2	low_0_to_1pct	buffering	3	41	0.001548137963	0.01145311461
513	dominant_growth_rate	2	low_0_to_1pct	death	2	41	0.07643059867	0.1191430114
513	dominant_growth_rate	2	low_0_to_1pct	genome_doubling	1	41	2.556436135e-05	0.001618922139
513	dominant_growth_rate	2	low_0_to_1pct	growth	3	41	0.01050904906	0.1470981026
513	dominant_growth_rate	2	low_0_to_1pct	missegregation	3	41	0.04196454473	0.1078837424
513	dominant_growth_rate	2	low_0_to_1pct	shared_oxygen_stress	2	41	0.03710806904	0.08984489841
513	dominant_growth_rate	2	high_3_to_5pct	buffering	3	81	0.0009655789318	0.009345044685
513	dominant_growth_rate	2	high_3_to_5pct	death	2	81	0.00669745158	0.02509944666
513	dominant_growth_rate	2	high_3_to_5pct	genome_doubling	1	81	5.160739126e-07	8.178559011e-05
513	dominant_growth_rate	2	high_3_to_5pct	growth	3	81	0.09621590552	0.2164208739
513	dominant_growth_rate	2	high_3_to_5pct	missegregation	3	81	0.07367373178	0.1778328156
513	dominant_growth_rate	2	high_3_to_5pct	shared_oxygen_stress	2	81	0.03269826599	0.1211836537
