output	oxygen_band	group	n_parameters	S1_mean_per_parameter	ST_mean_per_parameter	ST_max_parameter	ST_max_parameter_mean
dominant_mean_ploidy	low_0_to_1pct	buffering	3	0.08534686684	0.4040629752	buffer_beta	0.5139803477
dominant_mean_ploidy	low_0_to_1pct	death	2	0.02121309245	0.3791146759	mu_hp	0.3842990285
dominant_mean_ploidy	low_0_to_1pct	genome_doubling	1	0.005473893386	0.2753791546	p_wgd	0.2753791546
dominant_mean_ploidy	low_0_to_1pct	growth	3	0.03871107169	0.4721966806	alpha_o2	0.5385158238
dominant_mean_ploidy	low_0_to_1pct	missegregation	3	0.05569164475	0.4654919122	p_misseg	0.6958826171
dominant_mean_ploidy	low_0_to_1pct	shared_oxygen_stress	2	0.007895527951	0.2890008358	O2_crit	0.3049778317
dominant_mean_ploidy	high_3_to_5pct	buffering	3	0.03615038619	0.361838133	buffer_smax	0.5644495396
dominant_mean_ploidy	high_3_to_5pct	death	2	0.009699559965	0.2976705654	mu_hp	0.359590007
dominant_mean_ploidy	high_3_to_5pct	genome_doubling	1	0.01183870743	0.1860805484	p_wgd	0.1860805484
dominant_mean_ploidy	high_3_to_5pct	growth	3	0.009571413258	0.3592928911	alpha_o2	0.4683051898
dominant_mean_ploidy	high_3_to_5pct	missegregation	3	0.03008232977	0.4929486977	p_mis_base	0.7402149842
dominant_mean_ploidy	high_3_to_5pct	shared_oxygen_stress	2	0.01562091464	0.5584138263	n_O	0.6704884282
dominant_growth_rate	low_0_to_1pct	buffering	3	0.001607808842	0.01122071434	buffer_smax	0.02799063117
dominant_growth_rate	low_0_to_1pct	death	2	0.08848514216	0.1534974253	mu_hp	0.2743447078
dominant_growth_rate	low_0_to_1pct	genome_doubling	1	1.299194744e-05	0.0008715762034	p_wgd	0.0008715762034
dominant_growth_rate	low_0_to_1pct	growth	3	0.01205419337	0.1483885658	lam_max	0.4319797374
dominant_growth_rate	low_0_to_1pct	missegregation	3	0.04369442938	0.1135956177	p_misseg	0.267278937
dominant_growth_rate	low_0_to_1pct	shared_oxygen_stress	2	0.02976182916	0.0730497975	O2_crit	0.1194039277
dominant_growth_rate	high_3_to_5pct	buffering	3	0.0009202824218	0.008143670871	buffer_smax	0.02248555298
dominant_growth_rate	high_3_to_5pct	death	2	0.005677420969	0.02593862804	mu_hp	0.03470955902
dominant_growth_rate	high_3_to_5pct	genome_doubling	1	1.347906628e-05	0.001060729548	p_wgd	0.001060729548
dominant_growth_rate	high_3_to_5pct	growth	3	0.1054525658	0.221929479	lam_max	0.6611811838
dominant_growth_rate	high_3_to_5pct	missegregation	3	0.05465434607	0.1431648086	p_mis_base	0.3029095411
dominant_growth_rate	high_3_to_5pct	shared_oxygen_stress	2	0.02830297023	0.1005277204	O2_crit	0.1355960477
