output	oxygen_band	parameter	group	N	n_oxygen	S1_mean	ST_mean	ST_replicate_range_p90	ST_resolution_delta_p90
dominant_mean_ploidy	low_0_to_1pct	lam_max	growth	513	41	0.06563542924	0.5316994633	0.1844247789	0.1480441459
dominant_mean_ploidy	low_0_to_1pct	p_mis_base	missegregation	513	41	0.06500660791	0.4972731696	0.3498985333	0.2294960306
dominant_mean_ploidy	low_0_to_1pct	p_misseg	missegregation	513	41	0.09140210824	0.6958826171	0.0121717009	0.0754827647
dominant_mean_ploidy	low_0_to_1pct	k_o_mis	missegregation	513	41	0.01066621811	0.2033199499	0.6087281035	0.0766027856
dominant_mean_ploidy	low_0_to_1pct	buffer_smax	buffering	513	41	0.05350583655	0.3780868972	0.5520033094	0.1225979348
dominant_mean_ploidy	low_0_to_1pct	buffer_beta	buffering	513	41	0.1893165111	0.5139803477	0.1282714551	0.1425771112
dominant_mean_ploidy	low_0_to_1pct	buffer_n_exp	buffering	513	41	0.01321825287	0.3201216808	0.2557877806	0.4117240004
dominant_mean_ploidy	low_0_to_1pct	p_wgd	genome_doubling	513	41	0.005473893386	0.2753791546	0.2940553328	0.1967559953
dominant_mean_ploidy	low_0_to_1pct	alpha_o2	growth	513	41	0.03993243591	0.5385158238	0.0197308521	0.2024230968
dominant_mean_ploidy	low_0_to_1pct	gamma_growth	growth	513	41	0.01056534992	0.3463747547	0.2965679335	0.0916581719
dominant_mean_ploidy	low_0_to_1pct	mu_hp	death	513	41	0.02079191445	0.3842990285	0.2176906564	0.0830307927
dominant_mean_ploidy	low_0_to_1pct	gamma_mu	death	513	41	0.02163427046	0.3739303234	0.2618527506	0.1207865737
dominant_mean_ploidy	low_0_to_1pct	O2_crit	shared_oxygen_stress	513	41	0.01089329082	0.3049778317	0.2120340373	0.1993994773
dominant_mean_ploidy	low_0_to_1pct	n_O	shared_oxygen_stress	513	41	0.004897765083	0.2730238399	0.1492304452	0.2387293125
dominant_mean_ploidy	high_3_to_5pct	lam_max	growth	513	81	0.01924388958	0.3782517627	0.4643599985	0.3271663477
dominant_mean_ploidy	high_3_to_5pct	p_mis_base	missegregation	513	81	0.05972941685	0.7402149842	0.3413298011	0.0735806104
dominant_mean_ploidy	high_3_to_5pct	p_misseg	missegregation	513	81	0.02523073549	0.536602267	0.0167563224	0.0945305734
dominant_mean_ploidy	high_3_to_5pct	k_o_mis	missegregation	513	81	0.00528683697	0.2020288419	0.3592707972	0.1863388954
dominant_mean_ploidy	high_3_to_5pct	buffer_smax	buffering	513	81	0.04319246856	0.5644495396	0.5128546194	0.0817077212
dominant_mean_ploidy	high_3_to_5pct	buffer_beta	buffering	513	81	0.04711844415	0.2653211733	0.2276761349	0.1036217808
dominant_mean_ploidy	high_3_to_5pct	buffer_n_exp	buffering	513	81	0.01814024585	0.2557436862	0.1114058175	0.421192394
dominant_mean_ploidy	high_3_to_5pct	p_wgd	genome_doubling	513	81	0.01183870743	0.1860805484	0.2014987107	0.2234651681
dominant_mean_ploidy	high_3_to_5pct	alpha_o2	growth	513	81	0.007504564947	0.4683051898	0.0047800061	0.1787583569
dominant_mean_ploidy	high_3_to_5pct	gamma_growth	growth	513	81	0.001965785247	0.2313217207	0.4466569714	0.2390867639
dominant_mean_ploidy	high_3_to_5pct	mu_hp	death	513	81	0.01194054823	0.359590007	0.1900060481	0.0901717553
dominant_mean_ploidy	high_3_to_5pct	gamma_mu	death	513	81	0.007458571701	0.2357511237	0.0629213029	0.1749868151
dominant_mean_ploidy	high_3_to_5pct	O2_crit	shared_oxygen_stress	513	81	0.02081065393	0.4463392243	0.1850478079	0.0510637745
dominant_mean_ploidy	high_3_to_5pct	n_O	shared_oxygen_stress	513	81	0.01043117535	0.6704884282	0.1145294216	0.3050903095
dominant_growth_rate	low_0_to_1pct	lam_max	growth	513	41	0.03539044244	0.4319797374	0.023405344	0.0138050123
dominant_growth_rate	low_0_to_1pct	p_mis_base	missegregation	513	41	0.02194070284	0.0520195288	0.06066913352	0.1042187076
dominant_growth_rate	low_0_to_1pct	p_misseg	missegregation	513	41	0.1014700556	0.267278937	0.0019704337	0.0406979859
dominant_growth_rate	low_0_to_1pct	k_o_mis	missegregation	513	41	0.007672529695	0.02148838729	0.02072768947	0.0139838066
dominant_growth_rate	low_0_to_1pct	buffer_smax	buffering	513	41	0.003572929927	0.02799063117	0.00398414932	0.02929466355
dominant_growth_rate	low_0_to_1pct	buffer_beta	buffering	513	41	0.001144174447	0.004975133947	0.0114900487	0.02822091077
dominant_growth_rate	low_0_to_1pct	buffer_n_exp	buffering	513	41	0.0001063221506	0.0006963778946	0.000755306741	0.00360119831
dominant_growth_rate	low_0_to_1pct	p_wgd	genome_doubling	513	41	1.299194744e-05	0.0008715762034	0.004444563573	0.002460093162
dominant_growth_rate	low_0_to_1pct	alpha_o2	growth	513	41	0.0001615628759	0.004469520408	4.885978e-05	0.002939753821
dominant_growth_rate	low_0_to_1pct	gamma_growth	growth	513	41	0.0006105747918	0.008716439594	0.00904888276	0.003623519992
dominant_growth_rate	low_0_to_1pct	mu_hp	death	513	41	0.1648068429	0.2743447078	0.3246254952	0.1360511696
dominant_growth_rate	low_0_to_1pct	gamma_mu	death	513	41	0.01216344142	0.03265014282	0.038046207	0.02396197515
dominant_growth_rate	low_0_to_1pct	O2_crit	shared_oxygen_stress	513	41	0.05628839296	0.1194039277	0.1511725871	0.0721091229
dominant_growth_rate	low_0_to_1pct	n_O	shared_oxygen_stress	513	41	0.003235265351	0.0266956673	0.02325311369	0.03772299996
dominant_growth_rate	high_3_to_5pct	lam_max	growth	513	81	0.3162547614	0.6611811838	0.0368364152	0.0422844166
