N	replicate	oxygen_band	n_evaluations	fraction_gap_lt_1e-6	fraction_gap_lt_1e-4	fraction_gap_lt_1e-3	minimum_gap
129	1	low_0_to_1pct	74046	0.0006887610404	0.08420441347	0.3906085406	1.892079518e-08
129	1	middle_1_to_3pct	142674	0.006406212765	0.2619468158	0.6130829724	4.438855561e-08
129	1	high_3_to_5pct	146286	0.02378901604	0.3888000219	0.7153452825	3.448466485e-08
129	2	low_0_to_1pct	74046	0.001309996489	0.0922804743	0.3861653567	5.434353875e-08
129	2	middle_1_to_3pct	142674	0.01110924205	0.2672245819	0.5907453355	4.424468183e-08
129	2	high_3_to_5pct	146286	0.02826654635	0.3778762151	0.6928961076	5.052695775e-08
257	1	low_0_to_1pct	147518	0.001172738242	0.04839409428	0.3121314009	4.244304713e-09
257	1	middle_1_to_3pct	284242	0.00533348344	0.1582982107	0.5567052019	1.827832773e-09
257	1	high_3_to_5pct	291438	0.0114192384	0.2448754109	0.7036728223	2.412063632e-09
257	2	low_0_to_1pct	147518	0.001064276902	0.05109884895	0.3126533711	5.706658049e-09
257	2	middle_1_to_3pct	284242	0.007620267237	0.1634487514	0.5468685134	5.936017424e-10
257	2	high_3_to_5pct	291438	0.01355348307	0.2549015571	0.6891036859	1.388162137e-08
513	1	low_0_to_1pct	294462	0.001178420306	0.05652002635	0.3042667645	6.182969858e-09
513	1	middle_1_to_3pct	567378	0.005537754372	0.2248553874	0.5146674704	4.214366169e-09
513	1	high_3_to_5pct	581742	0.02568148767	0.3151654857	0.6230958054	4.072552351e-09
513	2	low_0_to_1pct	294462	0.001032391276	0.05861537312	0.3063519232	7.422294158e-09
513	2	middle_1_to_3pct	567378	0.007171585786	0.2129391693	0.5052892428	2.685892262e-09
513	2	high_3_to_5pct	581742	0.03147959061	0.3032994008	0.6142980909	4.066326352e-09
