objective_rank_bin,curve_class,n_seed,bin_n_seed,fraction_within_rank_bin
"[0,25]",complex_nonmonotone,9,25,0.36
"[0,25]",inverted_u_shaped,10,25,0.4
"[0,25]",u_shaped,4,25,0.16
"[0,25]",monotone_increasing,2,25,0.08
"(25,50]",inverted_u_shaped,12,25,0.48
"(25,50]",u_shaped,2,25,0.08
"(25,50]",monotone_decreasing,1,25,0.04
"(25,50]",complex_nonmonotone,9,25,0.36
"(25,50]",monotone_increasing,1,25,0.04
"(50,100]",inverted_u_shaped,21,50,0.42
"(50,100]",monotone_increasing,2,50,0.04
"(50,100]",u_shaped,3,50,0.06
"(50,100]",complex_nonmonotone,24,50,0.48
"(100,250]",inverted_u_shaped,48,150,0.32
"(100,250]",monotone_increasing,8,150,0.0533333333333333
"(100,250]",complex_nonmonotone,89,150,0.593333333333333
"(100,250]",u_shaped,4,150,0.0266666666666667
"(100,250]",monotone_decreasing,1,150,0.0066666666666666
"(250,500]",complex_nonmonotone,130,250,0.52
"(250,500]",inverted_u_shaped,58,250,0.232
"(250,500]",monotone_decreasing,1,250,0.004
"(250,500]",monotone_increasing,44,250,0.176
"(250,500]",single_transition_increase_then_plateau,5,250,0.02
"(250,500]",u_shaped,12,250,0.048
