curve_class,monotonicity_reliability,n,fraction_all
complex_nonmonotone,caution_small_gap,92,0.184
complex_nonmonotone,reliable,71,0.142
complex_nonmonotone,unreliable_small_gap,98,0.196
inverted_u_shaped,caution_small_gap,50,0.1
inverted_u_shaped,reliable,25,0.05
inverted_u_shaped,unreliable_small_gap,74,0.148
monotone_decreasing,caution_small_gap,2,0.004
monotone_decreasing,unreliable_small_gap,1,0.002
monotone_increasing,caution_small_gap,17,0.034
monotone_increasing,reliable,35,0.07
monotone_increasing,unreliable_small_gap,5,0.01
single_transition_increase_then_plateau,reliable,5,0.01
u_shaped,caution_small_gap,7,0.014
u_shaped,reliable,5,0.01
u_shaped,unreliable_small_gap,13,0.026
