cohort,branch,snapshot,segment_id,passage_index,oxygen_pct,selected_day,passage_id,predicted_growth_rate,predicted_mean_kary_N,observed_growth,observed_mean_kary_N,observed_n_kary,observed_n_flow
2N,deprived,first,20.5_20.5,2,20.5,1,SUM-159_NLS_2N_A5M_seed,1.05541154284507,46.6295390504943,,,0,0
2N,deprived,last,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,38,0.0,5,SUM-159_NLS_2N_O2_A23_seed,0.37864767887441,66.7229373741988,0.480890952237371,,0,200
2N,deprived,first_observed_kary,20.5_20.5_20.5,3,20.5,2,SUM-159_NLS_2N_A6M_seed,1.05563607759794,46.7180469546415,,48.15,20,0
2N,deprived,last_observed_kary,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,34,0.0,5,SUM-159_NLS_2N_O2_A19_seed,0.370727256106051,64.2663707428182,0.470226829493655,88.05,20,0
2N,normoxia_like,first,20.5,1,20.5,14,SUM-159_NLS_2N_A5_seed,0.964798212018437,46.5913939880635,,47.3,20,0
2N,normoxia_like,last,20.5,1,20.5,14,SUM-159_NLS_2N_A5_seed,0.964798212018437,46.5913939880635,,47.3,20,0
2N,normoxia_like,first_observed_kary,20.5,1,20.5,14,SUM-159_NLS_2N_A5_seed,0.964798212018437,46.5913939880635,,47.3,20,0
2N,normoxia_like,last_observed_kary,20.5,1,20.5,14,SUM-159_NLS_2N_A5_seed,0.964798212018437,46.5913939880635,,47.3,20,0
4N,deprived,first,20.5_20.5,2,20.5,1,SUM-159_NLS_4N_A3_seed,1.11242940989968,84.3970026515017,,,0,0
4N,deprived,last,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,37,0.0,5,SUM-159_NLS_4N_O2_A22_seed,0.387670353416428,80.757526296971,0.485008191637359,,0,200
4N,deprived,first_observed_kary,20.5_20.5_20.5_20.5,5,20.5,2,SUM-159_NLS_4N_A4M_seed,1.11284572126799,84.6552929430927,,86.125,16,0
4N,deprived,last_observed_kary,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,32,0.0,5,SUM-159_NLS_4N_O2_A17_seed,0.38771738011526,81.5800552962523,0.404951920436638,81.3,20,0
4N,normoxia_like,first,20.5,1,20.5,14,SUM-159_NLS_4N_A2_seed,0.976493681657681,84.338297986606,,88.9,20,0
4N,normoxia_like,last,20.5,1,20.5,14,SUM-159_NLS_4N_A2_seed,0.976493681657681,84.338297986606,,88.9,20,0
4N,normoxia_like,first_observed_kary,20.5,1,20.5,14,SUM-159_NLS_4N_A2_seed,0.976493681657681,84.338297986606,,88.9,20,0
4N,normoxia_like,last_observed_kary,20.5,1,20.5,14,SUM-159_NLS_4N_A2_seed,0.976493681657681,84.338297986606,,88.9,20,0
