segment_id,parent_segment_id,cohort,passage_index,oxygen_pct,duration_days,initial_cells,final_cells,selected_day,target_live_cells,passage_id,predicted_live_cells,predicted_growth_rate,predicted_mean_kary_N,observed_growth,observed_mean_kary_N,observed_n_kary,observed_n_flow
20.5,,2N,1,20.5,14,,,14,,SUM-159_NLS_2N_A5_seed,734668729372.065,0.964798212018437,46.5913939880635,,47.3,20,0
20.5_20.5_20.5,20.5_20.5,2N,3,20.5,3,614919.0,7782898.0,2,7782898.0,SUM-159_NLS_2N_A6M_seed,5078456.75996419,1.05563607759794,46.7180469546415,,48.15,20,0
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,20.5_20.5_2_1_0.5_0.3_0.2_0.1,2N,16,0.0,5,393001.0,7057195.5,5,7057195.5,SUM-159_NLS_2N_O1_A7_seed,2249860.79452444,0.348962293557792,49.8553781776623,0.563777709266853,48.4210526315789,19,0
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,20.5_20.5_2_1_0.5_0.3_0.2_0.1,2N,16,0.0,5,393001.0,7057195.5,5,7057195.5,SUM-159_NLS_2N_O2_A7_seed,2249860.79452444,0.348962293557792,49.8553781776623,0.547099402696607,48.4666666666667,15,0
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,5,1108959.5,12336682.0,5,12336682.0,SUM-159_NLS_2N_O1_A19_seed,7078474.85715874,0.370727256106051,64.2663707428182,0.514139394650451,66.85,20,0
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,5,1108959.5,12336682.0,5,12336682.0,SUM-159_NLS_2N_O2_A19_seed,7078474.85715874,0.370727256106051,64.2663707428182,0.470226829493655,88.05,20,0
20.5,,4N,1,20.5,14,,,14,,SUM-159_NLS_4N_A2_seed,865369223837.769,0.976493681657681,84.338297986606,,88.9,20,0
20.5_20.5_20.5_20.5,20.5_20.5_20.5,4N,5,20.5,2,575654.0,4791040.0,2,4791040.0,SUM-159_NLS_4N_A4M_seed,5330488.84278317,1.11284572126799,84.6552929430927,,86.125,16,0
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,20.5_20.5_2_1_0.5_0.3_0.2_0.1,4N,16,0.0,5,345673.0,5198765.5,5,5198765.5,SUM-159_NLS_4N_O1_A7_seed,2406816.54080588,0.388113394875272,83.7039472218234,0.571921242468194,81.25,12,0
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,20.5_20.5_2_1_0.5_0.3_0.2_0.1,4N,16,0.0,5,345673.0,5198765.5,5,5198765.5,SUM-159_NLS_4N_O2_A7_seed,2406816.54080588,0.388113394875272,83.7039472218234,0.486227151372419,85.1666666666667,18,0
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,5,832694.0,6134086.0,5,6134086.0,SUM-159_NLS_4N_O1_A17_seed,5786327.74440642,0.38771738011526,81.5800552962523,0.416428545920834,81.65,20,0
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,5,832694.0,6134086.0,5,6134086.0,SUM-159_NLS_4N_O2_A17_seed,5786327.74440642,0.38771738011526,81.5800552962523,0.404951920436638,81.3,20,0
