cohort,passage_index,segment_id,oxygen_pct,0.01,0.25,0.75,0.99
2N,1,20.5,20.5,40,44,48,55
2N,3,20.5_20.5_20.5,20.5,40,44,48,88
2N,16,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,0.0,38,44,50,101
2N,32,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,0.0,35,44,82,107
2N,34,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,0.0,34,44,84,107
2N,37,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,0.0,32,44,84,107
2N,38,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,0.0,32,44,85,107
4N,1,20.5,20.5,73,81,88,97
4N,3,20.5_20.5_20.5,20.5,73,81,88,98
4N,16,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,0.0,67,78,89,103
4N,32,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,0.0,62,75,87,105
4N,34,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,0.0,62,75,87,106
4N,37,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,0.0,61,74,87,106
