component,value,pair,seed,objective
objective_joint,19.9782357885732,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_joint_unpenalized,19.0179281907417,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_soft_coupling,0.960307597831503,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_constraints,0,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_enabled,TRUE,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_n_params,14,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_welsch_c,0.4,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
weight_invivo,1,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
weight_invitro,1,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_invivo,15.1606216594495,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_invivo_data,14.2699002382745,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_invivo_prior,0.890721421175006,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_invivo_burden,8.09450298509038,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_invivo_ploidy,4.86446540215316,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_invivo_necrosis,1.31093185103097,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_invivo_necrosis_raw,1.31093185103097,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_invitro,3.8573065312922,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
invitro_growth_loglik,0.169025566236769,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
invitro_ploidy_loglik,-3.10504030314722,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
invitro_flow_loglik,-0.921291794381754,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
