parameter,vivo_projected_natural,vitro_projected_natural,center_projected_natural,delta_transformed,ratio_vivo_to_vitro
O2_crit,0.222506744860626,1.58620678578554,0.59408897362346,-0.853016623143665,0.14027600112077038
mu_hp,0.0513477916983572,0.005,0.0160230758124583,1.01155176640467,10.26955833967144
p_misseg,0.117357584120704,0.0105535150770604,0.035192826448372,1.04611402577961,11.120236552823787
k_o_mis,0.0010288852592723,0.0001128986825222,0.0003408222267376,0.959678071247266,9.113350450922965
buffer_smax,0.908515590155285,1.0,0.954257795077643,-0.091484409844715,0.908515590155285
buffer_beta,0.165387798276667,1.59113027351929,0.512984924445842,-0.983202273192138,0.1039435934499941
buffer_n_exp,10.0,3.15756611375965,5.61922246735227,0.500647547331493,3.1669962368874054
n_O,2.17248485215607,1.86857483366499,2.02052984291053,0.30391001849108,1.1626426798733
alpha_o2,2.69193308007453,0.5,1.16015798063767,0.731094255036276,5.38386616014906
gamma_growth,3.30758726253307,1.5,2.40379363126653,1.80758726253307,2.2050581750220464
lam_max,0.238916831366556,1.3485151936293,0.567611642861182,-0.751609097698433,0.1771702925523233
p_mis_base,1.60455141986261e-05,1.55464994856065e-05,1.5794036160375e-05,0.0137210223448498,1.0320982040671989
p_wgd,0.0002497373957028,0.0002413736385842,0.0002455199052854,0.0147937412699808,1.0346506651167808
gamma_mu,2.63750521250042,1.2,1.91875260625021,1.43750521250042,2.1979210104170166
