parameter,center_name,delta_name,invitro_name,transform,projection_applied,projection_action,feasible_before_projection,feasible_after_projection,center_raw_transformed,delta_raw_transformed,vivo_raw_transformed,vitro_raw_transformed,center_transformed,delta_transformed,vivo_transformed,vitro_transformed,center_raw_natural,vivo_raw_natural,vitro_raw_natural,center_projected_natural,vivo_projected_natural,vitro_projected_natural,joint_union_lower_transformed,joint_union_upper_transformed,joint_union_lower_bound,joint_union_upper_bound,delta_dynamic_lower_transformed,delta_dynamic_upper_transformed,pair,seed,objective,rank,ratio_vivo_to_vitro
O2_crit,log10_O2_crit,delta__log10_O2_crit,log10_O2_crit,log10_nonnegative,False,none,True,True,-0.174725329727572,-0.707839637125871,-0.528645148290508,0.179194488835363,-0.174725329727572,-0.707839637125871,-0.528645148290508,0.179194488835363,0.668766746493947,0.296043037597807,1.51075656041509,0.668766746493947,0.296043037597807,1.51075656041509,-4.0,0.397940008672038,0.0001,2.5,-1.14533067679922,1.14533067679922,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,0.19595681088187183
mu_hp,log10_mu_hp,delta__log10_mu_hp,log10_mu_hp,log10,False,none,True,True,-1.54656298245412,1.50893402641973,-0.79209596924425,-2.30102999566398,-1.54656298245412,1.50893402641973,-0.79209596924425,-2.30102999566398,0.0284077617875923,0.161400185956118,0.005,0.0284077617875923,0.161400185956118,0.005,-2.30102999566398,-0.522878745280338,0.005,0.3,-1.50893402641973,1.50893402641973,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,32.2800371912236
p_misseg,log10_p_misseg,delta__log10_p_misseg,log10_p_misseg,log10,False,none,True,True,-1.13881643036999,1.67557286941202,-0.301029995663981,-1.976602865076,-1.13881643036999,1.67557286941202,-0.301029995663981,-1.976602865076,0.072641293618232,0.5,0.0105535150770604,0.072641293618232,0.5,0.0105535150770604,-2.30102999566398,-0.301029995663981,0.005,0.5,-1.67557286941202,1.67557286941202,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,47.37757954094582
k_o_mis,log10_k_o_mis,delta__log10_k_o_mis,log10_k_o_mis,log10,False,none,True,True,-3.28161315880086,1.33139593453867,-2.61591519153153,-3.9473111260702,-3.28161315880086,1.33139593453867,-2.61591519153153,-3.9473111260702,0.0005228617127511,0.0024215018683425,0.0001128986825222,0.0005228617127511,0.0024215018683425,0.0001128986825222,-5.0,-1.69897000433602,1e-05,0.02,-3.16528630892969,3.16528630892969,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,21.448451073521998
buffer_smax,buffer_smax,delta__buffer_smax,buffer_smax,identity,False,none,True,True,0.997390253792811,-0.005219492414379,0.994780507585621,1.0,0.997390253792811,-0.005219492414379,0.994780507585621,1.0,0.997390253792811,0.994780507585621,1.0,0.997390253792811,0.994780507585621,1.0,0.0,1.0,0.0,1.0,-0.0052194924143789,0.0052194924143789,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,0.994780507585621
buffer_beta,log10_buffer_beta,delta__log10_buffer_beta,log10_buffer_beta,log10,False,none,True,True,-0.575886287278859,-1.55518405233534,-1.35347831344653,0.201705738888809,-0.575886287278859,-1.55518405233534,-1.35347831344653,0.201705738888809,0.265530071689194,0.0443120341210791,1.59113027351929,0.265530071689194,0.0443120341210791,1.59113027351929,-2.0,1.0,0.01,10.0,-2.84822742544228,2.84822742544228,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,0.02784940671329756
buffer_n_exp,log10_buffer_n_exp,delta__log10_buffer_n_exp,log10_buffer_n_exp,log10,False,none,True,True,-0.0657285004210214,-1.13016190617906,-0.630809453510549,0.499352452668507,-0.0657285004210214,-1.13016190617906,-0.630809453510549,0.499352452668507,0.859550702459219,0.233986362749007,3.15756611375965,0.859550702459219,0.233986362749007,3.15756611375965,-1.0,1.0,0.1,10.0,-1.86854299915796,1.86854299915796,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,0.07410339303090765
n_O,n_O,delta__n_O,n_O,identity,False,none,True,True,2.55517829746501,1.37320692760003,3.24178176126502,1.86857483366499,2.55517829746501,1.37320692760003,3.24178176126502,1.86857483366499,2.55517829746501,3.24178176126502,1.86857483366499,2.55517829746501,3.24178176126502,1.86857483366499,0.0001,5.0,0.0001,5.0,-4.88964340506999,4.88964340506999,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,1.73489533459393
alpha_o2,log10_alpha_o2,delta__log10_alpha_o2,log10_alpha_o2,log10,False,none,True,True,0.101371914305943,0.804803819939848,0.503773824275867,-0.301029995663981,0.101371914305943,0.804803819939848,0.503773824275867,-0.301029995663981,1.26290858150935,3.18987617049993,0.5,1.26290858150935,3.18987617049993,0.5,-0.301029995663981,0.602059991327962,0.5,4.0,-0.804803819939848,0.804803819939848,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,6.37975234099986
gamma_growth,gamma_growth,delta__gamma_growth,gamma_growth,identity,False,none,True,True,1.87124074243996,0.74248148487991,2.24248148487991,1.5,1.87124074243996,0.74248148487991,2.24248148487991,1.5,1.87124074243996,2.24248148487991,1.5,1.87124074243996,2.24248148487991,1.5,1.5,4.5,1.5,4.5,-0.74248148487991,0.74248148487991,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,1.4949876565866067
