method,reduction,dataset,primary_cluster_id,primary_cluster_n,cluster_source,k,average_silhouette,sample_n,selected
tsne,tsne,invitro,vt_C01,108,tsne_vt_C01_best_raw_features_zscore,2,0.120002401695707,108,False
tsne,tsne,invitro,vt_C01,108,tsne_vt_C01_best_raw_features_zscore,3,0.125950008591035,108,False
tsne,tsne,invitro,vt_C01,108,tsne_vt_C01_best_raw_features_zscore,4,0.136863876205959,108,True
tsne,tsne,invitro,vt_C01,108,tsne_vt_C01_best_raw_features_zscore,5,0.121262896512994,108,False
tsne,tsne,invitro,vt_C01,108,tsne_vt_C01_best_raw_features_zscore,6,0.109155114904225,108,False
tsne,tsne,invitro,vt_C02,392,tsne_vt_C02_best_raw_features_zscore,2,0.690213486761907,392,True
tsne,tsne,invitro,vt_C02,392,tsne_vt_C02_best_raw_features_zscore,3,0.182698397615843,392,False
tsne,tsne,invitro,vt_C02,392,tsne_vt_C02_best_raw_features_zscore,4,0.214741374044284,392,False
tsne,tsne,invitro,vt_C02,392,tsne_vt_C02_best_raw_features_zscore,5,0.202937369941145,392,False
tsne,tsne,invitro,vt_C02,392,tsne_vt_C02_best_raw_features_zscore,6,0.204495453063496,392,False
tsne,tsne,invivo,vi_C01,99,tsne_vi_C01_best_raw_features_zscore,2,0.179256205641498,99,True
tsne,tsne,invivo,vi_C01,99,tsne_vi_C01_best_raw_features_zscore,3,0.114136456498462,99,False
tsne,tsne,invivo,vi_C01,99,tsne_vi_C01_best_raw_features_zscore,4,0.0999354596876857,99,False
tsne,tsne,invivo,vi_C01,99,tsne_vi_C01_best_raw_features_zscore,5,0.0970935166713758,99,False
tsne,tsne,invivo,vi_C01,99,tsne_vi_C01_best_raw_features_zscore,6,0.106825937062875,99,False
tsne,tsne,invivo,vi_C02,385,tsne_vi_C02_best_raw_features_zscore,2,0.0959647680095208,385,True
tsne,tsne,invivo,vi_C02,385,tsne_vi_C02_best_raw_features_zscore,3,0.0891614876063643,385,False
tsne,tsne,invivo,vi_C02,385,tsne_vi_C02_best_raw_features_zscore,4,0.0940125090466447,385,False
tsne,tsne,invivo,vi_C02,385,tsne_vi_C02_best_raw_features_zscore,5,0.0854515512446384,385,False
tsne,tsne,invivo,vi_C02,385,tsne_vi_C02_best_raw_features_zscore,6,0.0864875265777102,385,False
tsne,tsne,invivo,vi_C03,16,tsne_vi_C03_best_raw_features_zscore,2,0.33023186687747,16,True
tsne,tsne,invivo,vi_C03,16,tsne_vi_C03_best_raw_features_zscore,3,0.23951048518834,16,False
tsne,tsne,invivo,vi_C03,16,tsne_vi_C03_best_raw_features_zscore,4,0.266391982389173,16,False
tsne,tsne,invivo,vi_C03,16,tsne_vi_C03_best_raw_features_zscore,5,0.254449449329017,16,False
tsne,tsne,invivo,vi_C03,16,tsne_vi_C03_best_raw_features_zscore,6,0.272721427229488,16,False
